love|爱
lochia|[医]恶露(分娩后的子宫阴道分泌物)
lithosis|[医] 肺石屑病, 石屑肺
linewalker|(石油管线的)管道巡查工,护管道工
laterad|向侧面地
lento|[乐] 徐缓的, 柔和的
lymphuria|[医] 淋巴尿
lithocyst|[动](内含平衡石的)石囊
lighteners|(lightener 的复数) n. lighten的变形；lighten的变形
latham|莱瑟姆
likableness|可爱
lanceolar|矛尖状的, [植] 披针形的
leash|(拴狗颈的)皮带
liveborn|[医]活产的,活胎产的(与stillborn相对)
lowlihead|<古>谦卑,低下
leatheroid|人造革, 纸皮
liveweight|活重(牲畜被宰前的重量)
lincolnesque|像林肯的, 林肯式的
loe|(Loe)人名；(英)洛；(德)勒
lyricists|抒情诗人；（流行歌曲等的）歌词作者
leaser|出租人；分纱机
liquidise|<主英>=liquidize
luthern|老虎天窗, 屋顶窗
londonesque|似伦敦的, 伦敦特有的
loy|低取向丝；低速纺丝
lekythos|(古希腊的)细颈有柄长油瓶(或装饰瓶)
lacey|花边的
lucre|收益, 钱财
linden|椴, 菩提树
linguiform|舌状的
leptosomatic|细长型的, 瘦弱型的
lociation|小区社会
lamia|女怪, 妖妇
lerp|昆虫分泌出来的一种蜜
liebenerite|白假霞石
lophophorine|[化] N-甲基仙人掌碱; 须盘掌碱
lamellicorn|鳃角类角虫
lontar|[网络] 棕榈叶；伦达尔；女神龙塔
laryngectomy|[医] 喉切除术
logotypy|使用单语活字, 分担记录法
lingually|[医]向舌
lipotropy|[医] 亲脂性, 脂肪肝的防治[作用]
leeringly|以斜眼看
lalapalooza|非常出色的人[物]
lumachella|贝壳大理岩
lymphopathy|[医] 淋巴[组织]病
laet|limiting actual exposure time 限制真曝光时间
lipofibroma|[医] 脂肪纤维瘤
lateralize|使向侧面
langsat|蓝撒
loyalties|忠诚( loyalty的复数形式 ); 忠心; 忠于…感情; 要忠于…的强烈感情
lienectomy|[医] 脾切除术
leucyl|亮氨酰
lousewort|[植] 马先蒿属
lempira|伦皮拉(洪都拉斯货币单位)
laure|(Laure)人名；(意、芬)劳雷；(法)洛尔
lingering|拖延的
lilting|像音乐般美妙的（声音）
lupe|卢皮(波利尼西亚一种果鸠)
lararium|(古罗马家庭中)家神的神龛
lythraceae|千屈菜科
lunger|肺病患者
lysimeter|溶度计, 测渗计
lasers|激光器；激光（laser的复数）
leukorrhea|[医] 白带
lionesses|母狮( lioness的复数形式 )
laurentian|[地质] (加拿大东南部)劳伦系, 劳伦系岩石层
leek|韭
laically|laic的变形
libellee|被诽谤者
lactescent|乳汁状的, 分泌乳液的
lairy|<澳俚>艳俗的,华丽而俗气的
leguminous|豆的, 类似豆科植物的, 豆科的
lavatories|厕所( lavatory的名词复数 ); 抽水马桶; 公共厕所（或卫生间、洗手间、盥洗室）; 浴室水池
loiters|（在公共场所）走走停停( loiter的第三人称单数 ); 闲逛; 游荡; 磨蹭
lenape|德拉瓦族, 德拉瓦人[语]
locomoted|移动, 行动( locomote的过去式和过去分词 )
libellant|诽谤者
lipoma|脂肪瘤
linea|[医] 线
ludlow|勒德洛铸排机（商标名称）
limburger|林堡软干酪
leachate|[机] 沥滤液
liberties|自由( liberty的名词复数 ); <正式>许可权; 自由（自己选择生活方式而不受政府及权威限制）; 自由（不受关押或奴役的状态）
leman|莱曼(姓氏)
lepocyte|[医] 有壁细胞
lordosis|脊柱前凸
latheman|车床操作工人,车工
loudish|声音稍高的, 稍嫌艳丽庸俗的
leukemia|白血病, 白血球过多症
lissamphibia|无甲亚纲
lamprey|八目鳗
landsturm|<德> (战时)国家总动员, 国民军
lensed|有透镜的
lnr|liner 画线者; 衬垫; 航线客机; 定期航班
leptocephali|鳗的柳叶状幼体( leptocephalus的名词复数 )
letterweight|镇纸
leachability|可滤取, 可滤去
lebban|(地中海东部以及北非国家阿拉伯人食用的)酸奶
lithia|氧化锂
lowlier|lowly（<旧>地位低的, 卑微的）的比较级形式
ludian|[网络] 鲁甸县；路德阶；露珠点
levynite|插晶菱沸石
laryngospasm|[医] 喉痉挛
lignifying|[化] 木素化; 木质化
lungan|龙眼
leisured|有许多空闲时间的
lixivia|碱汁, 浸滤液(lixivium 的复数)
litterbug|乱丢垃圾的人
leadsmen|测铅手；测深员
languishing|(疾病)长期拖延的, 焦思的, 苦苦渴望的, 含情脉脉的
laminary|(=laminar)由薄片组成的
literalise|<主英>=literalize
lithy|易弯的, 柔软的
lierne|[建] (穹顶)枝肋
lumpier|lumpy（满是疙瘩的, 粗糙的）的比较级形式
ladyships|（对贵族的称呼）夫人( ladyship的复数形式 ); 小姐; （对佯装高贵的女子的用语）小姐
lithoid|石质的, 石头似的
linguister|翻译员
libidinous|好色的
lumpers|(lumper 的复数) n. 装卸工, 小承包商, 小包工头, 码头工人
laumonite|浊沸石
lexicography|辞典编纂
landler|兰德勒舞曲
leftists|左派的支持者( leftist的复数形式 )
lavinia|拉维尼娅（拉丁努斯之女）；（拉）拉维妮娅（女子名）
liebigite|铀钙矿
leptometer|比粘计
lucking|[人名] [英格兰人姓氏] 勒金取自父名，来源于Levick↑2，含义是“利维克之子”(son of Levick)
lemnisci|蹄系, 丘系( lemniscus的名词复数 ); [医]丘系； 吻腺
lucania|卢卡尼亚（意大利南部一地区）
lucullan|豪华的, 奢华的
literalizing|照字义解释, 拘泥于字句( literalize的现在分词 )
longerons|(longeron 的复数) n. 纵梁
lascivious|好色的
lanyard|系索
legendry|传说集, 传奇
lyddite|立德炸药
liens|<法>留置权, 扣押权( lien的复数形式 )
lancewood|枪木
licenser|发许可证/执照者
luthier|拨弦乐器制作匠
liturgics|礼拜学, 祭典学
lowlife|下层阶级的人, 卑劣人, 罪犯
lithomancy|石头占卜术
locksman|船闸管理人
levulose|果糖
leonhardite|[矿]黄浊沸石
ligamentary|[解]韧带的
leptospiral|[医]钩端螺旋体的, 钩端螺旋体所引起的
lepered|【医学】麻风病患者；(由于道德及社会原因)大家不愿接触的人；别人避之惟恐不及的人
licensable|[法] 可获许可的, 可被认可的
lymphocytic|[医] 淋巴细胞的
lydia|吕底亚(小亚细亚古国)
lipide|[医] 脂[类], 脂质
lauhala|露兜树叶
londoners|伦敦人（Londoner的名词复数）
larum|警报, 警钟
longboats|(longboat 的复数) n. (商船附载的)大艇
laced|用带子束紧了的, 饰有花边的
lanterned|灯笼, 提灯；(灯塔顶上的)灯室
labidometer|[医] 胎头测量钳
lichens|地衣类；地衣（lichen的复数）
lown|安宁的；平静的
lurks|潜在, 潜伏; （lurk的复数形式）
laverock|云雀
lobbed|打缓慢的球, 蹒跚地走( lob的过去式和过去分词 ); 投掷
liberalizes|使自由化( liberalize的名词复数 )
lipoxenous|[医] 离弃宿主的(寄生虫)
loco|疯草病, 疯子, 火车头
luddism|勒德分子劳工运动
limitedly|有限地
lapidifying|（使）化成石头, （使）石化
lienitis|[医] 脾炎
leptolepidae|薄鳞鱼科
litigant|诉讼的
linoleate|[化]亚油酸盐(或酯)
larrup|打, 鞭打
lithemia|[化] 尿酸血
lollops|懒散地闲荡( lollop的第三人称单数 )
ligates|结扎, 绑( ligate的第三人称单数 )
lucerne|苜蓿
lavrock|(=laverock)<苏>[鸟]云雀,百灵
leprid|[医] 麻风疹
landspout|陆龙卷风
lappaceous|[医]钩刺状的, 芒刺状的, 刺果状的
lamium|[网络] 野芝麻属；宝盖草属植物；野芫麻属
lawson|[姓氏] 劳森
lacewing|草蜻蛉
lamellation|页理
lwop|leave without pay 停薪留职
letterform|字体, 信纸
loiterer|闲逛的人, 混日子的人
lichened|长满地衣的, 长青苔的
logbooks|(logbook 的复数) n. 航海日志, 航空日志, 飞机航程表
lateraled|侧面的, 从旁边的, 至侧面的( lateral的过去式和过去分词 )；位于侧面的东西（如侧枝）
lubric|[古]光滑的（等于lubricous）
liverishness|liverish的变形
lagunas|[秘鲁、玻利维亚、洪都拉斯、智利] 拉古纳斯
ligations|(ligation 的复数) n. 结扎, 绑
liberalities|慷慨（礼物）( liberality的名词复数 ); 大方; 宽容; 开朗
leucophyre|[建] 糟化辉绿岩
linearly|线, 长条形, 线状, 线性, 直线, 长度
leto|勒托（希腊神话中的一个形象）
logroller|滚木头的人
locationally|locational的变形
lois|洛伊斯（女子名）
lepre|(Lepre)人名；(西、意、罗)莱普雷
legitimizing|使合法, 给…以合法地位( legitimize的现在分词 )
lehrman|[人名] 莱尔曼
languor|怠惰, 疲倦, 无气力
ladles|长柄勺( ladle的名词复数 )
laudanidine|[化] 劳丹定; 半日花定
leishmania|[动]利什曼虫
lurdan|<古>又懒又笨的人
langue|[语]语言（与parole“言语”相对）
laureates|(laureate 的复数) a. 戴桂冠的, 用月桂树枝编织成的, 荣誉的
liftoff|（火箭发射时）起飞, 启动
leucocyte|白血球
lathy|板条似的, 细长的
landswoman|在陆地上生活与工作的妇女
lazing|混日子( laze的现在分词 ); 懒散; 闲散; 闲散地打发时间
loa|[医] 罗阿[丝虫]属
languaged|语言；文字；语言表达能力
luxullianite|电气石花岗岩
lanson|[人名] 兰森
legitimizes|使合法, 给…以合法地位( legitimize的第三人称单数 )
lepal|[医]变态雄蕊
legantine|教宗使节的
lambdoidal|人字形的
latened|（使）变迟( laten的过去式和过去分词 )
lefty|左撇子, 左翼分子
larval|幼虫的, 幼虫状态的
lide|LED indirect exposure 发光二极管间接曝光技术
laughs|笑声( laugh的名词复数 ); 笑态; 笑料
landholders|(landholder 的复数) n. 地主, 借地人
lichts|(licht 的复数) [苏]light的异体
lardon|肥腊肉片,肥碱肉片
loricating|【动物学】
leporine|野兔的
locular|[生]有小腔的, 有小室的
lonelier|寂寞的
leptogenesis|可纺性
loran|双曲线远程导航系统
liturgist|礼拜仪式的权威
loculi|[医] 小腔
litholabe|[医] 持石器
looting|抢劫, 掠夺( loot的现在分词 )
leiomyoma|[医] 平滑肌瘤
lascars|(lascar 的复数) n. 东印度水手
leucomaine|[生化]蛋白碱
lusus|<拉>n.=lusus naturae
luminal|鲁米那(镇静刺)
latinate|从拉丁文衍生的, 类似拉丁语的
larcenous|盗窃的
lovelessly|loveless的变形
lapses|失误, 过失( lapse的名词复数 ); 小毛病; 行为失检; 偏离正道
lothario|色狼, 登徒子
leptodactyl|有细长脚趾的
lactescence|乳汁状, 乳汁分泌
laminaria|昆布属植物
leucitite|[机] 白榴石岩
lancinated|刺, 撕裂( lancinate的过去式和过去分词 )
luteum|[医]（拉）黄色，黄体酮，己酸孕酮
lucuma|路枯马桃榄
liquorice|甘草
laud|赞美, 称赞
lychees|[园艺] 荔枝（lychee的复数）
lipids|(lipid 的复数) n. 脂类, 类脂物, 脂质
lichenoid|[医] 苔癣样的
longshanks|长腿的人, 千鸟类之涉禽
lingered|逗留( linger的过去式和过去分词 ); 缓慢消失; 苟延残喘; 持续看（或思考）
laurelled|戴桂冠的, 获得荣誉的
lunarium|月球运行仪
lipotropin|[生化]促脂素
lithophile|亲石元素
leninism|列宁主义
lunulated|半月形的；月牙形的；有半月形标记的；有月牙状斑点的 [亦作 lunulated]
lividity|铁青
lambskin|小羊皮, 羊皮纸
lof|最低操作频率（lowest operating frequency）；力线（Line of Force）；本机振荡器滤波器（Local Oscillator Filter）；本机振荡器频率（Local Oscillator Frequency）
linacs|(linac 的复数) [化] 直线加速器
lill|(使)垂下
lovesickness|相思病
liquescent|易液化的
lent|lend的过去式和过去分词
loudening|（使声音）变响亮( louden的现在分词 )
luminosities|发光( luminosity的复数形式 ); 光明; 光度; 发光体
lactoscope|乳酪计
lich|[英方]尸体（等于lych）
latence|[化] 潜伏状态
livelong|整个的
literalism|拘泥于字句
lobulus|[医] 小叶
lorgnon|单眼镜或双眼镜(如夹鼻眼镜)
lackey|仆人, 侍从, 马屁精
lackwit|笨蛋,傻瓜
lucullian|富有的;奢侈的;豪华的
licentious|放肆的
loured|皱眉头；现怒容；变阴沉
leptosome|瘦弱型的
lifeguards|救生员( lifeguard的复数形式 )
loxodonta|非洲象属
laparotomies|(laparotomy 的复数) n. 剖腹手术
lithochromy|彩色石印
lyrated|大头羽裂的
leucitophyre|[机] 白榴斑岩
lessened|减少的, 减弱的
luluai|(新几内亚的)村长[土著语]
lingala|林加拉语(在刚果、扎伊尔通行的一种班图语)
lapidaries|宝石匠, 玉石雕刻师( lapidary的名词复数 )
lymphadenoma|[医]淋巴腺瘤
leggy|长腿的, 腿细长的, 茎长的
laggard|迟钝者, 落后者
ladinos|拉地诺方言(地中海沿岸一些国家的西班牙及葡萄牙籍犹太人所讲的一种西班牙语方言)[亦作Judeo-Spanish Judezmo]
leakers|[机] 压漏
longeval|长命的
luciferase|虫萤光素酶
lastage|（船的）货舱
lamas|喇嘛（中国西藏或蒙古的佛教僧侣）( lama的复数形式 )
legitimise|<主英> = legitimize
leech|水蛭, 吸血鬼, 榨取他人利益的人
lapelled|lapel的变形
laridae|[动]鸥科
leucopoiesis|[生理]白细胞生成( 亦作leucocytopoiesis)
lanternfish|[医]灯鱼
lewisite|刘易斯毒气
leukocyte|白血球
laminarin|[生化]海带多糖( 医学上用作抗凝剂)
lainer|[人名] [英格兰人姓氏] 莱纳职业名称，昵绒制作者或销售者，来源于古法语，含义是“羊毛”(wool)
ladlefuls|一满杓
lazyish|有点儿怠惰的, 懒洋洋的
limnimeter|自记湖泊水位计
lysosomes|(lysosome 的复数) n. 溶酶体
liquidator|清算人
lovering|[人名] 洛夫林
labium|唇, 阴唇, 下唇
leyland|(Leyland)人名；(英、法)莱兰
lionlike|狮子般的
lavishing|过分给予, 滥施( lavish的现在分词 )
lyse|vi. 溶解, 溶化
leks|(lek 的复数) n. 列克(阿尔巴尼亚货币单位)
lags|延迟支付进口货款；落后时间（lag的复数形式）
lithotomist|(膀胱)切石专家
lampern|[动]七鳃鳗(亦作river lamprey)
laudanosine|劳丹素, 半日花素, N-甲基四氢罂粟碱
luxating|使骨脱节, 使脱臼( luxate的现在分词 )
leporidae|adj. 兔科的
localise|vi. 使地方化, 使具有地方性, 使限制于局部, 确定起源, 集中, 局限
lawbreaker|犯法者
lunatics|精神失常者, 精神病人（lunatic的复数形式）
learnership|培训协议
larrikinism|<主澳>粗暴行为, 流氓行径
lansing|兰辛（美国密执根州首府）
loggerheaded|(棒端有一铁球、烧烫后用以融解柏油等的)铁球棒；(捕鲸船尾的)索圆柱
lex|[法] 法, 法律, 法律实体
lud|<英>n.=lord
leaver|离开者（常指学校毕业生）
lampoonist|讽刺文作家
lacteal|乳的, 乳状的, 输入乳糜的
lepid|[古语]引起乐趣的, 唤起愉快感的
loglog|[数]重对数
lechwe|(=lichi)驴羚
laparotome|[医]剖腹刀
leniency|宽大, 温和, 慈悲为怀
lipotropism|抗脂(肪), 亲脂
lochan|<苏>小湖, 小内海
linefeed|换行
lymphangial|[解]淋巴管的
luna|卢娜(月神), 月
lushed|喝醉的
latrobe|拉特罗布（澳大利亚地名）
lapb|链路接入规程
laburnum|金链花
lionisers|(lioniser 的复数) n. lionise的变形
lockpin|锁销
loellingite|斜方砷铁矿
limous|混浊的
libelant|诽谤者, 控告人
logometer|[电]电流比(率)计, 比率表
leaner|清洗液；斜身倾前的射球
lepidoptera|[动] 鳞翅类
lepidosauria|有鳞类
lymphoid|淋巴的
leafs|叶子；（书籍等的）一张；扇页
lactocele|乳腺囊肿
litany|连祷, 连续
leucophore|白色体, 白色素细胞
leachman|[人名] 利奇曼
lampoonery|讽刺诗[文]的写作, 讽刺性质
lads|低空探测系统（Low-Altitude Detection System）
lockups|拘留所, 监狱；锁住；监禁
lunges|刺；跃进；刺进；套马索
lyonnesse|【亚瑟王传奇】莱昂内塞(旧时英格兰西南部地区, 据说现已沉入海底)
lungworm|肺蠕虫
leprously|leprous的变形
landladies|女房东, 女店主, 女地主( landlady的名词复数 )
lipping|唇形
lethargizing|使无生气；使昏睡
lamentation|悲叹, 哀悼
lycopene|[化] 番茄红素
legality|合法, 正当
lurching|东倒西歪地行驶, 不稳行驶
lithopone|锌钡白
loxodromics|斜航法
loony|发狂的, 极蠢的
lamus|[医] 莱末蝽属(旧属名)
lengthways|纵向
ledgering|(ledger 的现在分词) n. 分类帐, 分户总帐, 盖墓石板, 横木
laccol|(虫)漆酚
legitimism|正统主义
landlessness|无土地
lycosa|[网络] 黑腹狼蛛；狼蛛属；狼蛛科
lucubrating|（尤指挑灯）攻读[写作]( lucubrate的现在分词 ); 把心得书写成文
lecithoid|[生]磷脂的, 蛋黄素的
ladler|莱德勒
louse|虱子, 寄生虫
lippitude|[医] 睑缘炎
leashes|拴猎狗的皮带( leash的名词复数 )
letted|[废]let 的过去式及过去分词, let的过去式及过去分词的异体
lemmocyte|神经膜细胞
lawsone|[化] 2-羟基-1,4-萘醌
lenticula|豆形核
lampman|[人名] 兰普曼; [地名] [加拿大] 兰普曼
lithodidae|石蟹科
levitical|[圣经] 利未族的, 利未记的
libethenite|磷铜矿
lithotyped|【地质学】岩型
litigating|提出诉讼( litigate的现在分词 )
liquefies|液化, 溶解( liquefy的第三人称单数 )
lemniscus|[解]蹄系,丘系
lithe|柔软的
linolenin|(=trilinolenin)亚麻精, 甘油三亚麻酸酯
leucoxene|[矿]白钛石
lepidopteral|[动] (=lepidopterous)鳞翅类的
liquated|熔解的, 熔融的, 液化的
leprology|麻风学
literalist|直译者, 拘泥字义者
lockup|关门时间, 拘留所
lune|弓形, 半月形, 半月形物
lysin|细胞溶解酶
lachrymosely|落泪地;悲哀地
lathhouse|板条房屋
largemouth|bass,large-mouthed[-maJTd](black)bass[鱼]黑鲈
lastingness|耐久
latrine|厕所
litmus|石蕊
loopholed|漏洞；枪眼；换气孔；射弹孔
landholdings|(landholding 的复数) a. 土地所有的
lucayan|卢卡约人；卢卡约语
lorraine|洛林（法国东北部的一个地区）；罗琳（人名）
lackluster|没有光泽的, 无生气的, 平凡的
lipoidemia|[医] 脂血[症]
legits|(legit 的复数) a. 合法的, 正统的, 守法的
lodged|存放( lodge的过去式和过去分词 ); 暂住; 埋入; （权利、权威等）归属
lunare|[医] 月骨
lactates|（指哺乳动物）分泌乳汁（lactate的第三人称单数形式）
liquored|浸泡（liquor的过去式与过去分词形式）
lepers|麻风病患者( leper的复数形式 ); （由于道德和社会原因）别人避之唯恐不及的人
leven|利文湖（英国苏格兰东部湖泊）
lolls|懒洋洋地躺着[坐着、站着]( loll的第三人称单数 ); （头、舌等耷拉, 下垂）; 懒洋洋地坐着（或躺着、站着）; 无所事事
lawny|草坪的, 似草坪的, 似细麻布的
liberalistic|自由主义的
lipoblast|[医] 成脂细胞
lithifaction|岩化
lollies|<口>棒糖, 冰棍儿( lolly的复数形式 ); <俚>钱
listers|(lister 的复数) n. 双耕犁, 制表人
lacunar|花格平顶, 花格平顶的凹板
lilylike|像百合的
laterization|红土化作用
luteofulvous|橙褐色的
lase|发出激光, 以激光照射
lasing|[计] 激光作用, 产生激光
lacery|花边形
lodgings|出租的房舍, 寄宿舍
liberality|慷慨, 宽宏大量, 心胸宽大, 胸怀广阔, 公正, 丰富, 宽阔, 丰满
loathy|可厌的, 令人讨厌的
leucoryx|阿拉伯长角羚
lca|low-cost automation 低成本自动控制
lousy|污秽的, 恶心的, 生虱的
lintonite|绿杆沸石
lookers|(looker 的复数) n. 观看的人, 检查员
lambdas|希腊字母的第 11个字( lambda的名词复数 )
lucinacea|满月蛤总科
liana|藤本植物
loganiaceous|[植]马钱科的
lymphad|单桅单甲板平底船
lethean|遗忘河的, 使人遗忘过去的
lipovaccine|[医] 脂制疫苗
lorn|被弃的, 孤独的, 荒凉的
lazybones|懒汉, 懒骨头
lettering|写字, 印字, 刻字
laertes|拉厄耳忒斯（希腊神话人物, 奥德修斯之父）；雷欧提斯（《哈姆雷特》中奥菲利亚的哥哥）
lagging|迟钝, 落后, 防护套
limousine|轿车
landlubbers|（水手用语）“旱鸭子”（指新水手, 不习惯航海的人）( landlubber的复数形式 )
lepothrix|[医] 鳞毛病, 结节性毛菌病
lockjaw|破伤风, 牙关紧闭
lunarian|(假象中的)月球居民,研究月球的人
loathness|loath的变形
locellate|[医]（拉locellaus）分室的
libidinously|libidinous的变形
labarum|罗马帝国后期的军旗[皇旗]
lipocardiac|[医] 脂肪心的
laten|(使)变迟
lata|[计] 本地访问与传输区域
lawnmower|刈割者, 草坪割草机, 割草机
lanuginose|盖满绒毛的, 如绒毛的
lymphography|[医]淋巴系造影术
llano|大草原
lepidote|[生]覆有鳞片的
lineate|划线的, 标线的
liroconite|[化] 水砷铝铜矿; 豆铜矿
leaping|跳跃的, 跳跃而行的
libeccio|<意>西南风
letup|停止, 中止, 放松
lanoline|羊毛脂
logoff|下网
lordlings|(lordling 的复数) n. 小公子, 小贵族
lilith|住在荒野而拐掠小孩的魔女
longueurs|(longueur 的复数) n. （小说、剧本、乐曲等）冗长而又乏味的部分
luc|(Luc)人名；(英)卢克；(法、荷)吕克；(捷)卢茨；(中)吕 (普通话·威妥玛)
laxer|不严格的( lax的比较级 ); 马虎的; 松懈的; <医>（肠）宽松的
lubbers|(Lubbers)人名；(德)卢贝斯；(荷)吕贝尔斯；(英)柳伯斯
lithuresis|[医] 石尿症
lobate|叶状的
laminose|制成薄板的, 层积的, 薄板的
leadplant|[植] 灰毛紫穗槐
lyndon|林登（男子名）
lido|公共露天游泳池
lustrating|驱除( lustrate的现在分词 )
larrigan|上油高统皮靴
latirostral|[动]宽喙的
likening|把…比作( liken的现在分词 ); 把…比作…
legge|莱格（英格兰人姓氏）
limites|limit的复数
landman|生活在陆上的人,乡下人, 农夫,(尤指为取得钻探权的)租地人
lineaments|<正>（面部等的）特征, 轮廓
lures|吸引力, 魅力（lure的复数形式）
ludo|鲁多(孩童游戏)
longish|稍长的, 略长的
liquesce|变成液体,液化
loli|罗莉（指小女孩）
loquacity|好辩, 多嘴, 喧噪
lethality|致死性
longhands|(longhand 的复数) n. 普通写法
legman|采访记者, 资料搜集助手
legibleness|legible的变形
litteratim|逐字地, 照字义地
langbanite|硅酸锰锑铁矿
loincloth|腰布, 缠腰带
laboredly|labored的变形
laryngoscopy|[医] 喉镜检查
layabout|懒汉
loral|眼端的
ludwig|路德维格（男子名）
lenticular|透镜的, 扁豆似的
loftiness|高尚, 崇高
lipoprotein|脂蛋白
legitimising|(legitimise 的现在分词) vt.<主英> = legitimize
leers|含恶意的一瞥, 不怀好意的一瞥( leer的复数形式 )
lituate|外伸
lenticulated|双凸透镜状的, 小扁豆状的
libri|liber的复数
laurel|月桂树, 荣誉
literalised|(literalise 的过去分词) vt.<主英>=literalize
lusitania|路西塔尼亚(古罗马的一个省名, 相当于现今葡萄牙的大部和西班牙西部的一部分)
lipotropic|抗脂肪肝的
laps|光寻址电位传感器；SDH 上的链路接入规程（Link Access Procedure SDH）
lordless|无君主的, 无贵族的
lulled|使镇静, 使安静（lull的过去式与过去分词形式）
lachesis|拉基西斯(命运女神)
levees|防洪堤（levee的复数）
lect|comb. 选；收
landers|[人名] 兰德斯
lisper|大舌头
ladanum|(=labdanum)[化]岩蔷薇,赖百当
lanigerous|有羊毛的, 羊毛似的
lacerates|撕伤, 刮伤( lacerate的第三人称单数 ); 伤害（感情等）
layouts|布局；图版；设计（layout的复数形式）
lavas|(lava 的复数) n. 熔岩, 火山岩
layup|接头[合]处
luxuriance|繁茂, 丰富, 肥沃, 华丽
lemmon|莱蒙（人名）
loathsomely|令人讨厌地, 可厌地
lampers|<法> 彩花细锦缎, [动] (马的)硬口盖炎
logography|使用单语活字, 分担记录法
lappish|(北欧地区)拉普兰语
lightboat|(=light ship)(停泊在危险水域作导航用的)灯塔船
larrups|打, 鞭打（larrup的第三人称单数形式）
lateenrigged|[船]有大三角帆的
limewater|石灰水
localiser|<主英>=localizer
landfills|废弃物填埋场, 废弃物填埋, 填埋的废弃物( landfill的复数形式 )
lenticle|透镜体; 扁豆体; 扁豆状体
lobos|(lobo 的复数) n. 狼
laudes|(laude 的复数) 劳德（人名）
laminae|板, 薄层, 薄片, 层
landline|输送路线, 地上通讯线, 地平线
lits|(lit 的复数) light的过去式和过去分词
litters|（旧时抬要人的）轿( litter的名词复数 ); 杂乱; 废弃物; 一窝
lumbricalis|[解]蚓状肌[见LUMBRICAL]
lithographs|平版印刷品( lithograph的名词复数 )
lusory|游戏性, 趣味性
lupinine|羽扇豆宁
lulls|间歇期（lull的复数形式）
labrums|[无脊椎] 上唇
labefaction|动摇, 衰弱, 崩溃
librettists|歌词作者, 剧本作者( librettist的复数形式 )
luigi|（意）路易吉（男子名）
lapactic|泻药, 促泻剂
linalool|[化]里哪醇,沉香醇,芳樟醇
leucoblast|[解]成白细胞
lophine|洛粉碱, 2,4,5-三苯基咪唑
luring|吸引, 引诱（lure的现在分词形式）
litheness|轻盈的（等于lithesome）；柔软的；易弯曲的 (lithe的变形)
linstock|火绳杆
loweringly|lowering的变形
locators|(locator 的复数) n. 定位器, 雷达, 无线电定位器
loggers|伐木工人（logger的复数形式）
lauter|澄清的, 纯清的,过滤
logarithm|对数
latches|门闩线路；插销（latch的复数形式）
libeled|<律>（发表文字等）诽谤, 中伤( libel的过去式和过去分词 )
lampstand|灯台
laneway|巷道, 通路
longshore|沿岸的, 在海岸工作的
latecomer|迟到者
lynette|利奈特（女子名）
linkers|链接器；滨海球场；联系者（linker的复数）
lawmaking|立法
ligated|结扎, 绑( ligate的过去式和过去分词 )
listera|李斯特菌属
litz|wire[电]辫编线,绞合线
loughs|(lough 的复数) n. 湖, 港湾
lummy|<英> int.=lumme
lowerer|下楼机
legated|(legate 的过去时) vt. 当做遗产让与
labiatae|[医] 唇形科
loon|懒人, 潜鸟, 笨蛋
lis|[法] 诉讼事件, 争执, 起诉
licet|<拉>那是准许的, 那是合法的[字面意义：it is allowed]
likings|(liking 的复数) n. 爱好, 嗜好
lixiviate|浸滤
leverages|促使…改变( leverage的第三人称单数 ); [美国英语]杠杆式投机, （使）举债经营, （使）利用贷款进行投机
lyotropic|[医] 易溶的
lintiest|linty（起毛的, 满是棉毛的, 覆以棉毛的）的变形
landsmen|同胞, 未出过海的人( landsman的名词复数 )
lastex|橡皮松紧线
lashless|无睫毛的
ligases|(ligase 的第三人称 -s形式) n.[生化]连接酶
leukocytic|[解]白血球的, 白细胞的
lari|large area reflective interferometry 大面积反射干涉测量技术
liv|押尾学（乐队名）
loppy|无力地下垂的
lecterns|（教堂中的）读经台( lectern的复数形式 ); （演说时放讲稿的）小讲台
literalizer|literalize的变形
lankly|瘦地, 细长地
latchkeys|闩锁钥匙, 弹簧锁钥匙( latchkey的复数形式 )
lemmatize|把(文中的词)按屈折变化形式 (或异体形式) 进行归类
landammann|[有时作L-](瑞士的)州政府主席
locatio|[法] 租赁
leaseman|[经] 租约承揽商
lading|装载, 装船, 船货
limpness|柔弱, 疲倦
lensmen|(lensman 的复数) n. 摄影师
liparis|[医] 羊耳兰属
lacquerer|漆匠
leary|猜疑的（等于leery）
lasts|鞋楦（last的复数）
locutory|(修道院的)谈话室
laevigate|[医]光滑的, （拉laevigatus）光滑的
leathernecks|(leatherneck 的复数) n. 海军陆战队员
lustier|精力充沛的；健壮的 (lusty的变形)
layered|层状的；分层的
leviathans|<圣经>海中怪兽( leviathan的复数形式 ); 庞然大物
lachrymator|催泪瓦斯
lifen|[医]苯琥胺, 米浪丁, 米隆了[抗癫痫药]
litigations|(litigation 的复数) n. 诉讼, 起诉
lowercase|小写字母
lilted|唱轻快的调子, 轻快地动( lilt的过去式和过去分词 )
lyrate|希腊琴似的, 希腊琴状的
lev|列弗（保加利亚的货币单位）
lariating|套索
lathed|车床( lathe的过去式和过去分词 )
louring|皱眉头；现怒容；变阴沉
laodicean|老底嘉人的, 冷淡的
lustre|光彩, 荣誉, 光泽
lushy|嫩的, 柔嫩的
lipoidal|[生化]类似脂肪的
likeliness|可能
louisa|路易莎（人名）
lakeside|湖边
lumine|<废>照亮
llama|美洲驼
