ugly|丑陋的
untowardness|untoward的变形
unsummoned|未被召集(或传唤、邀请)的
unitable|可连接的,可接合的, 可联合的
unprofitably|无利可图地；徒劳无益地；赚不到钱地
unmentioned|未提及的,未说起的
unpolite|无礼的, 粗鲁的
urethrophyma|[医] 尿道瘤
umpired|为…做裁判（umpire的过去式与过去分词形式）
upshot|结果, 结局, (论证的)要点
urrhodin|[化] 尿红素
unweakened|未削弱的,未减弱的
underlay|把...置于另一物之下, 垫起, 从下面支撑
uval|磺异苯酮
unlid|揭开...盖子
undercloak|粘土砖层, 下部覆盖层
urogram|[医] 尿路照片, 尿路造影照片
ushak|(Ushak)人名；(塞)乌沙克
ureteritis|输尿管炎
underskirts|(underskirt 的复数) n. 衬裙
unsoaped|未用肥皂擦洗的, 未洗过的
unroofing|除去屋顶( unroof的现在分词 )
unpathed|无小道的,没路的
utopia|乌托邦, 理想国
uproars|(uproar 的第三人称 -s形式) n. 骚动, 喧嚣
umpsteen|(=umpteen)[俚]大量的, 许多的, 无数的
umbos|盾中心的浮雕；壳嘴；鼓膜凸 (umbo的变形)
unmechanical|非机械的, 对机械无知( 或不感兴趣) 的
underworking|次要工作, 秘密工作, 下层结构( underwork的现在分词 )
uhlans|(uhlan 的复数) n. 长枪骑兵
uncatalogued|未列入目录的
underran|underrun的过去式
unmurmuring|不发牢骚的, 不嘟囔的
urticaceous|荨麻科植物的
ull|[网络] Unbundled Local Loop; 特定字母组合实例; 呜也许
urushi|漆
underthings|女子内衣裤
usurped|篡夺, 霸占( usurp的过去式和过去分词 ); 盗用; 篡夺, 篡权
upended|颠倒, 倒放( upend的过去式和过去分词 ); 顶锻
umbrageous|成荫的, 阴翳的, 多荫的
urinary|尿的, 泌尿的
unlashes|解开, 松开, 放开( unlash的第三人称单数 )
unhallows|亵渎；玷污
undocks|使出坞, 驶离码头（undock的第三人称单数形式）
uncovering|露出的；未覆盖的
unbury|从坟墓中挖出, 挖掘
underpick|[纺]下投梭
unbuckle|解开
umbilical|脐带的, 脐的, 近脐的, 关系密切的
ufos|不明飞行物（Unidentified Flying Objects）
unhealthily|有病地
unshaded|无遮蔽的, 声调无变化的
urticales|[网络] 荨麻目；荨麻部；搳镑醴
unaccented|非重音的, 非重读的
unadjudged|[法] 未仲裁的:未经审判的
underpriced|定价过低的；售价过低的
undissembled|不加掩盖的,非伪装的,真正的,公开的
uncock|把(枪枝)的击铁扳至非击发位置
ubc|英属哥伦比亚大学（University of British Columbia）
unowned|无主的, 没得到承认的
unscratched|未被抓伤(或擦伤)的, 未被撕裂的
unties|松开, 解开( untie的第三人称单数 ); 解除, 使自由; 解决
unartificial|非人工的, 自然的
uroerythrin|[医] 尿红质
untidiest|untidy（不整洁的, 凌乱的）的最高级形式
uninjurious|无害的,不招致损害的
unevaporated|未蒸发的
unfathomable|莫测高深的, 深不可测的, 无底的
undermined|暗地里破坏；挖…的下面（undermine的过去分词）
uneffective|[网络] 无效
untarnished|未失去光泽的; 未受玷污的
unshift|[计] 不移位, 不移档
uncirculated|非流通的
unfazed|不担忧的, 不苦恼的
uncurbable|不能控制的,不受约束的
unassailably|攻不破地; 不容置疑地
ulexite|[矿]硼钠钙石,钠硼解石
undines|(undine 的第三人称 -s形式) n. 水妖, 洗眼壶
upcurve|上升曲线
unweariedly|unwearied的变形
unwinding|[计] 循环
unencrypted|[计] 非加密的
unstow|卸空
utriculi|[医] 小囊; 椭圆囊
umpqua|[地名] [美国] 安普夸
unclasp|解开...的扣子, 解开...的钩子
unhistorical|非历史的, 仅属传说的, 不符合历史事实的
unexposed|未曝光的, 未露光的, 未揭露的, 未公开的
upbraids|责备, 申斥, 谴责( upbraid的第三人称单数 )
underflow|[计] 下溢
urf|[医][=unidentified reading frame]未鉴定的阅读框架
urethrotome|[医] 尿道刀
unblinkingly|不眨眼地
unwarily|没注意地
unmerciful|不慈悲的, 无情的, 残忍的
upblaze|燃烧起来
undoer|破坏者, 勾引者
unthrifty|不节省的, 奢侈的, 挥霍浪费的, 无利可图的, 不经济的, 不繁茂的, 不兴旺的
unasked|未被提问的, 未受邀请的, 未受请求的, 主动提出的
unfeminine|不适合女性的, 不象女性的, 不温柔的
uncastrated|[医]未去势的
unremarked|未被注意的, 不受注意的
unsnarled|解开结子, 松开( unsnarl的过去式和过去分词 )
uninsurable|不可予以保险的
upholsters|为…装上垫子[套子、弹簧等], 布置, 装潢( upholster的第三人称单数 )
unranked|[网络] 不排名；张云帆；真双子叶植物
undraws|拉开, 被…拉回( undraw的第三人称单数 )
ushered|引, 领, 陪同( usher的过去式和过去分词 )
usages|惯例；用法（usage的复数形式）
undertook|undertake的过去式
unbudgeably|unbudgeable的变形
unengaging|不吸引人的, 无魅力的
unravelled|解开, 拆散, 散开( unravel的过去式和过去分词 ); 阐明; 澄清; 弄清楚
unplumbed|未经探测的
unpatriotic|不爱国的, 无爱国心的
ungodly|不敬畏神的, 不可思议的, 邪恶的
unrimed|[网络] 无罪的
unravels|解开, 拆散, 散开( unravel的第三人称单数 ); 阐明; 澄清; 弄清楚
underdeck|甲板下(的), 仓内(的)
urokinase|[生化]尿激酶
untuck|拆开, 放开
unhands|将…放掉, 把手从…移开( unhand的第三人称单数 )
uhuru|[斯瓦希里]乌呼噜, 自由
unremorseful|[网络] 不后悔的；不知悔改
unimagined|没有想到过的, 从未设想过的, 无法想象的
unjelled|未定形的,不固定的
urologists|(urologist 的复数) n. 泌尿科医师
uncomeliness|不优美的性质或状态
unipolar|单极的
unnoticeably|[网络] 不知不觉；被忽视地
uremic|尿毒症的
unshielded|未掩蔽的, 无保护的, 无防御的
unpictured|[网络] 没有图画
unbesought|未恳求的,未乞求的
urophein|尿灰质
ulnar|尺骨的
underloaded|欠载的；负荷不足的；轻负载的
unravelment|unravel的变形
unconfiding|不轻信别人的,缄默的,寡言的
untrusted|adj. 非置信的
unbracing|放松( unbrace的现在分词 ); 使衰弱; 解开…索带; 松驰
unigravida|初孕妇
unstylish|不时髦的；不漂亮的, 不优美的
underair|大气最下层
unicorns|（传说中身体似马的）独角兽( unicorn的复数形式 ); <动>一角鲸; 独角兽标记
unexplosive|非爆炸性的; 不爆炸的
unblinding|(unblind 的现在分词) 截断符号, 无效符号
unstudded|无档的
ulva|[植]石莼
uncia|十二分之一
unconversant|[法] 不熟悉的, 不太了解的
underlife|私(人)生活
unidentified|未被认出的, 未经确认的
unbaptized|未受洗礼的
ultramodern|超现代的, 最新的, 极时髦的
ultimum|[医] 最后, 最终
untanned|未晒黑的
underlays|铺在…下面, 垫起, 向下延伸( underlay的第三人称单数 )
uricotelism|排尿素[氮代谢]作用
upriser|uprise的变形
uncovenanted|盟约(尤指上帝与人所立之约)中未规定(或保证、认可)的,不受盟约(或条约)约束的
upwelled|（水等）上涌( upwell的过去式和过去分词 )
uniserial|[计] 单系列的
unweighted|[计] 未加权的
unstrain|[网络] 不受限制
unhasty|不匆忙的, 不急躁的, 从容的,不慌不忙的, 慢吞吞的
ulcerating|（使某物）形成溃疡( ulcerate的现在分词 ); （使）腐败
unrewarded|未获报答(或报偿、报酬、奖赏)的
unadvanced|不先进的
unevolved|未进化的
unmechanized|非机械化的,未用机械装备的
undermanned|人手不足的, 人员不足的, 缺员的
unploughed|(田地)未犁过的,未耕的
unwavering|不动摇的, 坚定的
ureterolith|[医] 输尿管石
unskirted|无边缘的
underfilling|不[未充]满, 底层填料
unconcealed|不隐瞒的, 公开的
undraped|除去帐幕, 揭幕( undrape的过去式和过去分词 )
udomograph|自记雨量计
uviol|[医] 透紫外线玻璃
uncloak|脱去披风
unstintingly|极为慷慨地, 大方地
upstaging|抢…镜头, 使相形见绌( upstage的现在分词 )
unelected|未经选举的
unwisest|unwise（不明智的, 不聪明的）的最高级形式
unsimilarity|[网络] 不相似
upholsterers|(upholsterer 的复数) n. 室内装璜商, 家具商
uncomely|不合适的, 不美的, 不标致的, 不像样的
undevout|不虔诚的
uricolytic|分解尿酸的, 尿酸分解的
understratum|底层
undersized|小于一般尺寸的, 不够大的, 小型的
unawares|出其不意地, 没想到, 不料, 不知不觉地
unpointed|不尖的, 钝的
urticarious|[医] 荨麻疹的
underaction|附带的作用, 附带的效能, 辅助动作
unclosed|未关的, 未结束的, 未了结的
underbalance|欠平衡, 不完全补偿
usurps|篡夺, 霸占( usurp的第三人称单数 ); 盗用; 篡夺, 篡权
utilized|被利用的
unlovely|不可爱的, 不漂亮的, 丑的
uvulitis|[医]悬雍垂炎
undocking|使出坞, 驶离码头( undock的现在分词 )
unidirection|[计] 单向
upsilon|希腊语第20个字母
unbiblical|不按照《圣经》的,未恪守《圣经》的
unflinching|不畏惧的, 不退缩的, 不畏缩的
underkeeper|(森林或公园等的)助理管理员
uncoloured|未染色的, 本色的, 未加彩色的, 未着色的, (喻)未加渲染的, 不夸张的
unhairing|脱毛, 去毛
updrafts|(updraft 的复数) a. 向上通风的
unconformity|不符, 不一致
upbraid|谴责, 责骂, 申斥
underbought|underbuy的过去式和过去分词
unmediated|无中介的,未经调停的
unauspicious|不幸的, 不吉利的
underacting|不充分地表演, 不卖力地演( underact的现在分词 )
uprootedness|被根除
untactful|[网络] 不合时宜
unbed|把…从花坛(或苗等)中拔(或掘) 起床
unreceived|未收到的
unobstructed|没有障碍的, 没有阻挡的
unblushing|不脸红的, 脸皮厚的, 不知耻的
unreeved|unreeve的过去式和过去分词
unlubricated|无润滑的
uzarin|[化] 乌札拉苷; 乌沙苷V
unstriated|(肌肉)无横纹的
underwent|undergo的过去式
unstableness|不稳定
undercroft|地下室
unloosening|(unloosen 的现在分词) vt. 解开, 释放, 放松
untheatrical|[网络] 不热心
urodele|有尾目的
upcurl|(使)拳曲, (使)蜷曲
ustilago|[医] 黑粉菌属, 黑穗病菌属
unshifted|(衣服)未更换的
unrevealing|未露出的（unrevealing是unreveal现在分词）
unsubdued|没有被征服的, 不屈服的, 未被抑制的, 未能克服的
unexpressive|缺乏表情的, 未能表达原意的
ureido|[化] 脲基
unladen|unlade的过去分词
uninodal|(具)单节的
unstacker|卸垛器[机]
ululated|嚎( ululate的过去式和过去分词 ); 呜呜地叫; 啼; 哀鸣
unfancy|不别致的,简单的,无装饰的
unfailing|可靠的；经久不衰的；无穷尽的
ule|[医][牙]龈
unproposed|未提出的,未提议的
unfeigned|非假装的, 真实的, 诚实的
unalaska|[地名] [美国] 乌纳拉斯卡
unmanageably|[网络] 无法控制
uranocircite|钡铀云母, 砷铀矿
usuriously|放高利贷地; 取高利地, 高利贷地
unpardonable|不可原谅的, 不可宽恕的
unfits|使不相宜, 使不合格（unfit的第三人称单数形式）
unsoundable|[网络] 不健康
untravelled|不多旅行的, 未远行过的, 人迹不到的, 无人迹的
unjoint|使脱臼, 拆开连结处
unthrone|废除…王位
unshorn|未剪过毛的, 未修剪过的, 未修面(或刮脸)的
unshared|[计] 非共享的
umbrellalike|如伞的, 伞状的
unstably|不稳定地
usurer|高利贷者
underframe|底架[框], 底座
undignified|不庄严的, 无尊严的
unitarian|唯一神教派的
urocystic|[医] 膀胱的
uncorrupted|未腐败的, 未堕落的, 廉洁的
unboastful|不自夸的,谦虚的
uncousinly|[网络] 不情愿地
unmapped|[计] 非变换的
uncorrected|未改正的, 未修正的, 未加管教的, 未调整的
uredinial|[医]夏孢子的
unheeded|未被注意的, 被忽视的
unrepealed|未被撤销(或废除、放弃、否定)的, 仍有效的
unrooted|[计] 无根的
undercolored|欠染的
underwaist|衬里背心, 儿童内衣
unaflow|单流的, 直流的
urobilin|尿胆素
unplaned|未刨平的,未刨光的
underlinings|(underlining 的复数) [计] 加下线
unarmed|没有武装的, 非武装的, 徒手的, 手无寸铁的, 无突的, 无刺的
unsaturates|(unsaturate 的复数) n.[化]不饱和化合物
unprofited|无益的
unpeaceful|不平静的, 不和平的
unsalutary|无益健康的
unpriestly|非教士的,不像教士的,不适于教士的
urodela|[医] 有尾类, 有尾两栖类(动物)
ulcerated|成为溃疡的, 形成溃疡的
unattainable|难到达的, 不可得到的
unionist|工会会员, 工联主义者
urostegite|尾下鳞
underreamer|扩孔器
urazin|[医] 尿嗪(尿素衍生物)
undulance|波状, 起伏
urotoxin|[医] 尿毒素
unground|不磨的, 未磨过的
unswept|未扫过的
unfatherly|不像父亲的,有失父亲身份的,严厉的,残酷的
unsteered|未操纵的
unescapable|逃不掉的,逃脱不了的,不可避免的
undoes|松开( undo的第三人称单数 ); 解开; 毁灭; 败坏
unneeded|不需要的
unstressed|不着重的, 不强调的, 不重读的
underwritten|underwrite的过去分词
unware|不察觉的, 不知道的
unlaw|[法] 无法纪
undiminished|未经缩减的, 未经减少的, 没有降低的
utopistic|utopism的变形
unfriend|删除好友, 即, 将某人从社交网站（如Facebook等）的‘好友’中删除
unwired|无金属丝的, 无电线的
undaunted|大无畏的, 勇敢的
unpassable|[网络] 不可逾越
unsharpened|[网络] 不爽
unbonnet|脱帽
upbraider|责备者, 斥责者, 申斥者, 责骂者
unlogical|[网络] 不合逻辑的
unthinkable|不能考虑的, 不能想像的, 想像不到的, 不合理的
upgoing|向上行进的,向上移动的
upgrader|质量改善装置；升级程序
ungroomed|未加修饰的, 未作准备的
unwatchable|不适合观看的, 使人不想观看的
unsmooth|[计] 不平滑, 不通畅
unassailable|攻不破的, 不容置疑的, 无懈可击的
unlabeled|无标号的
unscrambles|整理, 使回复原状, 译出密码( unscramble的第三人称单数 )
underlayers|(underlayer 的复数) n.下层, 底层,衬层
unflustered|从容不迫的
underskirt|衬裙
unshoed|[网络] 取消了
unhysterical|非歇斯底里的
unalloyed|未搀杂的, 纯粹的, 非合金的
unmalleable|[网络] 不可逾越的
upthrow|向上的投掷, 隆起
upholstering|为…装上垫子[套子、弹簧等], 布置, 装潢( upholster的现在分词 )
unpunishable|不能受惩罚的, 不该受处罚的
upspout|升流管
unlistening|不留神听的, 不敏感的
uprises|起义( uprise的第三人称单数 ); 暴动; 上升; 起床
unleavened|未经发酵的, 没放酵粉的, 未受激发的
uplight|向上的照明器,向上照射的灯
unefficient|无效的, 效率不高的
unwire|[网络] 魔法小精灵
underlaid|underlay的过去式和过去分词
underdose|(药物等的)不足剂时, Vt.给...用药剂量不足
upstretched|向上伸出的
unfenced|没有用篱笆围住的, 没有用栅栏围住的, 没有防卫的
unpractical|不切实际的, 不实用的, 不现实的
uranin|[医] 萤光素钠
unslaked|未满足的, 未安抚的
urinometer|尿比重计
uniformed|使成一样, 使一律化, 使一致
underpowered|动力不足的, 由动力不足的发动机驱动的
unifacial|[考古](燧石工具等)单面精细加工的
unbelonging|不属于…的(to)
unimodality|单峰性
underarm|腋下的
unseal|开封, 开启, 使解除束缚
unplayful|[网络] 无聊
uninjectable|[网络] 不可注射
unshoe|从…脱下鞋, 取下(马) 的蹄铁
underutilize|未充分使用
utopist|utopism的变形
uniplicate|单褶的
untangled|解开（某物的）结( untangle的过去式和过去分词 ); 使不再打结; 整顿; 解决（纠纷等）
unclogs|使畅通, 清除…的阻塞, 扫除…的阻碍( unclog的第三人称单数 )
unarguably|[网络] 毋庸商榷
uplanders|(uplander 的复数) n. 山地, 高地 (upland的变形)
unprinted|[计] 未打印的
undershot|下颚突出的, 下射式的
unfastens|解开（尤指衣服或带子）( unfasten的第三人称单数 ); 松开; 解开, 脱开, 松开
ureteral|输尿管的
unripened|未熟的
uninitiated|外行的, 缺少经验的
undular|[物](水跃)波形的
unwakened|未被唤醒的,未觉醒的
ursuline|乌尔苏拉会的修女
unsteady|不稳固的, 摇摆的, 不稳定的, 易变的, 不安定的, 不规则的, 古怪的, 无常的
unsewered|无沟渠的
uloncus|龈瘤
unriddle|解答, 解开
undergage|尺寸不足
unluckiness|厄运
untuned|[电] 不调谐的
unpleasantry|使人不快的话, 侮辱人的话
unpalatably|unpalatable的变形
uncool|没把握的, 无自信的, 粗野的, 土里土气的
unaverage|不寻常的,突出的,杰出的,出众的
urdu|乌尔都语
uptrace|上升记录
unbox|从箱子中取出
urohyal|尿透明蛋白
unshrinking|不畏缩的, 不退缩的, 不踌躇的
unsightly|不悦目的, 不雅观的, 难看的, 丑陋的
underman|使人员配备不足
underbuild|建筑在...的下面, 加强...的基础
unmakes|使消失( unmake的第三人称单数 ); 使恢复原状; 撤回; 毁灭
underspends|花费少, 少花掉( underspend的名词复数 )
unde|（法）波形的
unrepealable|[法] 不可撤销的, 不得废止的
underbids|出较低的价钱, 叫价过低, 叫牌过低( underbid的第三人称单数 )
umbral|有荫影的, 阴暗的, 本影的
unprojected|未计划的,非预料的
unicameral|一院的, 单院的
unionid|珠蚌
unheaded|[网络] 没头绪
unionized|组织成工会的；未电离的
unfeignedly|不虚伪地, 由衷地, 诚实地
undertrump|[牌]将牌低吃,王牌低吃
unfastening|解开（尤指衣服或带子）( unfasten的现在分词 ); 松开; 解开, 脱开, 松开
undistilled|未蒸馏的
uncultivable|[网络] 不可思议
unpunctual|不准时的
uddered|(牛/羊)乳房...的, 有...乳房的
unionism|工会主义, 联合主义, 联邦主义
umpirage|仲裁人之地位, 裁判, 裁决
ukeleles|(ukelele 的复数)  尤克里里琴
unclassified|无类别的, 不保密的
unbishop|剥夺…的主教职位(或身份)
unretarded|未受阻止的,未被妨碍的, 未推迟的,未延迟的
unsticks|使不再粘着, 扯开, 分开( unstick的第三人称单数 )
unbeaten|未曾挨打的, 未搅打的, 未走过的, 未被击败的
upbraiding|叱责的, 谴责的
universology|宇宙学
underfall|[地]麓坡
unmasks|除去（某人的）面具, 使（某人或某事）露出真相, 揭露( unmask的第三人称单数 )
unvoluntary|[网络] 非自愿的
unguinal|[医] 指(趾)甲的
urethrostomy|[医] 尿道造口术
unyokes|卸除轭( unyoke的第三人称单数 ); 解除束缚; 解开; 停止工作
unstrung|(弓等)解去弦线的, 弦线放松的, 神经衰弱的, 心烦不安的
uncheck|未寄存
uropod|[动]尾肢, 尾足, 腹足
umbellate|[植]伞状花(序)的
unmanning|使失去男子气质( unman的现在分词 ); 阉割; 使怯懦; 使气馁
unreality|不真实, 非现实, 不存在之物
unsettling|扰乱的, 使人不安的
unwiser|unwise（不明智的, 不聪明的）的比较级形式
uropsilus|[网络] 鼩鼹属
ulmaceae|[医] 榆科
uratemia|尿酸血症
ungloved|没有带手套的
utilised|(utilise 的过去分词) vt. 利用, 运用, 使用
upheaver|upheave的变形
uranoschism|[医] 腭裂
unirritable|[医] 无应激性的, 不能刺激的
unadmired|不受钦佩的,不受爱慕的,不值得赞美的
ureterostomy|[医]输尿管造口术
undecomposed|未分解的, 不分解的
unicursal|一笔画
unwetted|未润湿的,(眼睛)无泪水的
unguiform|爪状的
unfrightened|[网络] 未受伤
utriculus|小囊, 小胞, [植]胞果
unwatered|缺水的, 干燥的, 未用水冲淡的, 未稀释的
umbonulate|具小鳞脐的
unmourned|无人哀悼的, 不被痛惜的
urination|撒尿
upraises|举起, 提高( upraise的第三人称单数 )
uriel|[宗]乌列(基督教《圣经》和伊斯兰教《古兰经》所载天使长之一)
uncially|uncial的变形
unprovoked|未受挑衅的, 无正当理由的
umbriferous|成荫的, 遮荫的
unshipped|从船上卸，解下，被卸下( unship的过去式和过去分词 )
undervoltage|[电] 欠压
unfixes|解开( unfix的第三人称单数 )；脱下；拔去；使不稳定
underofficer|使官员配备不足
unarbitrary|[网络] 不可数
unspoke|unspeak的过去式
unaptly|不适合地;迟钝地
uninflected|无屈折变化的；无屈折的
unfastidious|不爱挑剔的,不过分讲究的,不苛求的
unblinking|不眨眼的, 坚定的, 不动摇的
unoxidized|未氧化的
ungraded|未整平的; 劣质; 次级; 次级的
unthankful|不被领情的, 不感恩的, 不知感谢的
uranoschisis|[医] 腭裂
untouchable|达不到的, 碰不着的, 管不到的, 不可批评的, 碰不得的, 不可捉摸的, 无形的
unsaturation|[机] 不饱和现象
undeserved|(赏、罚等)不该受的, 不应得的
undefendable|无法防御的, 不能保卫的, 不可辩解的
unchastity|无贞操, 不贞, 不正派
unfitly|unfit的变形
unrepressed|未受抑制(或压制、约束)的
unseat|剥夺...的席位, 使失去资格, 使退位, 罢免, 使去职, 使退职
unhandsomely|丑;无礼;吝啬地
undernourish|使营养不足
unremedied|未受医治的
uniparental|[生]单亲的, 单性生殖的
unoil|除油, 去油, 脱脂
unprivileged|无特权的, 享受不到特权的
urohematin|[医] 尿血质, 尿血红质
unrolling|展开( unroll的现在分词 ); 铺开; 展现; 显示
ulmic|棕腐质的
ughs|(ugh 的复数) interj. 咄!, 啊!, 呸!
uninebriated|[网络] 无人化
unsolved|未解释的, 未解决的
unenclosed|没围起来的, 不在修道院受管束的
unimpugnable|[法] 无懈可击的, 确凿的, 无可非议的
unfoiled|未被征服的,未被击退的,未受挫的,未受阻的
undeserving|不配受到的, 不值得...的
undecyl|[有化]十一烷基
unflappably|不慌张地;镇定地
ulmin|[化]棕腐质, 赤榆树脂
unclouded|没有云的, 晴朗的, 明朗的
urnfield|(青铜时代的)瓮棺墓地
uranous|铀的, 含四价铀的
unblest|不受天福的, 无福的, 不受祝福的, 邪恶的, 被诅咒的, 倒霉的, 不幸的
unenvied|不受人妒忌(或羡慕)的
unshuttered|[网络] 不耐烦
unlooses|解开, 放松, 释放( unloose的第三人称单数 )
undelineated|[网络] 无序的
unreceptive|不会接受(或容纳)的, 反应不快的,接受能力不强的
unphysical|非物质的
ulcers|溃疡, 疡（ulcer的复数）
unerasable|[网络] 不可磨灭
unhallow|亵渎, 玷污
unbraiding|解开( unbraid的现在分词 )
uniplanar|位于同一平面的
unredeemable|不能收回的, 不能赎回的
uniglandular|[医] 单腺的
uniocular|单眼的, 单眼用的, 单目镜的, 单筒的
uncollected|[法] 不安的, 狼狈的, 未收集的
unisonant|同音的, 同度的, 和谐的
uploading|上传；上载（upload的ing形式）
unentitled|无权利的,无资格的,不配的,不相称的
underrates|对（某人或某事物）评价过低( underrate的第三人称单数 )
unedited|未编辑的, 未刊行的, 未经检查的, 未经审查的, 未经剪辑的
unpleasantly|令人不愉快地, 不讨人喜欢地
undecylenic|十一碳烯的
uraniferous|[化]含铀的
unmilked|(牛等)未挤奶的
unresistant|[网络] 没有抵抗力
undissolute|不放纵的,不放荡的,生活规矩的
unexpectable|无法预料的,不可预言(或预报)的
umbundu|姆班杜语（安哥拉一种语言）；姆班杜人
undulate|波动的, 起伏的
underbidders|(underbidder 的复数) n. 出较低价钱的人, 出低价者, 叫牌低于实力者
unstoried|未载入历史的
updatable|可更新的
unsliced|adj. 未切成片的（面包）
unformed|未成形的, 无定型的, 未充分发展的
unrestful|不安静的, 不能保持宁静的
unplaiting|(unplait 的现在分词) vt.解开…的辫子,使(编织物)散开
unakite|[地]绿帘花岗岩
unwooed|未被追求的,无人求爱(或求婚)的
unyielding|不易弯曲的, 不屈的
unfluted|无(凹)槽的
ultimatums|最后通牒( ultimatum的名词复数 )
unrope|把捆绑…的绳解掉,解绳放开
unladylike|不像贵妇人的
unisparker|单一发火器
uneventful|太平无事的, 平静无事的
unorganic|(=inorganic)无机的
upholstered|装上软垫的；经过布置的
unspilt|未溢出的, 未流出的
untack|分开, 解结
univocally|意思明确地
unwitnessed|未被观察到的, 未被留神注意的, 无证人签署的
unsavoury|没有味道的, 没有香味的, 难吃的, 难闻的, 令人不快的, 不可接受的
unfished|非钓鱼(或捕鱼)用的
utilising|(utilise 的现在分词) vt. 利用, 运用, 使用
unreflective|草率的, 粗心大意的, 鲁莽的
underwit|,愚蠢低能的人, 笨蛋, 傻瓜
utterer|[法] 发表人, 表达者
underquoting|开出较市场价低之价格
uvarovite|[矿]钙铬榴石
unsubmissive|不服从的,不顺从的,不柔顺的,坚强不屈的
unhitched|剩男剩女, 未婚的, 未捆绑的
urostege|尾下鳞
unelaborated|概略的
unsaddles|解下马鞍, 使坠马( unsaddle的第三人称单数 )
ultras|[化] 超促进剂
unrusted|未生锈的
urochord|尾索(尾索类动物的脊索只存在于尾部的一段)
unweaves|拆, 解开( unweave的第三人称单数 )
unassignable|[计] 未赋值的
unsocialized|缺乏社会教养的, 未受教化的
unsurprising|不令人吃惊的
upbear|支承,托起, 支持
unsinkable|不会下沉的, 不会沉底的
unchain|给...解开锁链, 释放, 解放
unheroic|不英勇的,胆怯的,给人印象不深的
unbiasedness|不偏性
underbright|云下近地平线处偶尔可见的很亮的光线条纹
unscarred|无疮疤的, 无疤痕的
unclothes|使脱去衣服, 剥光( unclothe的第三人称单数 )
unsorted|[计] 未排序的
underdogs|失败者( underdog的复数形式 ); 受苦人; 处于劣势的人（或团队、国家等）; 弱者
unseated|（马）把（骑手）摔下来( unseat的过去式和过去分词 ); 夺去（议员等的）席位; 革除（职位）; 使失去资格
undrape|除去...掩盖物, 揭开
untangling|解开（某物的）结( untangle的现在分词 ); 使不再打结; 整顿; 解决（纠纷等）
unknightly|非骑士的,与骑士身份不相称的,不侠义的
underquote|开出较市场价低之价格
undignify|使丧失尊严
uniforms|制服（uniform的复数）
uncrossing|使不交叉( uncross的现在分词 )
unlikeness|不大可能的事, 不同, 不一样
unbrotherly|非兄弟般的, 不友爱的,不亲切的
unremitting|不懈的, 不断的, 坚忍的, 持续的
uxoriousness|疼爱妻子
unrolls|展开( unroll的第三人称单数 ); 铺开; 展现; 显示
undertax|课税太低
unmarketable|不能销售的, 滞销的
unpedigreed|无门第的,非名门出身的
upholder|支持者, 拥护者, 赞成者, 支撑物
unpressed|未压缩的
urinologist|[医] 泌尿科学家, 泌尿科医师
unrepaired|[法] 未修缮的, 破损的
upness|向上的状态和性质
usufructuary|用益权使用者, 有用益权者
unshored|无支撑的
untimeliness|不合时宜
uridrosis|[医] 尿汗症
uncombable|[网络] 不可组合
unexecuted|未实行的, 未执行的, 未根据条款履行的
unciae|uncia的变形
undergreen|下部呈绿色的
umatilla|尤马蒂拉 (佛罗里达州)
usherette|女引座员
unconformist|[网络] 不符合
unconnected|不连接的, 分离的, 不连贯的, 无亲属关系的
untwining|解开, 拆开( untwine的现在分词 )
unlimber|把(炮)从牵引车卸下并作好发射准备, 使做好使用前的准备
uncapping|(uncap 的现在分词) vt. 脱掉帽子, 打开盖
ultrared|红外线的
unexcitable|激动不起来的,不易激动的, 不易兴奋的
underdrawing|底稿, （未上油色前的）草图
undervest|汗衫, 汗背心
undersetting|底流, 暗流, 与海面流向相反的潜流( underset的现在分词 )
undebatable|无可争辩的, 无可置疑的
unhackneyed|不陈腐的, 还没陈旧的, 不平凡的, 新鲜的, 有创造性的
ubi|(处方用语)在那里,无论在哪里, 无论何时
unpledged|未经保证的,未许诺的
unplayable|无法用乐器演奏的
uninscribed|[财]无记名的
uprisen|uprise的过去分词
urao|天然碱, 天然重碳酸钠
unfreezing|融化, 使解冻( unfreeze的现在分词 )
upwells|（水等）上涌（upwell的第三人称单数形式）
udalman|拥有土地自由保有权者
unhanding|将…放掉, 把手从…移开( unhand的现在分词 )
unbarrelled|[网络] 没有保护
ulama|乌力马(穆斯林的学者或宗教、法律的权威)
uroxanic|[医] 二脲丙二酸基的
untrusting|不信任的
umbels|(umbel 的复数) n. 伞状花序
underpasses|地下通道( underpass的复数形式 ); 下穿道
uncustomed|未经海关通过的, 未报关的, 未付关税的
undercuts|削弱( undercut的第三人称单数 ); 以低于（竞争者）的价码出售货物或提供服务; 接受较低工资与…抢工作
utricle|小囊, 胞囊, 胞果
unremitted|未赦免的, 继续不断的
uncalled|未被召唤的, 未经邀请的
unprevalent|无用的, 无效的
unsalubrious|无益于健康的, 不利的
undersoil|底土, 下层土
uranographic|uranography的变形
underlips|下唇
undertakers|殡仪业人员( undertaker的复数形式 )
usar|United States Army Reserve 美国陆军后备队
uninspiring|引不起兴趣的, 无鼓舞作用的, 无指望的
unsatiated|[网络] 不满意
unrecorded|[经] 未记帐的, 未入帐的
uniseptate|[生]单隔膜的
unsectarian|非宗派的,不闹宗派的
