earth|地球
eosinophilia|[医] 嗜曙红细胞增多, 嗜曙红性
edacious|贪吃的, 狼吞虎咽的
euphonise|<主英>=euphonize
electromotor|发电机, 电动机, 电气马达
ensorcell|迷惑, 盅惑, 使着迷
electrolyzer|[化]电解剂
erotics|(erotic 的复数) a. 性爱的, 性欲的, 色情的
enlisting|（使）入伍, （使）参军( enlist的现在分词 ); 获得（帮助或支持）
exochorion|(高级脊椎动物的)绒毛膜表层,(昆虫的)外卵壳
emotiomotor|情绪性活动的
elegances|(elegance 的复数) n. 高雅, 典雅, 优雅
eulogize|称赞, 颂扬
elt|英语教育（English Language Teaching）；欧洲书信电报（European Letter Telegram）
enlightening|有启发作用的, 使人领悟的
ese|电气支援设备（lectrical Support Equipment）；东南东（East South East）
endogenetic|[生]内生的,内成的
effluvium|臭气, 恶臭, 废料
endocellular|室内的, 笼内的, 细胞内的, 内向的
endoconidium|(pl.-nidia) 内分生孢子
ephestia|[网络] 粉蛾；粉斑螟属；地中海粉螟
egger|幼虫食叶子的蛾类,搜集鸡蛋的人
emball|emballasje (Norwegian=packing) （挪威语）包装
exorcizing|（用祈祷等）驱除（恶魔）, 给（某人、某地）驱除妖魔( exorcize的现在分词 )
extraneous|外来的, 非必要的, 无关的
eris|[希神]厄里斯（不和的女神, 夜女神的女儿）
eyebrows|眉毛（eyebrow的复数）
entailment|[法] 限定继承, 世袭财产
equiform|形状一样的, 作用一样的
embosomed|把…藏于胸中( embosom的过去式和过去分词 )；围绕；环绕；珍爱
elohist|<希伯来>埃洛希姆派(在希伯来文《旧约》中某些章节称上帝为埃洛希姆而不称为耶和华的无名氏作者)
effractor|[法] 窃贼
ecclesiastes|[宗]传道书
exigible|可要求的, 可强求的
escalating|（使）逐步升级( escalate的现在分词 ); （使）逐步扩大; （使）更高; （使）更大
euphonies|声音（尤指语音的）和谐, 谐音( euphony的名词复数 )
evanishment|<书>消失, 消散
encumber|妨害, 阻塞, 拖累
emptio|[法] 购买
ephraimite|☉以法莲后裔；以法莲簇人
euryhaline|能在不同盐分之环境中存活的, 广盐性的
epilated|给…拔毛, 使脱毛( epilate的过去式和过去分词 )
ethynyl|[化]乙炔基
esoterically|机密地, 神秘地
exch|[经] 交易所
exceptor|except的变形
effluvia|[医] 泄出, 排出, 排出物, 臭气
epityphlitis|阑尾炎
etched|被侵蚀的, 被蚀刻的, 风化的
ecclesiarch|教堂司事
exteriorized|将器官由腹取出( exteriorize的过去式和过去分词 )
evaginate|(使)外翻
emblemize|(=emblematize)标记, 象征
exclusionism|排外主义
emphasizes|强调( emphasize的第三人称单数 ); 加强语气; 重读; 使突出
evap|evaporate 蒸发; evaporation 蒸发; evaporize 蒸发; evaporator 蒸发器
ethylenic|ethylene的变形
ethiodide|乙碘化合物
epilog|尾声, 收场白, 闭幕词, 结尾部分, 跋, 后记
entogenous|内生的, 内源的
embroil|使卷入, 牵连
eclairs|（法）一种指形小饼
enameling|上釉术；上釉药
epilobium|柳叶菜属
evolves|演变, 进化( evolve的第三人称单数 ); （动植物等 ）进化, 进化形成
enigmatized|使成谜；使费解
ecchymosis|瘀斑
edgeways|以刃向外, 从旁边
egomania|极端利己, 自大狂
equitably|公正地, 依据衡平法
excruciation|酷刑, 苦楚, 苦恼, 剧痛, 拷问
eventuating|结果, 归结( eventuate的现在分词 )
ebenezer|埃比尼泽(姓氏)
evocation|唤出, 招魂, 唤起
exhorting|劝告, 劝说( exhort的现在分词 )
embrittling|使变脆( embrittle的现在分词 )
esperantido|[网络] 世界末日
echinops|[医] 蓝刺头属, 漏卢属
empowering|授权( empower的现在分词 ); 准许; 增加（某人的）自主权; 使控制局势
escargot|<法语>食用蜗牛
extendedly|广泛地
electrotypic|electrotypy的变形
ecstrophy|(=exstrophy)外翻
editable|可编辑的
expounding|论述, 详细讲解( expound的现在分词 )
ettle|废矿石
esterifying|（使）酯化( esterify的现在分词 )
enzymically|enzymatic的变形；enzymic的变形
exfoliative|[医] 表皮脱落的, 鳞片样脱皮的, 表皮剥脱的
equational|方程式的, 均分的
exoneration|免罪, 免除
extraversive|外翻的, 外倾的,外向的
echinodermal|echinoderm的变形
eragrostis|[网络] 画眉草属；知风飘拂草；头穗莎草
edaphically|edaphic的变形
eulogized|称赞, 颂扬( eulogize的过去式和过去分词 ); 讴歌
enterokinase|[生化]肠激酶
ensigncy|少尉官职(职务)
excambion|【苏格兰法律】(土地货物的)交换
enhydrous|水的
exceedable|exceed的变形
exaration|冰川剥蚀(作用)
excitor|[解]刺激神经
emotivity|表现感情,激起感情,易动感情
euaster|真星型
epidendron|【植物】美洲石斛[南美洲和西印度群岛产的兰科兰属 (Epidendrum)植物，尤指美洲热带寄生兰]
escribed|旁切的
epulation|宴请, 款待
ergograph|测力器
estimably|值得敬重地, 应受尊敬地, 可尊敬地（estimable的副词形式）
eriogonum|[植物]绒毛属 （Eriogonum） 植物
encrustation|结壳, 用覆盖物, 镶嵌, 硬壳
entrenching|用壕沟围绕或保护…( entrench的现在分词 ); 牢固地确立…
eachwhere|[废语] =everywhere
embrasure|枪眼, 炮眼
emer|emerald 祖母绿, 绿宝石; emergency 紧急事件
elia|伊利亚(Charles Lamb的笔名)
erepsin|[生化]肠肽酶,肠蛋白酵素
ebbets|[人名] 埃贝茨
essentia|[医] [生物]要素, 露, 香精剂(挥发油醇溶液)
erasure|擦除, 抹掉
endue|授予, 赋予, 穿上
encrypt|[计] 加密
emigrational|emigration的变形
enriched|浓缩的；强化的
exogenic|[生]外生的, [地]外成的, [医]外因的
extensimeter|[机]伸长计,变形测定器
eightscore|一百六十
ergometric|测功(计)的, 由测功计测得的
epeiric|伸入内地的
elans|(elan 的复数) n.<法>锐气, 热忱
epentheses|插字, 插音( epenthesis的名词复数 )
emollients|润滑剂, 润肤剂( emollient的复数形式 )
exoterically|exoterical的变形
excused|原谅( excuse的过去式和过去分词 ); 使免除; 准许…离开; 为…辩解
embarkment|装船, 上船
espaliered|墙树；墙式树木
empathizing|移情, 神会( empathize的现在分词 )
espagnole|[网络] 西班牙沙司；西班牙人
exogyra|大贝蛤；歪嘴蛎属
ebonizing|使成乌木色, 使像乌木( ebonize的现在分词 )
elastics|(elastic 的复数) n. 松紧带, 橡皮筋
endometrial|[医] 子宫内膜的
episcleral|[医] 巩膜上的, 巩膜外层的
eradicators|(eradicator 的复数) n. 根除者, 去污剂, 退色灵
exteriors|外面( exterior的复数形式 ); 外貌; 户外景色图
enuretic|遗尿的
expender|expend的变形
electronvolt|电子伏特
engl|englisch (German=English) （德语）英语
encourager|encourage的变形
embowed|弓形的, 弧形的
enmeshing|使陷入（网中）( enmesh的现在分词 )
enorm|[古语] 庞大的；极大的, 巨大的, 其大无比的
ellipsometer|偏振光椭圆率测量仪, 椭率计
excretive|排泄的, 分泌的, 促进排泄的
eodiscid|始盘类
endorsers|背书人, 转让人( endorser的名词复数 )
endamage|使损坏
entocone|上内尖
euxenite|黑稀金矿
educatedness|educated的变形
effronteries|厚颜无耻, 无礼（的行为）( effrontery的名词复数 )
emparadise|使登天堂, 使成乐园
elucidative|解释的, 说明的
examinant|审查员, 主考人, 受试人, 受检查之人
equates|认为某事物（与另一事物）相等或相仿( equate的第三人称单数 ); 相当于; 等于; 把（一事物） 和（另一事物）等同看待
earns|赚得( earn的第三人称单数 ); 挣钱; 生（利）; 获（利）
evaporates|（使某物）蒸发掉( evaporate的第三人称单数 ); 消失, 不复存在; 使脱水
estrogenic|[医] 动情的, 雌激素的
euthyneura|直神经亚纲
eupnoea|平静呼吸
epiglottic|[医] 会厌的
essayer|散文；试图；随笔 (essay的变形)
empaistic|浮雕的,压花的
equinoctial|春分(或秋分)时的暴风雨
expulsion|逐出, 开除, 驱逐, 排气
extrapolates|（由已知资料对未知事实或价值）推算, 推断( extrapolate的名词复数 )
enactive|制定法律的
enteralgia|[医]肠痛
enteroscopy|[医] 肠寄生物
epeirogeny|造陆作用
exotropism|外向性
elisions|(elision 的复数) n. 元音省略
embraceable|能被拥抱的；能被理解或接受的
eternalize|使永恒, 使不朽
embranchment|支流, 分支机构, 分支, 支脉
epinine|麻黄宁(合成的麻黄素代用药), N-甲基-3, 4-二烃基苯乙胺
erotesis|[修]反问法
etherizer|麻醉剂
experient|有经验的人
epicondyle|[解]上髁
euphoriant|[医]安乐药
exploitatory|[网络] 剥削性
ebonies|乌木制的, 黑檀木制的；似木的, 黑檀木色的
etesian|[常用复]地中海季风, 一年一次的
empyemas|(empyema 的复数) n. 积脓症
enticement|诱骗, 诱饵
effulgent|光辉灿烂的
earwitness|[律]以耳闻情况作证的人,亲听证人
espouser|嫁娶; 支持; 拥护; 赞成
earlyish|够早的, 相当早的, 早得很的
elaterite|弹性沥青
everyway|无论怎样看法, 任从那一方面来看
echolocate|凭回声(或回波)测定…的方向(或位置)
excuses|理由( excuse的名词复数 ); 歉意; 拙劣样品
esophago|食管
enshield|保护,包庇
engirdle|(=engirel) 用带缠绕, 围绕
ems|扩展内存规范
elongates|延长, 加长( elongate的第三人称单数 )
euchloric|euchlorine, euchlorin的变形
endoangiitis|[医]血管内膜炎
endospermic|[医]富胚乳的, 胚乳的
emblazonment|纹章装饰
echoed|重复, 随声附和( echo的过去式和过去分词 ); 类似; 发射（声音等）; 发出回声
entomical|昆虫的
earnestly|诚挚地；认真地
ethnography|人种论, 人种学
electrize|使起电, 使电气化
exigencies|紧急状态；迫切情况（exigency的复数形式）
emblematical|象征的
erased|被清除的；[纹章]断掉并留有不平均边的
exotoxins|(exotoxin 的复数) n. 外毒素
encoffin|装殓
enneahedral|[数]九角的, 九面的
effector|效应器, 效应基因
enamoured|倾心于...的, 被迷住的, 迷恋的
ecurie|厩, 马房, 牲口棚；不整洁的住所；赛马中同一马主的马、同一马场的马；赛车中代表同一厂家的赛车或赛车人
envisages|想像, 设想( envisage的第三人称单数 )
earthtongue|[网络] 地球
epidermoid|表皮样的
enhydrite|[矿]含水矿物
eightpenny|八便士的
epicardial|[解]心外膜的
eyr|East Yorkshire Regiment 东约克夏军团
escorting|护送, 护卫( escort的现在分词 )
epornitic|禽疫
etiquettes|(etiquette 的复数) n. 礼仪, 礼节, 成规
evaporometer|[化] 蒸发计
ebbing|（指潮水）退( ebb的现在分词 ); 落; 减少; 衰落
eastering|【基督教】；复活节(一年一度纪念“耶稣复活”的节日，一般在3月21日或在当日后的第一个星期日)
eulogies|颂词, 颂文( eulogy的名词复数 )
endways|末端朝上地
embodied|表现( embody的过去式和过去分词 ); 象征; 包括; 包含
exscutellate|(=exscutellatus)无小盾的
egging|煽动, 怂恿（egg的现在分词形式）
exstipulate|[植]无托叶的
enswathement|包扎
electrosteel|电炉钢
enamoredness|[网络] 迷恋
expectantly|期待, 期待着, 期望, 预期
eddish|[英国方言]（刈割后的再生草）
ebullioscopy|沸点升高测定法
esopus|[地名] [美国] 伊索珀斯
expatriatism|[主英国英语]；☉在国外长期生活
eleocharis|荸荠属
ergs|(erg 的复数) n. 尔格
eastwardly|向东, 从东方
eupepticity|消化良好的感觉, 消化良好的状态
elephantidae|[脊椎] 象科
eversion|外翻, 翻转
entasia|[医]强直性痉挛
equivalency|均等, 同类, 同义, 等量, 等值, 等价, 相当, 相等
enteroviral|[医]肠病毒的
ethmoiditis|筛骨炎
exility|<古>稀少, 纤细
electrometer|静电计
expectably|如所意料或预期地
engram|记忆的痕迹
enjambments|(enjambment 的复数) n.(=enjamkement)(诗句之)跨行连续
electrophore|[医] 电承
endosteoma|内生骨瘤
exotoxic|[医] 外毒素的
elinor|埃莉诺（女子名）
egis|保护, 维护
ectophyte|(生活在另一机体外表的)外生植物
expresser|[医] 压榨器
epilation|拔毛, 脱毛法,头发脱落
exiting|离开, 退场( exit的现在分词 )
embassage|(=embassy)大使, 使命
edam|一种用红蜡包封的黄色乳酪,荷兰形干酪
emote|装模作样, 表现感情
effusing|涌出, 流出, 泻出( effuse的现在分词 )
etiolin|[医] 子生植物黄素
emptied|耗尽的；已清除的
entombs|埋葬, 成为…的坟墓( entomb的第三人称单数 )
exindusiate|无(囊群)盖的
erosional|侵蚀
eumenorrhea|月经正常
exuding|缓慢流出, 渗出, 分泌出( exude的现在分词 ); 流露出对（某物）的神态或感情
elkwood|[网络] 埃尔克伍德
ennobled|封…为贵族, 使高贵( ennoble的过去式和过去分词 )
embracingly|embrace的变形
enactory|制定法律的
exercised|锻炼, 训练, 练习( exercise的过去式和过去分词 ); 锻炼（身体某部位）; 使焦虑; 发挥（作用）
emic|位的, 着位的
emendable|可修订的
equalisation|[医]同等化, 均等化
epoxy|环氧的
expectable|能预期的, 意料中的
euryon|[解]颅阔点
ejective|放出的, 喷出的, 驱逐的
erethismic|[医] 兴奋增盛的
entwines|缠绕, 盘绕( entwine的第三人称单数 )
exchequer|(英国)财政部, 国库
eidoptometry|视力测定法
emplacements|放列动作( emplacement的复数形式 ); 炮兵掩体; 炮位; 炮台
erucivorous|食虫的
effectuality|有效性
emplectite|硫铜铋矿
ectoglia|外(神经)胶质
evocator|唤起人,招魂者, [生]唤起物,诱发物
elvers|(elver 的复数) n.[鱼]幼鳗
ergophobia|工作恐怖, 对工作之厌恶
eucrasia|体质正常
electrocutes|<美>处电刑, 触电致死( electrocute的第三人称单数 )
editorially|以编辑身份地；以社论形式
epistyle|[建]柱顶过梁
expunge|擦掉, 删掉, 除去
expurgation|消去, 删去, 廓清
epigeal|[动]生长在地上的, 贴地生长的,浅水生长的
eutherian|& n.[动]真哺乳亚纲的(动物)
extolment|赞颂, 赞扬, 赞美
etherifies|醚化
epidiorite|变闪长石
endodontic|[医]牙髓学的
enclothe|给...穿衣, 披盖
excavators|开凿者, 发掘者( excavator的复数形式 ); 挖掘机
eyewash|洗眼水, 无稽之谈, 骗局
expropriates|没收（财产）, 征用( expropriate的名词复数 ); 剥夺…的所有权
ergotize|使染麦角病
effaces|擦掉( efface的第三人称单数 ); 抹去; 超越; 使黯然失色
extubate|从(喉)处除管
epibenthic|[医]湖沿岸的，浅水底的，沿岸浅海底的
elementalism|自然力崇拜
exasperation|恼怒, 恼怒的原因
echinulate|[生]具小刺的, 有小刺的
elvanite|【地质学】淡英斑岩
exalter|exalt的变形
equipluve|等雨量线
expositions|<正>阐述( exposition的复数形式 ); 讲解; 展览会; 博览会
eradiation|发射
embryotega|胚盖
equilibrate|(使)平衡, 与...平衡
exognathion|上颌骨齿槽突
eviscerates|切除…的内脏( eviscerate的第三人称单数 )
electromer|[化]电子异构体
ergate|[昆]工蚁
ency|encyclopaedia 百科全书; encyclopedia 百科全书; encyclopaedical 百科全书的; encyclopaedism 百科全书的知识
emmett|埃米特（人名, 地名）
euhemeristic|神话即历史论的
excogitator|excogitate的变形
elflock|鬈结的头发, 卷发
exegete|注释学者, 评注家
enthronize|立...为王, 使登基, 任为主教, 崇拜
epileptiform|[医]癫痫样的
effervescing|冒气泡, 起泡沫( effervesce的现在分词 )
enterovirus|[微]肠道病毒
echinoderm|棘皮动物
entrant|新会员, 新成员, 进入者
educating|教育( educate的现在分词 ); 训练, 培养; 教导, 教养
exhilarative|使人高兴的, 使人畅快的, 令人振奋的
exponents|倡导者( exponent的复数形式 ); 说明者; 指数; 能手
erythrite|[矿]钴华, [微] 赤藻糖醇
ethionine|[化]乙硫氨基酪酸
exhauster|排气器
eikonogen|影源
excerpting|摘录, 引用
endyma|(=ependyma)室管膜
errantry|游侠行为
ecclesiology|教会学, 教会建筑学
epigaea|[网络] 蔓地莓属；落后的杨梅；地不容
equisignal|等强信号
eurytopicity|[生]广适性
exordial|绪言的, 绪论的
effluxion|[医] 溢出物, 流产
empurple|使成紫色
euphotide|糟化辉长岩
epitympanum|[解]鼓室上隐窝
exertive|使努力的,费力的
effeminating|柔弱的；女人气的
enchanted|中魔法的; 着了魔的; 狂喜的; 极乐的
ebonise|<主英>=ebonize
emasculates|阉割( emasculate的第三人称单数 ); 使柔弱; 删削; 使无力
endocyclic|[医] 内环的, 桥环的
exter|[人名] 埃克斯特; [地名] [德国] 埃克斯特
equivalve|[动]两壳形式和大小相同的
enforcive|enforce的变形
elongations|延长( elongation的复数形式 ); 延长线; <机>延伸率; <天>距（角）
erosionally|erosional的变形
echos|(echo 的第三人称 -s形式) n. 回声, 回音, 回波
exemplars|模型( exemplar的复数形式 ); 模范; 原型; 典型
enthralling|迷人的
etherified|醚化
echidna|针鼹鼠
endonuclease|[化] 内切核酸酶; 核酸内切酶
egoistic|自我中心的, 自私自利的
eozoonal|原始虫状的
eire|爱尔兰
edulcorating|使甜；除去酸味；使纯
essie|埃西（女子名, 等于Esther）
equitation|骑马, 骑术
evaniidae|旗腹姬蜂科
espy|看出, 望见, 发现
everting|使（器官等）外翻( evert的现在分词 )
epithalamion|喜歌, 颂歌
exothermal|[医] 放热的
elaborating|详尽说明( elaborate的现在分词 ); 变得复杂; 详细制定; 详尽阐述
effulgence|光辉, 灿烂
euonymin|[药]卫矛甙
effie|埃菲（女子名）
erythrocytes|[医]红细胞
englishing|英文的；英国的；英国人的
encasing|外壳, 覆板, 覆面, 砌面, 罩子
eudaemonics|幸福学, 获得幸福的方法
extracurial|法庭外安排解决的,庭外和解的
ethoxyethane|[化] 乙醚
eugenie|尤金妮娅(人名)
embrowned|着褐色, 使成淡黑( embrown的过去式和过去分词 )
euphroe|[船]绳索收紧器
exciseman|收税官
evangelized|传福音, 使信基督教( evangelize的过去式和过去分词 )
erythrocytic|[医] 红细胞的
exsiccatae|(=exsiccata)蜡叶标本, 干标本
echoic|拟声的
eutaxite|条纹斑杂岩
evan|埃文（男子名）
encircling|[计] 包围, 环绕
ecmnesia|[医]近事遗忘
enthusiasts|热心人, 热衷者( enthusiast的复数形式 )
exhalation|呼气, 蒸发, 散发物
empathic|感情移入的
ephyrae|蝶状幼体
exhorter|劝勉者, 提倡者, 告诫者
embrocate|涂擦药液
expressible|可表现的, 可榨出的
epanalepsis|语句间隔反复
ehrman|[人名] 埃尔曼
earthwards|向地球, 向地面
earmarks|指定…作为特定用途( earmark的第三人称单数 )
extrovert|外向性格的人
evittate|[医] 无带的
exalting|赞扬( exalt的现在分词 ); 歌颂; 提升; 提拔
elaine|伊莱恩（女子名）
eyeish|[网络] 眼神
edgeless|没刀刃的, 钝的
escapers|(escaper 的复数)  排放器
edenic|Eden的变形
eternizing|使永恒, 使不朽( eternize的现在分词 )
elateridae|叩头虫科
earlet|小耳
eurythermic|[医] 泛温生长的, 阔温域的
emanatively|emanative的变形
equinia|[兽医]马鼻疽, 马皮疽
epsilon|希腊语字母之第五字
extrafloral|[植]在花外的
entoderm|内胚层
eugenists|(eugenist 的复数) n. 优生学家
extramundane|超越现世的, 物质界以外的
estranges|使疏远（尤指家庭成员之间）( estrange的第三人称单数 )
envelopment|包, 包围, 封套, 封皮, 封, 裹
ectypography|一种线条蚀刻不深的版画技术
encastage|将待烧之陶胚或瓷胚加以排列
eisodic|[医] 输入的, 传入的, 向心的
erse|(苏格兰)盖尔语
epidermatoid|表皮样的
echoism|拟声, 形声
epaulet|肩章, 肩饰
entrusted|委托, 托付( entrust的过去式和过去分词 )
excepting|除...外, 要不是, 只是
enophthalmos|[医] 眼球陷没
educe|引出, 推断出, 使显出
equisetum|木贼属植物
erotomania|色情狂
eternities|永恒( eternity的名词复数 ); 来世; 永生; 似乎相当长的一段时间
endowments|（经常的）资助( endowment的复数形式 ); 捐助的财物等; 天赋; 养老保险
extolled|赞颂, 赞扬, 赞美( extol的过去式和过去分词 )
evader|逃避者,逃避物
entomologist|昆虫学者
elevations|（水平或数量）提高( elevation的复数形式 ); 高地; 海拔; 提升
euxanthone|[化] 优┷吨酮; 1,7-二羟(基)-9-氧杂蒽酮(请比较flavone黄酮)
epigaeous|出土的(指子叶)
eelspear|捕鳗叉
ellagitannin|鞣花单宁, 鞣花鞣质
employing|雇用( employ的现在分词 ); 使用, 利用
endowing|捐钱( endow的现在分词 ); 捐赠; 资助; 使（某人）天生具有（好资质、能力等）
expectorator|咳痰者，吐痰者
ectomorphic|外胚层体型的, 瘦型体质的
extinguisher|熄灭者, 灭火器, 消灭者
eclat|大成功, 喝采
expunged|擦掉( expunge的过去式和过去分词 ); 除去; 删去; 消除
endued|授予, 赋予（特性、才能等）( endue的过去式和过去分词 )
eudipleural|两部对应的,左右对称的
edeotomy|[医] 生殖器解剖学
endocolitis|[医] 结肠粘膜炎
erythron|[生理]红细胞系
eugranitic|花岗岩状
eckehart|(Eckehart)人名；(德)埃克哈特
expiring|期满( expire的现在分词 ); 文件、协议等（因到期而）失效; 断气; 逝世
echinoderma|[网络] 棘皮动物
expellees|(expellee 的复数) n. 被驱逐(出国)者
enspheres|使成球形, 包围( ensphere的第三人称单数 )
ecorche|肌肉和骨骼部位图
exorcising|（用祈祷等）驱除（恶魔）, 给（某人、某地）驱除妖魔( exorcise的现在分词 ); （用祈祷等）驱除（恶魔）, 给（某人、某地）驱除妖魔( exorcize的现在分词 )
excluder|排除器
embolic|插子的, 栓子的
especial|特别的, 特殊的
epilemmal|[医] 神经梢膜的
enterococci|[医]〔单enterococcus〕肠球菌
endorhinitis|[医] 鼻粘膜炎
explanations|解释, 说明( explanation的复数形式 ); 能说明某事缘由的言语、事实、情况等
echidnae|单孔目哺乳动物, 针鼹鼠( echidna的名词复数 )
elutriated|淘析；净化；洗涤
enlarger|放大机, 扩大者, 详述者
epicycle|本轮
ephebes|(ephebe 的复数) n.男青年
euangiotic|[医] 血管丰富的
embelia|[医] 信筒子
enlisted|应募入伍的
erythrasma|红癣
evinced|表明, 标示( evince的过去式和过去分词 )
evolving|展开的；进化的
engirdling|用带缠绕, 围绕( engirdle的现在分词 )
echinid|[医]缘毛
emulate|效法, 尽力赶上, 同...竞争
epigrapher|碑铭研究家, 金石学家
euphenics|人种改良运动
eyetooth|上犬齿
ensconced|安置好的, 安居的
epiphyll|叶附生植物
embathe|洗, 浸
enunciations|(enunciation 的复数) n. 说明, 发音, 宣布
eutocia|安产, 平产
esmeralda|埃斯梅拉达（女子名）
eggheaded|书呆子的,书生气十足的
endophyllum|内锈菌属
extermine|<废>=exterminate
eyebath|洗眼杯
emblements|庄稼(收益)
easterlies|[pl. ][气]东风带
elpidite|(斜)钠锆石
embryology|胚胎学
equipollency|均等, 相等
exoduses|离去，退出（exodus的复数形式）
earhole|耳孔
erron|erroneous 错误的; erroneously 错误地
emprize|冒险事业;勇武;武侠
ectosphenoid|[医] 外侧楔骨, 第三楔骨
endodontics|[医]牙髓学
equiangular|等角的
escapees|逃脱者, 逃亡者, 逃犯( escapee的复数形式 )
eurodollar|欧洲美元(指欧洲银行的美元存款)
electromeric|[化]电子异构的
economized|节省, 减少开支( economize的过去式和过去分词 )
eggless|不产卵的
extraversion|外倾
estrum|动情期, 动情周期
extrados|[建]拱背(拱的外缘线)
eyefuls|满眼, 满眶, 一瞥所见( eyeful的复数形式 )
eld|<古>高龄, 古代,古人
eelworm|线虫
enthrones|使（国王、女王或主教）登基, 即位( enthrone的第三人称单数 )
enskies|（使）耸入天空, 把…捧上天( ensky的第三人称单数 )
equalness|equal的变形
empalement|empale的变形
earthliest|earthly（地球的, 地上的）的最高级形式
epexegesis|[语]增词,补说(语)
enterolysis|[医] 肠粘连松解术
elfish|如小精灵的, 好恶作剧的, 小妖精的
eisteddfod|诗人, 音乐家大会
exploitable|可开发的, 可剥削的, 可利用的
educative|教育的, 教育上的, 教育性的
endochondral|[解]软骨内的
earlock|鬓发
embellisher|embellish的变形
euphuistical|华丽词藻的
enjoined|命令( enjoin的过去式和过去分词 )
esdragol|龙蒿脑, 甲基黑椒酚
emasculated|去势的, 被阉割的, 柔弱的
elysian|乐土的, 象天堂的
exenterate|去除...的内含物
endoneurium|神经内膜
ectotheca|外壁
electropult|电气发射机, 发射装置
eradicant|铲除剂
entomic|昆虫的
elytra|（elytron的复数形式）翅鞘,翅基
emeritus|名誉退休的, 退休后保留头衔的
explicated|<正>解释, 说明（文章或计划等）( explicate的过去式和过去分词 )
elephantine|象的, 巨大的, 粗笨的
entryways|入口通道( entryway的名词复数 )
episematic|花纹使同种动物互相认识的
enthalpy|焓
eldorado|<西>理想中的黄金国, 富庶之乡
encephalous|(软体动物等)头部显著的
epicedial|epicedium的变形
enolase|[生化]烯醇酶
entrants|参加者( entrant的复数形式 ); 加入某行业的人
ecru|本色的
erithacus|[网络] 欧亚鸲属；亚洲属；三趾翠鸟
enalite|[矿]变铀钍石
egesta|排泄物
exptl|experimental 实验的, 根据实验的
embowers|以树叶遮盖；隐藏在树林中
emulators|模拟器；[自] 仿真器（emulator的复数形式）
ectocondyle|外髁
exertions|努力( exertion的复数形式 ); 费力; （能力、权力等的）运用; 行使
extrabulbar|[医] 球外的(尿道球外的,延髓外的)
esemplastic|有组织作用的,有融合作用的
emitter|发射体, 发射极
ecstatic|狂喜的人
ecardinal|无铰的
economizers|节约者, 节约装置, 经济家( economizer的名词复数 )
euchroic|真色
extendible|[计] 可扩充的, 可扩展的
empurpling|使成紫色, 发紫( empurple的现在分词 )
egos|自我, 自尊, 自负( ego的复数形式 )
eslisor|司法,行政官,代理人
ecoute|监听, 窃听；收听无线电, 听电话；
enfetter|给...上脚镣, 束缚, 使受制于
earthshaking|惊天动地的
elayl|[医]乙烯, 亚乙基
expounder|解释者
ell|厄尔(英国旧时量布的长度单位), 字母L, L形物
enregiment|把...编成联队
esterase|酯酶
episternal|上胸骨的, 前侧片的(昆虫)
eduction|引出, 推断, 排出
escaper|排放器
endoscopy|[医] 内窥镜检查
ethnarch|行政长官, 总督, (种族、部落的)首领
eyelashes|睫毛; 睫毛( eyelash的复数形式 )
excursuses|附录, 附记, 补说( excursus的名词复数 )
evildoers|（尤指经常）为恶者, 做坏事的人( evildoer的复数形式 ); 妖魔鬼怪
eurythmic|音乐舞蹈体操的, (建筑物)比例协调的
endotheloid|endothelium的变形
expertism|专长, 专门技能(或知识等)
eclogite|[地]榴辉岩
epilepsia|[医] 癫痫(羊痫疯)
emunctory|排泄用的
eyeservice|阳奉阴违的工作
epileptic|癫痫的, 癫痫性的
eyehook|[机] 环首钩
eir|[医][=environmental impact review]环境影响评价
equinity|马科动物的本性[特点]
eleoptene|(=elaeopfene)n.轻油精, 挥发油精
enacting|制定（法律）, 通过（法案）( enact的现在分词 )
encysts|把…包在囊内, 被包在囊内( encyst的第三人称单数 )
enlargeable|可放大的；可扩大的
erigeron|飞蓬属植物
emendating|校勘, 修改( emendate的现在分词 )
eider|绒鸭, 绒鸭绒
emits|发出, 放出( emit的第三人称单数 )
excruciator|施酷刑者, 拷打者；折磨别人者
etalon|[计] 标准, 规格, 校准器, 标准样件, 波长测定仪
exsect|切去, 根除
eosinophilic|[医] 嗜曙红的, 嗜酸性的
elec|电的（electric）；电（electricity）；电工（electrician）
egophonic|[医] 羊音的
egestive|egest的变形
epipteric|[解]翼上骨
elderliness|年长的;过了中年的
excision|切除, 删除, 切除之物
eurus|[希腊神话]欧洛斯(东风神或东南风神); 东风；东南风
enisle|使成岛, 置于岛上, 使孤立
exocolitis|结肠腹膜炎
epiphysial|[医] 骺的
enteritis|肠炎
exine|[植]花粉粒外壁, 孢子外壁
energid|活质体
electrobus|电动公共汽车
eurythmy|（建筑物）比例协调； 有节拍的动作
engrailing|使成锯齿状( engrail的现在分词 )
enanthema|[医]黏膜疹
exonerative|释罪的, 免罪的, 免除的
emotionless|不露情感的, 没有情感的
eyeletter|打鸡眼机; 打小孔机
exonerated|使免罪, 免除( exonerate的过去式和过去分词 )
ecbolic|催生的, 使流产的
entomere|内胚层裂球
ess|字母S, S字形之物
epiphytology|植物流行病学,植物流行病(或病原体)消长因素
epibranchial|上鳃骨
expurgating|删除（书等中的）令人反感的成分, 修订, 删去（不当处）( expurgate的现在分词 )
exsculptate|(=exsculptus)纵刻的
