apple|苹果
accompanied|陪伴, 伴随；伴奏（accompany的过去分词）
avi|多媒体文件格式（Audio Video Interactive）
andreas|安德里亚斯（男子名）
adidas|阿迪达斯（体育用品公司, 主要生产运动服等）
arg|[化] 精氨酸
ati|天线调谐电感（Aerial Tuning Inductance）
abs|[计] 绝对, 美国标准局
appreciated|感激( appreciate的过去式和过去分词 ); 欣赏; （充分）意识到; 对…作（正确）评价
albuquerque|阿尔伯克基（美国新墨西哥州中部大城）
assumptions|假定, 臆断( assumption的复数形式 ); （责任的）承担; （他人债务的）承继; [the A-][基督教]1)。 圣母升天
anticipated|预期的；期望的
alfred|阿尔佛雷德（男子名）
amongst|在...当中, 在...之间, 在...之中
abilities|能力, 才能（ability的复数形式）
attitudes|态度( attitude的复数形式 ); [戏剧]（表演时的）姿势; 姿态; 倾向
amanda|阿曼达（女子名）
aye|赞成票, 投赞成票者
accessing|[计] 访问
attempted|企图的；未遂的
analysts|分析家；分析师；分析员（analyst的复数）
administered|管理( administer的过去式和过去分词 ); 治理（国家）; 给予; 执行
aj|合金结（抗干扰）
advertisements|[经] 广告（advertisement的复数）；宣传
agrees|同意, 赞同( agree的第三人称单数 ); [语法学]（在性、数、人称或格方面）一致; 相同; 和睦相处
athletes|运动员( athlete的复数形式 ); 体育家; 擅长运动的人; 健儿
adelaide|阿德莱德（女子名, 澳大利亚港市）
airfare|飞机票价
abstracts|抽象概念( abstract的名词复数 ); 抽象派艺术作品; 摘要
andale|[地名] [美国] 安代尔; [地名] [厄立特里亚] 安达莱
ascii|美国信息交换标准码
andrea|安德里亚（男子名）
aus|[经] 八月
armenia|亚美尼亚
activated|活性化的；活泼的
armstrong|[计] 公理
argued|争论
accepting|易接受的；赞同的；[商业]承兑的
ada|[计] 数据自动采集程序, 自动动态分析程序
architects|建筑师( architect的复数形式 ); 设计师; 缔造者; 创造者
appointments|约会( appointment的复数形式 ); 任命; 职务; 职位
academics|学习, 学术; 学者( academic的复数形式 ); 大学教师; [复数]（院校的）学术活动; [A-]柏拉图哲学信奉者
adjustments|调解( adjustment的复数形式 ); <心>调节; 调整; 调节器
adapted|适合的
andrews|安德鲁斯（姓氏）
accreditation|委派, 信托, 鉴定合格
aqua|[医] 水, 水剂
accepts|合格品；良浆
attempting|试图( attempt的现在分词 ); 尝试; 试图夺取或攻克（堡垒、要塞等）; 试图征服（高山）
accurately|正确地, 精确地
antigua|安提瓜岛
albania|阿尔巴尼亚
assessing|评价, 评估（assess的ing形式）
answering|[计] 应答
ambien|安必恩（美国产的一种安眠药）
ana|言论集, 语录, 轶事
alto|女低音, 男声最高音, 女低音歌手
abandoned|被抛弃的, 无约束的, 恣意放荡的
anaheim|阿纳海姆（美国加利福尼亚州西南部城市）
altered|[医]改变的
azerbaijan|阿塞拜疆
adsl|非对称数字用户环线（Asymmetrical Digital Subscriber Loop）
astrology|占星术, 占星学
advisors|顾问, 指导教授, 劝告者（advisor的复数形式）
annie|安妮（女子名）
acrylic|丙烯酸的
avon|埃文河（英国西南部一河）；雅芳（化妆品品牌）
asn|[化] 天冬酰胺; (不宜称)门冬酰胺
acne|痤疮, 粉刺
analyzed|检讨；分析（analyze的过去式和过去分词）
angola|[经] 安哥拉
assured|确定的, 自信的
adaptor|改编者, 插座, 转接器, 接合器, 拾音器
auburn|赤褐色
angela|安吉拉（女子名）
annotated|有注释的；带注解的
acknowledged|公认的
aruba|阿鲁巴岛（加勒比海）
asus|华硕（电脑）公司的简称
allan|艾伦（男子名, 等于Alan）
alot|(Alot)人名；(西)阿洛特；(法)阿洛
ate|eat的过去式
appropriations|挪用（appropriation的复数形式）
abraham|亚伯拉罕（男子名）
adrian|艾德里安（男子名）；艾德里安市（美国密歇根州东南部城市）
accompanying|随同的, 附见的
aberdeen|亚伯丁（英国苏格兰一郡 ）；苏格兰粗毛猎狐狗（等于Aberdeenterrier）
andorra|安道尔共和国；安道尔市
alexandria|亚历山大港（位于埃及）；亚历山大市（美国弗吉尼亚一城市）；亚历山大大帝
ata|航空运输协会（Air Transport Association of America）；高级技术附加装置（Advanced Technology Attachment）
annoying|恼人的, 讨厌的
abu|亚洲广播联盟（Asian Broadcast Union）
aw|int. 哦！噢！（表示抗议, 厌恶, 讨厌等）
arrivals|进站, 进港；到达（arrival的复数形式）
assists|协助；助攻（assist的复数）
acm|[计] 计算机协会, 异步通信控制模块
apollo|阿波罗(太阳神), 美男子
acquisitions|获得( acquisition的复数形式 ); 获得者; （企业的）合并; （图书馆通过采购、交换赠阅等）图书资料的获得
asbestos|石棉
avoiding|避免；回避
adware|广告软件；广告程序
activists|（政治活动的）积极分子, 活动家( activist的复数形式 )
assembled|集合；装配（assemble的过去分词）
attacked|攻击；侵害（attack的过去分词）
arrives|到达, 来( arrive的第三人称单数 ); 发生
automobiles|<美>汽车( automobile的复数形式 )
allah|安拉
arbor|藤架, 树, 心轴, 凉亭
astronauts|宇航员（astronaut的复数）
aspartate|[机] 门冬氨酸盐
awakes|唤醒( awake的第三人称单数 ); 觉悟到; 使觉悟
annuli|轮, 环形
athrepsia|[医] 营养不足(瘤生长); 婴儿萎缩[症]
abscissae|横坐标（abscissa的复数）
acoine|[医] 阿可因(眼科用局部麻醉剂)
acanthoma|[医] 棘皮瘤
actaeon|[希神]亚克托安
anthill|蚁冢, 人群密集的地方
astonishedly|astonish的变形
amaryllis|孤挺花
agarita|三叶十大功劳
appellative|名称的, 通称的
autolatry|自我崇拜
asseverate|郑重声明, 断言
alkene|[化]烯烃,链烯
anthers|(anther 的复数) n. 花药
approacher|方法；途径；接近 (approach的变形)
antibubonic|[医] 抗腺鼠疫的
angraecum|[网络] 风兰属；大慧星兰；彗星兰属
afresh|重新
adduces|引证, 举出（例证、理由等）( adduce的第三人称单数 )
arius|阿里乌（四世纪希腊神学家）
argentino|(Argentino)人名；(意)阿尔真蒂诺；(西)阿亨蒂诺
anadyomene|[希神]爱与美的女神
antiheroic|antihero的变形
acanthophis|[网络] 死亡蛇属；棘蛇属
apprizes|尊重( apprize的第三人称单数 ); 敬重; 评价; 鉴定
abiotrophy|[医]营养性衰竭,生活力缺失
aliferous|具翼的
azazel|阿撒泻勒（《圣经利未记》中所指旷野恶鬼；有时也指负罪羊）
antimonite|辉锑矿, 亚锑酸盐
affiant|宣誓者
abapical|[生]离尖的, 远离尖端的, 尖以外的
ablepharon|[医] 无睑[畸形]
acclimatised|(acclimatise 的过去分词) v.<主英>=acclimatize
atheromatous|[医]动脉粥样化的, 粉瘤的
auriform|耳形的
adeptest|adept的最高级
andromania|[医] 慕男狂
antiauxin|抗植物生长素
apogamous|[植]无配子生殖的
alleles|对立形质；等位基因；对偶基因（allele的复数）
alteregoism|[医] 同病相怜症
abrogating|废除；取消
avos|澳门辅币
actomyosin|肌纤凝蛋白
anathematize|诅咒, 强烈遣责, 宣布革出教门
auguring|预示, 预兆, 预言( augur的现在分词 ); 成为预兆; 占卜
addison|艾迪生（姓氏）
arthrozoa|关节动物
areology|火星学
araeometer|液体比重计, 比浮计
albumimeter|[医] 白蛋白定量器
astral|星的, 多星的, 灵魂的
annulment|废除, 取消
amyelotrophy|[医] 脊髓萎缩
apologist|辩护者, 教义辩护文作者
aspartic|天冬氨酸的
automorphism|[计] 自同构
aethereal|轻飘的, 空气一般的
arenation|[医]热砂浴
antiatom|[计] 反原子
amenorrhoeic|[网络] 闭经
aircrafts|飞行器（aircraft的复数）
ameer|埃米尔(穆斯林国家酋长,王公,统帅的称号)
alphonso|阿方索(m.)
amphigoric|amphigory, amphigouri的变形
adducted|[化学] 加合物
acroscopic|上侧的
arni|(Arni)人名；(意、芬)阿尔尼；(英)阿尼
ablastemic|非芽生的, 不发芽的
amesace|最无价值的东西
accelerant|促进剂, 加速进程的东西
albuginaceae|白锈菌科
antipyonin|[化] 四硼酸钠
aviculture|养鸟, 鸟类饲养
abrogation|废除, 取消
adneural|[医] 近神经的; 向神经的
asphaltic|柏油的
anabaptism|再洗礼
arist|信息技术年报（Annual Review of Information Science and Technology）
autoclave|高压消毒锅, 高压锅
anorogenic|非造山的
ammonation|氨合作用
anencephaly|[医] 无脑[畸形]
apoaconitine|[医] 阿朴乌头硷
aradidae|[医] 扁蝽科
avener|[人名] 埃夫纳
adultly|少年老成者, 老成持重的
adv|副词（adverbial）；提倡（advocate）；提前（advance）
acanthus|叶形装饰
albedometer|反照率测量仪
apiin|[化] 芹菜苷
aftershaves|(aftershave 的复数) n. 须后水；修脸润肤露
androgyny|[医] 两性畸形, 雌雄同体性, 男子女化(男性假两性畸形)
aleutian|阿留申群岛之土人
antemarital|婚前的
anele|临终涂油
allegoriser|allegorise的变形
abel|亚伯（亚当和夏娃的次子）；艾贝尔（男子名）
achromatic|无色的, 不分光的, 消色差的, 非染色质的
alterability|可变更性, 可更改性
aptyalia|[医] 唾液缺乏
appetence|强烈的欲望, 癖好, 嗜好, 渴望
aesthetician|审美学家
astrograph|天体照像仪, 天文定位器
apophyllous|[拉](= apophyllus)离被(片)的, 离花被的
aggrandizes|扩大某人的权力( aggrandize的第三人称单数 ); 提高某人的地位; 夸大; 吹捧
allusions|暗指, 间接提到( allusion的复数形式 )
adultlike|adult（充分长成的, 成年的；成人, 成年人, 成年男女）的变形
aliens|外国人( alien的名词复数 ); 外侨; 局外人; 外星人
agger|古罗马帝国的道路
atherurus|帚尾豪猪属
aclinal|[地质]非倾斜的, 无倾角的
aesop|伊索
antisepsin|[医] 安提塞普辛, 对溴乙酰苯胺
anestrus|[动]不动情期
adenoneure|[医] 腺神经元, 分泌神经元
anthericum|[网络] 花药
atropinism|(=atropism)阿托品中毒
areocentric|[天]以火星为中心的
arbalest|(中世纪的)劲弩
antisun|抗日光
arsenical|砷, 砒霜
amour|偷情, 性爱
ajugas|一种草本植物
ameboidism|[医] 阿米巴样运动
anionic|[化]阴离子的,带负电荷的离子的
arteriology|动脉学, 有关动脉的论文
acrocomia|[网络] 垂花榈属；刺茎椰子属；大剌可可椰子属
alabamians|(alabamian 的复数) n. 阿拉巴马州人
archiver|存储服务器, 压缩程式；文档, 静态无图文档
albumenized|涂蛋白于
antica|安蒂卡（人名）
altarpieces|(altarpiece 的复数) n.组塑,祭坛装饰
abolitionism|废除主义, 废奴主义
aptian|阿普弟阶
abominate|厌恶, 憎恶
autobahnen|autobahn的复数形
asphyxiant|窒息剂, 窒息状态
agueweed|[植]贯叶泽兰,(一种有五朵兰花的)龙胆属植物
amidship|在船中部, 向船的中部
authorless|作者不详的, 匿名的
aperiodic|非周期性的
amabile|阿马比尔（人名）
audiences|观众, 听众, 读者( audience的复数形式 )
audubon|奥特朋(1785-1851, 美国鸟类学家, 画家及博物学家)
arguers|(arguer 的复数) n. 争辩者, 辩论者
anticipates|预感( anticipate的第三人称单数 ); 预见; 预料; 先于…行动
anting|(ant 的现在分词) n. 蚂蚁
agrostemma|【植物】麦仙翁(= corn cockle)
alkanethiol|烷硫醇
ascidium|瓶子状器官, 囊状器官
agene|[亦作a-](商品名)埃净(早先漂白面粉用的三氯化氮)
amphipods|(amphipod 的第三人称 -s形式) n.片脚类动物
aspirants|有志向或渴望获得…的人( aspirant的复数形式 )
achenocarp|不裂干果
aquaplaning|（快艇牵引）滑水板运动
autogiros|(autogiro 的复数) n. 旋翼飞机
animikean|安尼米基系
anisosthenic|[医] 力量不等的(肌肉)
abvolt|C.G.S(厘米一克一秒)制的电位差单位(等于1亿分之一伏特)
adless|无广告的
azotized|含氮的
alabandite|硫锰矿
artlessness|天真烂漫；淳朴；笨拙
andria|安德里亚（意大利东南部城市）；安德里亚（男子名）
attal|矸石, 脉岩, 脉石
affronting|冒犯, 有意冒犯；面对；公开侮辱
anklebone|距骨
altercate|争论, 争吵
anticarious|[医]抗龋的
articulative|articulate的变形
anchors|锚( anchor的名词复数 ); 给人安全感的物（或人）
anorak|风雪短大衣, 带风帽的厚茄克
amerced|罚款；惩罚
articulated|铰接式的；清晰的；组织缜密的；有关节的
accentually|accentual的变形
anatto|[植]胭脂树,从其果实采取的黄红色染料
arrogator|arrogate的变形
arcus|[医] 弓
antinodes|波腹
antilogy|前后矛盾
anoia|[医] 精神错乱, 白痴
aerosols|<化>气溶胶( aerosol的复数形式 ); 喷雾剂; （气体中的）浮粒; 喷雾器
aphesis|词首非重读短元音的脱落
assot|[废语]；使糊涂；使迷惑；使醉
adeline|艾德琳（女子名）
arthrodynia|(=arthralgia)关节痛
antorbital|[医] 眶前的
abstergent|去垢的
abby|艾比（女子名）
amphidiploid|& n.[生]双二倍体(的)
antilipoid|[医] 抗类脂[物质]
alcoholmeter|酒精比重计
audiologist|[医] 听力学家
asturian|(西班牙)阿斯图里亚斯的,阿斯图里亚斯人的, 阿斯图里亚斯文化的
arabize|使阿拉伯化
angelically|天使般地
aconuresis|[医] 小便失禁
antimitotic|抗有丝分裂的
antinomians|(antinomian 的复数) adj.〈宗〉(基)
armories|纹章( armory的名词复数 )；纹章学；兵工厂；军械库
abranchial|[动] 无鳃的, 无鳃类的
abjoint|分离的, 分节的
anenterous|[医] 无肠的
alhenna|(=henna)散沫花叶
accordant|一致的, 相符合的, 调和的
antiphoner|启应轮流吟唱的圣歌(或颂歌、赞美诗、圣诗等)；供启应轮流吟唱作品, 为应答轮唱而创作的乐曲(或诗歌等)
andrographis|穿心莲属
archon|执政官, 统治者
altaian|阿尔泰山的[人]
alternating|交互的
ani|[计] 自动号码识别
ancistroid|[医] 钩样的
amanita|[植]伞形毒菌
appendicular|附属物的, 四肢的
asystolism|[医]心搏停止
abductor|诱拐者, 绑架者, 外展肌
arthropodal|[网络] 节肢动物
astringe|扎缚, 使收缩, 使收敛
aahs|(aah 的复数) abbr.[军] Armored Artillery Howitzer, 装甲榴弹炮
achromatosis|[医] 色素缺乏; 染色性缺乏
alyssum|[植] 十字花科的一年生植物, 香雪球
abrus|相思子属
asepticize|使无菌, 消毒
abfarad|[电] 绝对法拉
armigerous|有佩带徽章资格的
anisole|[化]茴香醚, 苯甲醚
anesthetizes|使麻醉, 使麻木( anesthetize的第三人称单数 )
allothimorph|他形体
anacardium|槚如树属
arusha|阿鲁沙（坦桑尼亚一行政区或城市）
adaptational|适应的
aforenamed|上举的
abreacted|使消散, 发泄（情绪）( abreact的过去式和过去分词 )
arthroderm|节肢动物皮层
abacus|算盘
afterschool|课外的,供课外活动用的
alcoholuria|[医] 醇尿
airscrew|空气螺旋桨
anorthic|三斜的
avena|燕麦属
assaulted|强奸（assault的过去分词）；攻击；袭击
acinarious|种仁的
arthritides|pl. 关节炎
anglophobe|仇英者
absorbancy|吸收率, 吸光度
anesthetized|使麻醉（anaesthetize）；使麻痹
aestheticist|唯美主义者（aestheticism的变体）
arco|[音乐]以弓拉的
alantol|土木香醇, 菊醇, 阿兰醇
arrogantness|arrogant的变形
accomplisher|accomplish的变形
anthemion|花状平纹, 叶状平纹
antecedents|经历；祖先；先行词；前身（antecedent的复数形式）
amelcorn|【植物】二粒小麦
adagio|缓慢地
acrolein|丙烯醛
astonied|大吃一惊的
annulated|环形的, 有环纹的
ashplant|■的幼树(用以制作手杖、刺棒等)
andante|行板, 行板乐曲
aegipan|[希神]伊吉泮(长着羊角羊足的山林之神, 常见于表现酒神节的绘画)
algology|藻类学
angiopoietic|[医] 血管形成的
adream|梦想的, 做梦的
anywise|不管怎么说
abulia|意志缺失
anathemata|咒逐,革出教门,被咒逐的人(物)
angiasthenia|[医] 血管无力
anoints|用油软膏涂抹( anoint的第三人称单数 ); （宗教仪式上）抹油使神圣化; （如奉圣意般地）选定; 指定
aisles|过道, 通道( aisle的复数形式 )
antifatigue|[机] 抗(疲)劳剂
addendum|补遗, 附加物
automobilist|使用汽车的人
apish|一味模仿的, 愚蠢的, 似猿的
affably|和蔼地
acolytes|助手( acolyte的复数形式 ); 随从; 新手; <宗>（天主教）侍祭
ascensions|(ascension 的复数) n. 上升, 耶稣升天
anarithmia|[医] 计算不能
abyss|深渊, 深邃, 地狱
azoimide|[化] 偶氮亚胺化物, 三氮化氢
arthrogastra|[动]节腹类(如蝎子等)
ammoniacal|[化]氨的, 氨性的
aliesterase|[生化]脂族酯酶
awaiting|[计] 等待
adda|台湾协喜电机
adnexed|附着的
amole|皂用植物
ambsace|最无价值的东西
apod|无足动物, 无腹鳍的鱼
alivincular|有短韧带的
acarophobia|[医]螨虫恐惧症
aerocamera|空中照相机
atropidae|[网络] 蛔虫科
aculeated|尖锐的；有刺的（等于aculeate）
atomize|使粉碎, 将...喷成雾状
aflat|平的, 平面的, 水平的
airview|航空照片
ashlared|用长方石板砌成的
anhalamine|[化] 老头掌胺; 无盐掌胺
abase|降低...的地位, 降低...的品格, 贬抑, 使谦卑
asides|旁白, 低声说的话, 离题话( aside的复数形式 )
ardisia|紫金牛属
ampelite|黄铁炭质页岩, 硫铁黑土
aeroplankton|空气浮游生物
abuts|（与…）邻接( abut的第三人称单数 ); （与…）毗连; 接触; 倚靠
aeronomy|高层大气物理学
arccos|反余弦
atchison|艾奇逊-託皮卡-圣菲铁路公司
azides|(azide 的复数) n.[化]叠氮化物
activize|使活动, 使激活
andries|(Andries)人名；(印尼)安德烈斯；(德、荷)安德里斯
auditorily|听觉地
anaesthetist|麻醉师
attestive|attest的变形
anteed|[主美用英语]
arcos|(Arcos)人名；(法、西、葡)阿科斯
acquires|获得( acquire的第三人称单数 ); （使用探测器）捕获（目标）; 取得; （计算机、机器人等）捕捉
affirmant|断言者, 确认者
arrivisme|<法>n.一心想发迹者的行径
aiglet|带端的金属尖头(鞋带), 坠饰(=aglet)
actifier|再生器
adrenals|(adrenal 的复数) a. 肾上的, 肾上腺的
adorers|(adorer 的复数) n. 爱慕者, 崇拜者
ammoniemia|[医] 氨血[症]
arride|使欢喜, 使满意
alehouses|(alehouse 的复数) n.出售麦酒(比普通啤酒要烈,色深)的酒店,酒馆
ambulator|(地测)测程轮, 测距计
amblystoma|[医] 美西螈属
arduously|严酷地；费力地
alienicola|侨蚜
ascendable|上升的
avulse|撕脱, 抽出
alchemically|炼丹术地；炼金术地
attestations|证明；证据；证实；宣誓
amphicribral|週韧的
antinomies|自相矛盾
agendaless|agenda的变形
abbreviated|[计] 缩写的, 短缩的, 简写的, 简略的, 缩略的
aftermarket|零件市场；二级市场（等于secondary market）
angledozer|侧铲推土机
adolescency|青春期
androgenous|雄性单性生殖的
apostles|(A-)（基督教的）使徒( apostle的复数形式 ); 早期基督教的传教士; 摩门教教会的十二个行政执事之一; （改革运动的）倡导者
acanthoid|棘状的, 刺状的
affirmations|主张, 肯定；断言
anoestrous|【动物学】不动情期的,动情间期的[亦作 anestrous, anestrus]
andesine|[矿]中长石
aminated|胺化了的
anathemize|[网络] 恶化
archil|染料衣, 苔色素
aptenodytes|[网络] 王企鹅属
anhidrosis|[医]汗缺乏, 缺汗症
achaemenian|阿契美尼德人；阿契美尼德语(阿契美尼德人使用的波斯语)
accolade|荣誉, 赞美, 骑士爵位的授予礼, 连谱号
antipyresis|退热(疗)法
aegyptilla|双层玛瑙制的珠宝
achievers|(achiever 的复数) n. 获得成功的人
amniota|[医] 羊膜动物类
anethol|茴香脑
ausforming|奥氏体形变; 形变热处理
anesthetize|使麻木, 使麻醉
asaph|阿萨夫（人名）
alpines|高山的, 高山上的（尤指阿尔卑斯山）( alpine的复数形式 )
armless|无臂的, 无扶手的, 无武器的
afeared|恐惧的, 受惊的
ayahuasca|死藤水(用南美一种藤本植物的根泡制而成有致幻作用的饮料)
amphitriaene|双三叉体
aspiratory|呼吸的, 吸气的
afforesting|造林于( afforest的现在分词 )
affectively|情感地
ama|[计] 相联存储器阵列, 故障自动分析, 自动报文计价
alumite|耐酸铝, 耐热铝, 明矾石
ashcake|<美>用灰火焙制的玉米饼
anergic|[医] 无活动力的, 无力的, 无变应性的
anemophily|风媒传粉
amphigean|【生态学】(美洲与欧亚非大陆的)共有生物[亦作 amphigeic ]
antigropelos|防水绑腿
armada|舰队
abscissas|[数][天] 横坐标（横线）
asbestine|石棉的, 不燃性的
actinolite|[地]阳起石
aquifers|地下蓄水层, 砂石含水层( aquifer的复数形式 )
acuminulate|细尖的
acarotoxic|[医] 灭螨的, 毒螨的
apterygial|[动]无翼的, 无肢的
acclaimed|欢呼（acclaim的过去式及过去分词）
acies|[拉]缘, 边缘, 棱角
alurgite|锰云母, 淡云母
allogenic|同种异体的, 同种组织移植的
araliaceous|[植]五加科的
autoclaves|高压灭菌器; 高压釜; 高压锅
arrhizal|没有根的
agora|集会, 市场
aeluropodous|猫足的
antilobium|[医] 耳屏
analysed|分析（analyse的过去分词）
arpeggios|(arpeggio 的复数) n.琶音
acaciin|[化] 刺槐苷
aduncate|(=aduncous)(如鹦鹉嘴般的)向内弯曲的
appliable|可申请的
aciculae|针状结晶
anencephalus|[医] 无脑畸胎
argonauta|船蛸属
asterinidae|海燕科
azorian|亚速尔群岛的；亚速尔群岛人的
aprocta|[医] 无疣丝虫属
anodizing|[化] 阳极氧化; 阳极极化
anesthetics|麻醉药；麻醉剂（anesthetic的复数）
akali|[网络] 爱卡丽；暗影之拳；耐碱斑色牢度
antheridial|antheridium的变形
aestheticize|美化
adaptions|(adaption 的复数) n. 适应, 改编本, 适应性的变化, 适合
anenergia|[医] 精力不足
agrobiology|农业生物学
attabal|(摩尔人用的)铜鼓,小鼓
agraffe|搭扣
athyreosis|[医] 甲状腺机能缺失
apprehensive|惴惴不安的, 敏悟的, 知晓的
annoyer|[医] 厌恶物, 不快感刺激
anes|[医]麻醉法
arcature|小拱廊, 假拱廊
artefact|人工制品, 制造物, 人为现象, 膺象, 矫作物, 古代文物
aviations|航空, 航空学( aviation的名词复数 )；航空工业
arnatto|(=annatto)胭脂树红
absonant|不协调的, 不和谐的
annectent|连接两物的,[生](种间)连接的
arecales|槟榔目
autodyne|自差的
anisoiconia|[医] 物象不等
amazia|[医] 无乳腺[畸形]
agaves|(agave 的第三人称 -s形式) n. 龙舌兰
anthracitic|无烟煤的, 似无烟煤的
anthracitous|含无烟煤的
antialbumin|[医] 抗白蛋白
astrict|包扎, 束缚, 限制, 使缩小
annulus|环, 环形物, 体环
anenst|关于（等于anent）
aeroplanist|飞行家
anaplasis|演进发育期
abrash|变色（用不同的染料做成的东方地毯, 其颜色多样的及自然的变化）
anc|非洲民族会议（African National Council）；美国新闻社（American News Company）；（美国）大气氮公司（Atmospheric Nitrogen Corporation）；自动噪声消除器（Automatic Noise Canceller）
anospinal|[医] 肛门脊髓的
abohm|[电] 绝对单位欧姆
aunty|阿姨, 姨妈, 舅妈, 姑妈, 伯母
axes|pl. 斧头, 轴, 轴线
actinula|辐射幼虫
astragalar|[解]距骨的, 与距骨有关的
apptd|appointed 指定的, 约定的
aminobenzene|[化]氨基苯, 酸
agribusiness|农业综合经营
airbrushed|喷枪；气笔
alcatras|大型水鸟(如鹈鹕或军舰鸟)
amphibolic|[矿]闪石的,语意含混的
arcuated|[建] 拱式的
ammer|阿默尔（姓氏）
acetarsone|[药](用于治疗阿米巴病的)乙酰胂胺,阿西塔胂
averaged|平均（average的过去式）
arctangent|反正切
aprosexia|注意力无法集中
approbatory|认可的, 批准的, 赞赏的
agitator|煽动者
algates|[方言]；一贯地, 总是, 永远, 始终
antonina|(Antonina)人名；(俄、塞)安东宁娜；(意、罗、英、法)安东尼娜
applanate|[医] 扁平的
autohypnosis|自我催眠
adenomata|pl. 腺瘤
anterograde|[医] 前进的, 顺行的
artal|rotl 的复数
auguries|（古罗马）占卜术, 占卜仪式( augury的名词复数 ); 预兆
airt|<苏格兰> n.(罗盘上的)方位,方向
arthrolith|关节石
arcanist|巧匠, 拥有陶磁器制造秘方的人
adepts|专家, 能手( adept的复数形式 )
amassing|积聚；积累
amadis|阿玛迪斯（英雄之象征）
anacampsis|[医] 弯曲, 折射(光或声)
amylamine|戊胺, 戊基胺
articulacy|口齿清楚的说话能力
albertype|照相版印刷术, 珂罗版
amanuensis|笔记者, 抄写员, 书记
acenaphthene|[化]苊,萘嵌戊烷
apterium|裸域
algovite|辉斜岩(类)
aztec|阿兹特克人, 阿兹特克语
allopelagic|生于不同深度的
abattoirs|屠宰场；角斗场
aquarist|水族馆管理人, 水族养殖业余爱好者
adipocerite|[矿]伟晶蜡石
arundinaria|[网络] 青篱竹属；菲白竹；粽巴箬竹
autocoder|[计] 自动编码语言, 自动编码器
andamanese|安达曼人；安达曼语
airplanes|<美>飞机( airplane的复数形式 )
articulately|口齿清楚地; 发音清晰地
antisideric|[医] 抗铁的, 忌铁的
annoyingly|恼人地, 讨厌地
anthropical|人的, 人类的；人类时期的
applejack|苹果白兰地
axled|axle的变形
achronychous|(=acronychous)嵌甲的
arnica|山金车酊
alberto|阿尔贝托（阿塞拜疆教练）
abolitionary|[网络] 废除
astounded|使惊愕（astound的过去式和过去分词）
ashram|(印度教高僧的)修行的处所,聚会所, 嬉皮群居村
artie|阿蒂（男子名）
ashur|阿舒尔(古代亚述人崇拜的主神和战神),Assyria 最初的首都
anthracnose|[植物病理]炭疽病
athanor|炼金术士浸煮炉
aerogel|[化] 气凝胶
anatomic|解剖的, 结构上的, 解剖学上的
adward|爱德华（男子名）
allegeable|allege的变形
ashrams|(ashram 的第三人称 -s形式) n.(印度教高僧的)修行的处所,聚会所, 嬉皮群居村
abolishment|废止, 革除, 消灭
admittances|(admittance 的复数) n. 进入, 进入权, 准许进入
awesomely|赫然；惊叹地；敬畏地
athabasca|亚大巴斯卡河（加拿大河流）
aggro|暴力行为
assart|开垦,开垦地
atmograph|呼吸描记器
arawak|阿拉瓦人(南美洲的一支印第安人)
algophagous|(昆虫等)以藻类为食的
autochanger|自动换片电唱机
advices|pl. 消息
ailurus|小熊猫属
authoring|[计] 写作
accesses|接近( access的名词复数 ); 增加; （感情等的）突发; 入口
allocheiria|[医] 对侧感觉, 异侧感觉
abnormalism|[计] 异常性, 反常状态
abbott|阿尔伯特（人名）；雅培（公司名）
aggrandised|(aggrandise 的过去分词) vt. 扩大某人的权力; 提高某人的地位; 夸大; 吹捧
abalienation|精神错乱
athenaeum|雅典娜神庙
armoracia|[医] 西洋山┯菜, 香辣根
aseismic|无地震的, 耐震的
askaris|民兵；非洲土著兵
altazimuth|地平经纬仪
arui|[网络] Argument Reality User Interface; 天涯浪子; 凉城轶事
apparitor|传票送达官, 命令执行官
abscess|脓肿
amphigenetic|有性生殖的, 两性生殖的
aerier|高处的巢, 高处的房子或城堡( aery的比较级 )
arras|花毯, 挂毯
agoniadin|[医] 鸡蛋花甙(解热药)
adaptitude|特殊适应[适合]性
accipitral|鹰的, 鹰似的
aphyric|无斑隐晶的
assimilatory|同化的, 同化力的
aesthesia|感觉, 知觉
apse|(教堂)半圆形拱顶附带建筑
acceptor|接受者, 承兑人, 接收器
acetonyl|丙酮基, 乙酰甲基
aetiologist|病因学家；病原学家；原因论学家 (aetiology的变形)
ambivert|中间性格者
ascaridiasis|[医] 蛔虫病
aerobus|小客机
alkylate|[化]烷基化物
autecious|[植]寄生的,(雌雄)异苞同株
assemblee|大会，会议；议会；集会，聚会；议会大厦；节日市集
aloofly|aloof的变形
anodonta|[无脊椎] 无齿蚌属
anergia|[医] 无变应性, 无力
aswing|antisubmarine warfare【军事】反潜(艇)战
aftereffects|后果；余波；[数] 后效
accension|accend的变形
antebellum|战前的, 南北战争前的
amerindians|(Amerindian 的复数) n.美国印地安人或爱斯基摩人
allie|佳丽宝（化妆品品牌名）；艾莉（女子名）
adjoins|邻近, 毗连( adjoin的第三人称单数 )
affreight|租船运货
artfully|狡诈地；巧妙地
agrotype|作物类型
aller|（法语）去；通向
achroite|[化] 无色电气石; 白碧┎
antonella|(Antonella)人名；(意、英)安东内拉
accursedness|accursed的变形
anjou|昂儒（法国西部旧州名）
anopia|[医]上斜眼, 无眼
automates|（使）自动化( automate的第三人称单数 )
