fire|火
forswornness|forsworn的变形
fraughting|担心的, 忧虑的；充满…的
fringes|（头发的）刘海( fringe的名词复数 ); （外衣, 小地毯等的）饰边; 毛边; 边缘
fiords|(fiord 的复数) n. 峡湾
fados|(fado 的复数) n.法多(葡萄牙民谣)
fundulus|[医] 克鲤鱼属
foremen|[经管] 工长
femurs|股骨( femur的复数形式 )
focometry|测焦距术
fontinal|生长在水源或泉水附近的
footwarmer|暖脚器(如脚炉等)
fancying|想像（fancy的现在分词形式）
fudges|乳脂（巧克力）软糖( fudge的名词复数 ); 敷衍, 装模作样（没有真正解决问题）
fothering|海上堵漏；铅的重量单位；临时堵漏的用防水软垫
flatfishes|比目鱼( flatfish的复数形式 )
femaleness|女性特征, 女性特征女子本性
finestiller|精馏器
frate|<意>n.修道士(常用作称呼)[原义：brother]
friesian|（荷兰种）弗里斯兰奶牛, 黑白花奶牛
flatlets|套房；小公寓
feis|(爱尔兰或其它地方的爱尔兰裔人一年一度的)文化艺术节
facia|（英）仪表板；招牌（等于fascia）
fleabite|蚤咬, 蚤咬疤痕, 稍微的损伤
fates|[希神]命运三女神
forfeiture|没收物, 罚金, 丧失
fils|儿子；铜币（伊拉克、约旦、科威特等国的）
federally|同盟地, 联邦地, 联邦政府地
factorist|因素论者
frenchless|不懂法语的
facetious|滑稽的, 爱开玩笑的
forecited|前面会引用的, 前述的
frigidness|寒冷, 冷漠
fraternizer|fraternize的变形
forepoling|超前支护
foolishness|愚蠢；可笑
faulkner|福克纳（美国小说家, 曾获1949年诺贝尔文学奖）
fortifiable|宜于设防的
foodless|缺乏食物的
fluorescein|[化] 荧烷二醇; 荧光黄; 荧光素
fistful|一把, 相当大的数量
fraughted|装货于（fraught的过去式与过去分词形式）
farrago|混杂, 混杂物
feria|(古罗马的)假日,喜庆日,(基督教的)平日(尤指基督教节日以外的日子)
fabulosity|传说性质, 非现实性, 寓言性
fairyland|仙境, 乐园
filet|头带, 轮廓线, 带状物, 带子, 束发带, 肉片, 鱼片, 襻, 嵌条, 丘带, (内)圆角
felicitously|恰当地, 适切地
figurate|有固定形状的, 形成图案的
firebombs|火焰炸弹（燃烧弹和凝固汽油弹的总称）( firebomb的名词复数 )
flocculent|羊毛状的, 絮状的, 覆以绒毛的
fetterless|fetter的变形
formule|（法）格式；型；样式；公式
fasciculus|小束, 纤维束, 分册
fathering|[医]父爱
frondeur|政治上的反叛者
fingerless|无指的, 失去指的
fazed|打扰, 使担忧, 烦扰( faze的过去式和过去分词 )
furloughed|准…休假( furlough的过去式和过去分词 )
freelancer|自由记者；自由作家
futtock|复肋材
fringing|边缘现象, 散射现象, 边缘通量(的形成)
federalise|[英国英语] ＝ federalize
ferrocyanic|[医] 亚铁氰化的
ferlie|<苏格兰>奇异景象, 奇迹, 令人惊奇的事物, (幻觉中见到的)奇形怪状的人(或动物)
fustians|(fustian 的复数) n. 棉麻粗布, 浮夸的话
fibrinolysis|纤维蛋白溶解
fido|有铸造缺陷的硬币；燃油加热驱雾器
filiciform|形状像羊齿植物的
fealties|忠诚( fealty的复数形式 )
friskful|活泼的, 有生气的
foursquare|正方形的, 直爽的, 坚定的
fungo|为练习守备所击的飞球
furnariidae|灶鸟科
fleuret|小花,小花形装饰,[击剑]花剑
flyaway|宽松的, 轻浮的, 轻率的, 逃走的, 翅状的
flouncing|荷叶边
fielders|外野手, 接球者( fielder的复数形式 )
fascis|(fasces的单数形)束棒
fathometer|音响测深仪
faviform|蜂窝状
firebird|北美黄鹂鸟
frothily|起泡地, 如泡地, 浅薄地
fluoroscopic|荧光镜的, 荧光检查法的
ferric|铁的, 含铁的, 三价铁的
finca|[西]种植园, 庄园, 地产
fuhrer|元首；德国独裁者（纳粹统治时期对希特勒的称呼）
floorward|朝地板的
featherbed|担任闲职
fumette|甲磺酰氟
fecks|(Feck)人名；(英、德)费克
fathomless|深不可测的, 难理解的, 不可思议的
foamed|泡沫的
freddie|弗雷迪（男子名, 等于Freddy）
featherlight|轻如羽毛的
foret|[人名] 福雷特
fizzling|发嘶嘶声, 失败( fizzle的现在分词 )
fabliau|(中世纪法国的)故事诗
foxier|狡猾的( foxy的比较级 ); 奸诈的; （女子）性感的; 狐媚的（非正式美式英语）
foamingly|foam的变形
fluidization|使液化, 流化
flecked|有斑点的, 有污点的
florigenic|florigen的变形
fenestration|(耳科手术中的)开窗术
filles|(fille 的复数) n. （法）少女；女佣；姑娘
freebooters|(freebooter 的复数) n. 海盗
freethinkers|自由思想家
fuelling|加燃料, 加油
fibration|纤维化; 纤维形成
fairgrounds|露天游乐场( fairground的复数形式 )
folsom|福尔松（文化）的（落基山脉东部的史前文化遗迹）
flustration|慌乱, 激动, 紧张不安, 喝醉
frontignan|[地名] [法国] 弗龙蒂尼昂
federate|同盟的, 联合的, 联邦制度下的
fibrillation|纤维性颤动
fetalization|胎型(指出生后某些胎象的存留)
firecracker|爆竹, 鞭炮
farmost|最远的
fovilla|花粉内含物
footler|[人名] 富特勒
forts|堡垒, 要塞（fort的复数）
flab|松弛
fissionable|可分裂的, 可裂变的
fica|（美国）联邦社会保险捐款法（Federal Insurance Contributions Act）
forfeits|罚物游戏
forgivable|可宽恕的
fusspot|小题大做者, 吹毛求疵的人
frayn|(Frayn)人名；(英)弗雷恩
fasciolar|[医] 小片的, 小束的, 小绷带的
flingers|(flinger 的复数)  投掷的人
flaker|[化] 刨片机; 切片机
feathertop|[网络] 羽毛冠；羽毛头
finagle|欺骗, 哄骗, 欺瞒
fadedly|色彩已褪地
flajolotite|锑铁土
footworks|(footwork 的复数) n. 脚的动作, 脚力, 现场采访活动
fetidness|[医]恶臭
fillips|[人名] 菲利普斯
flaubertian|(法国小说家)福楼拜及其小说、作品风格的
fullam|[人名] 富拉姆
frictionally|摩擦地, 带有摩擦地
favourer|宠爱者, 赞成者, 支持者
fluids|液体；流体（fluid的复数形式）
fruiting|[医]结果的, 具子实体的
fascet|(退火用)玻璃瓶夹具
fulah|[网络] 富拉语；拉文；富拉文
fowled|捕鸟（fowl的过去式与过去分词形式）
fishmeal|鱼粉
frontals|(frontal 的复数) a. 前面的, 正面的, 额的
fanciest|fancy（（构思者）奇特的）的最高级形式
foreworn|极疲倦的
fays|(fay 的复数) n. 小仙子
fortunite|金云粗面岩
fishtail|鱼尾状的
fluidized|流态化的, 沸腾的
facioplegia|面神经麻痹, 面瘫
forgiven|forgive的过去分词
ferninst|在...对面, 靠着..., 靠近...
familarity|亲密,精通,亲密的行为
freedwomen|自由妇女( freedwoman的名词复数 )
flubdub|狂言, 蠢话
formulise|<主英> = formulize
fundholder|公债所有者
fiberless|[医]无纤维的
finity|有限（等于finitude）
fragaria|草莓属
fenrir|芬里厄(斯堪的纳维亚神话中被诸神用魔绳系住的狼形怪物)
fibroglia|纤维胶质
flexor|屈肌
foots|沉淀物；渣滓；油滓
formosan|台湾话的；台湾的；台湾人的
fenestrae|[医] 窗
fluffier|似绒毛的( fluffy的比较级 ); 有绒毛的; 蓬松的; 轻软状的
funebre|（音乐术语）悲哀的，凄惨的，葬礼的
frisson|<法>(因激动,恐惧等产生的)颤抖
fainted|??人事的, 昏厥的
flavanone|[化]黄烷酮 (衍生物)
forwent|vbl.forgo的过去式
fibrillar|纤丝状的, 纤维状的
foliating|有叶的, 覆有叶的( foliate的现在分词 )
founts|(fount 的复数) n. 泉, 源泉, 墨水缸, 一副铅字
formalizing|使（协议、计划等）成书面文字形式( formalize的现在分词 ); 使成为正式, 使具有一定形式
friulian|[网络] 弗留利语
fodderless|没有饲料的
formication|(皮肤上的)蚁走感
formalising|(formalise 的现在分词) vt. 使（协议、计划等）成书面文字形式; 使成为正式, 使具有一定形式
forequarters|(forequarter 的复数) n. 前四分之一胴体, 躯体前半部
flavourer|[主英国英语]
fibrinolytic|溶纤维蛋白药
ferganite|[化] 水矾铀矿
feculency|污物, 渣滓
flossy|丝棉似的, 轻软的, 迷人的
fibroplasia|[医] 纤维组织形成
fellifluous|胆汁溢流的
fetes|（常在室外为筹款举行的）游乐会( fete的名词复数 )
flustering|使慌乱, 使不安( fluster的现在分词 )
flibustier|小偷, 贼, 扒手；骗子
footslogs|在泥泞中费劲地步行（footslog的第三人称单数形式）
fraised|(16世纪欧洲人戴的)绉领, 高领；【军事】铁丝网(或木桩)构成的障碍物, 寨栅
fuddle|灌醉, 使烂醉, 使迷糊
fuguist|赋格曲之作曲家
fogdog|雾虹
flunks|<美><口>( flunk的第三人称单数 ); （使）（考试、某学科的成绩等）不及格; 评定（某人）不及格; （因不及格而） 退学
fivesome|五个人一组，五件东西，有五人参加的游戏
fracturing|[化] 压裂
felon|重罪犯, 恶棍, 瘭疽
flourishes|茂盛, 繁荣( flourish的第三人称单数 ); 兴旺发达; 挥动
forepleasure|前奏快感
fopperies|纨绔习气( foppery的名词复数 )
ficelle|淡灰褐色
ferret|白鼬, 雪貂, 侦探
fidate|[国际象棋]稳固棋子使它不被对方吃掉
ferly|奇异景象, 奇迹
fibrils|(fibril 的复数) n. 小纤维, 须根
follicle|小囊, 滤泡
fellmonger|毛皮商, 去毛匠
fossula|[解]小窝
freewheeling|惯性滑行
factionalist|搞派别活动者
footlocker|军人用床脚柜
floured|粉质的；撒上粉的；粉状的；磨碎的
foresound|震前声
fabaceous|豆的
fructosan|聚果糖, 聚左旋糖
foresworn|, vi. foreswear的变形
fashioned|…式的
fightingly|fighting的变形
facultative|授权的, 机能上的, 才能上的, 能力上的, 兼性的, 可选择的, 任意的
fondling|被溺爱的人, 爱子, 宠爱的动物
flitting|翩翩飞起；高速移动（flit的现在分词）；调拨, 搬运, 搬移
felonry|重罪犯
frasier|(Frasier)人名；(英)弗雷泽
feminism|女权主义, 男女平等主义
fluorescer|荧光剂; 荧光增白剂
facture|制作, 制作法
furloughs|（军队的）休假( furlough的名词复数 )
federates|（使）结成联邦( federate的第三人称单数 )
firman|(昔时土耳其皇帝等的)敕令
feoffor|采邑授与人, 不动产赠与人
felafel|[单复同]n.=falafel
feetless|feet的变形
fertilizable|可施肥的, 可受精的
fuzzed|绒毛, 轻柔的物质( fuzz的过去式和过去分词 ); 竖起来的短细的毛发
focalized|调节…的焦距( focalize的过去式和过去分词 ); 使集中在焦点上; 聚焦; 调焦距
flagellate|鞭打, 鞭挞
fairish|还可以的, 相当的
fairness|晴朗, 光明正大, 美丽
futurity|将来, 未来, 未来的事, 远景
foists|强迫接受, 把…强加于( foist的第三人称单数 )
festivities|欢庆, 庆祝活动, 庆典( festivity的名词复数 ); 过节
flaperon|[航空]襟副翼
fornix|[解]穹窿,穹
fleishig|用肉类制成的, 用肉制品制成的；(犹太饮食法令中)限于肉类(或肉制品)的
foliaceous|叶状的, 叶质的, 叶的
fevers|热（病）( fever的复数形式 ); 发烧; 一时的狂热; 激动不安
felter|制毡工
furlers|(furler 的复数)  卷起者
freemen|自由民, 享有市民权的人( freeman的名词复数 )
fibrosity|微丝性
fumigators|(fumigator 的复数) n. 烟熏者, 烟熏器
fatalness|危险性, 致命性
fizzer|失败
folium|薄层
filiate|使加入；收作养子
folkmoot|(旧时英国市、郡等的)群众大会
forgoing|没有也行, 放弃( forgo的现在分词 )
flutist|横笛吹奏者, 笛手
filariae|filaria的复数形
flares|喇叭裤
forearming|前臂
flapjack|烤饼, 煎饼, 小粉盒
fishhooks|(fishhook 的第三人称 -s形式) n. 鱼钩, 钓钩
foci|pl. 焦点, 焦距, 对焦点, 聚焦, 活动中心, 集中点, 兴趣中心, 病灶, 震源, 疫源地
forcipate|钳形的
finlike|鳍状的
fink|破坏罢工的人, 告发人, 密告人
flavorsome|有香味的
floruit|在世期, 全盛时期
famishes|使挨饿, 感到极饿( famish的第三人称单数 )
fenianism|芬尼共和主义
frogbit|马尿花（一种热带美洲水生飘浮植物）
fructuous|多果实的, 会结果实的, 多产的, 有成果的
furl|卷收, 叠, 收拢
frisbees|飞盘(frisbee的复数 ）
foreskin|包皮
furbish|擦亮, 研磨, 磨光
fip|(=fippenny bit)<美>五便士币(1857年前在美国流通的西班牙银白币)
freestyle|自由式
flechette|航空箭形弹; 剪弹
follis|(folli 的第三人称 -s形式) n. (Folli)人名；(法、意)福利
fetterer|fetter的变形
fubsy|肥胖的, 矮胖的
fadeaway|消退, 低速曲球
faience|精巧彩色陶器
faradize|用感应电流刺激(肌肉), 以感应电流治疗
fenny|沼泽的, 长在沼泽地带的, 住在沼泽地的
flavanthrone|[机] 黄烷士酮
faltered|（嗓音）颤抖( falter的过去式和过去分词 ); 支吾其词; 蹒跚; 摇晃
forestal|forest（森林）的变形
fulminates|强烈批评( fulminate的名词复数 )
furiousness|狂暴;勐然
floatplane|飞行艇, 水上飞机
francolite|细晶磷灰石
fratercula|[网络] 角海鹦；海鹦属；范特库兰
funicular|索状的
fittage|装配任务
frush|马蹄叉
faradization|感应电疗法
flambeau|火把, 有装饰的大烛台
frenetical|<古>=frenetic
fishhook|鱼钩, 钓钩
fiddlestick|拉提琴的弓, 无价值的东西
floccilation|[医] 摸空, 捉空摸床
firmament|天空, 苍天
foeman|敌兵, 敌人
fascinatedly|出神地
fulmar|[动]管鼻藿
firmed|& vi. 使坚固（firm的过去式与过去分词形式）
fumulus|一层薄雾
fusile|可聚变的, 可聚变物质的
fiz|发嘶嘶声, 有泡沫的饮料
floatable|可漂浮的, 可浮起的, 可航行的
finery|(华丽的)装饰, (华丽的)服饰, 鲜艳服装, 幽雅, 精炼炉
forcefully|激烈地；强有力地；有说服力地
fytte|诗歌的一节
fanatism|[网络] 狂热主义；狂热崇拜
foolhardy|愚勇的, 有勇无谋的
fulfills|履行（诺言等）( fulfill的第三人称单数 ); 执行（命令等）; 达到（目的）; 使结束
feudatory|受有封地的, 封地的, 封臣的
foism|(中国的)佛教
fiberizer|成纤器
flashbulbs|闪光灯泡( flashbulb的复数形式 )
frocked|女装；连衣裙；僧袍；罩袍
formative|有助于形成的, 造型的, 形成的
feil|费尔（人名）
fulgently|fulgent的变形
facile|容易的, 灵巧的, 温和的
firstfruits|一个季节中最早的收获, (喻)最初的成果
fahlband|[矿]黝矿带
filtrated|过滤, 筛选( filtrate的过去式和过去分词 )
foothot|毫不延迟地, 匆忙地
fid|硬木钉, 桅栓
folate|[医] 叶酸盐
flawn|[人名] 弗劳恩
fellness|残酷
freetrader|自由贸易主义者, 走私者,自由贸易
firefall|火瀑（游戏名称）
fraxetin|皮亭
forewarned|预先警告, 事先告知( forewarn的过去式和过去分词 )
frosted|结霜的, 冻伤的, 无光泽的, 磨砂的, 因年老而变白的, 冷淡的
flatters|向…奉承( flatter的第三人称单数 ); 阿谀; 给以愉快的感觉; 使显得更漂亮
fornicated|私通( fornicate的过去式 )
frequenting|常到, 光顾, 常与…交往( frequent的现在分词 )
fillet|头带, 带子
fertilisable|<主英>=fertilizable
farruca|法鲁卡舞( 西班牙安德鲁西亚地区的一种吉卜赛舞)
famuli|famulus的复数形
filoplume|毛羽
farcetta|短闹剧
footnotes|脚注；附注；表下注释（footnote的复数）
farrowing|产小猪
flowstone|[地]流石
fatalism|宿命论
frostbit|冻伤( frostbite的过去式 )
flamenco|弗拉曼柯舞, 弗拉曼柯舞曲
fibula|腓骨, 搭扣, 扣针
fatherhood|父亲的身分, 父性, 父权, 父道
fissiped|[动] 裂趾类动物
francolin|鹧鸪
fluidly|流动地
flawing|产生裂纹
freebooter|海盗
foliaged|有簇叶的, 叶饰的
fulvene|[俗]富烯, 亚甲基环戊二烯
floorage|楼面面积, 占地面积
filum|[解]丝, 丝状部份
frazzle|(使)磨损, (使)磨破, (使)破烂
fandom|运动迷, 影迷
flagged|（已醉得）不能再喝的
folklorist|民俗学者
friseur|<法>n.(为女子理发的)美发师
foreganger|鱼镖绳
fusarium|镰刀霉
fomes|传毒物(如病人衣物床褥等)
friers|(frier 的复数) n.做油炸食品的人, 煎锅
fossilise|vi. 使成化石, 变成化石, 使(思想)陈旧, 使僵化
fleerer|fleer的变形
farkleberry|臼莓
farrel|[人名] 法雷尔
fumeless|无烟的
flumes|(flume 的第三人称 -s形式) n. 峡沟, 引水槽, 水道
flickery|闪烁的, 摆动的
flameless|[机] 无火焰的, 不起火焰的
flyswat|蝇拍
fld|field 场; fluid 流体; flowered 花开着的; failed 失败了的
frug|扭摆舞
foraging|搜寻（食物）, 尤指动物觅（食）( forage的现在分词 ); （尤指用手）搜寻（东西）
freaks|畸形人；怪胎（电影名）
flasher|发出闪光之物, 闪光灯, 闪光信号
forecourse|(船)前桅大横帆
fruticulose|稍灌木状的
flagellating|鞭打, 鞭挞( flagellate的现在分词 )
floodgates|（江河或湖泊的）防洪闸（门）, （泄）水闸门( floodgate的复数形式 )
freewheeler|可滑行的车辆, 挥金如土者
ferrule|金属手杖, 金属环, 套圈
flogging|鞭打
floridean|红藻的
forearm|前臂
frap|缚紧, 收紧
fatigable|易疲劳的
fatsos|胖子，胖家伙（作称呼用，含贬意）( fatso的名词复数 )
flightiest|（尤指女人或其行为）轻浮的, 朝三暮四的, 反复无常的( flighty的最高级 )
felinely|feline的变形
falconet|小鹰, 旧式小炮
filch|偷窃, 窃取
fathomable|深度可测明的, 可以了解的
forniciform|弯曲状的
fughetta|小赋格曲
fleeceless|fleece的变形
forecasted|forecast的过去式和过去分词
ficiform|[医] 无花果状的
forehearth|前炉[床]
forgives|原谅( forgive的第三人称单数 ); 饶恕; 对不起; 请原谅
frow|荷兰女人, 家庭主妇, 妻子
folious|[医]具叶的
frons|(昆虫的)额
formulized|公式化, 用公式表示, 把…作成公式( formulize的过去式和过去分词 )
fallible|易错的, 可能犯错的
fleawort|亚麻籽车前, 旋复花
fashionless|不时髦的；不成形的
faddy|一时流行的, 喜爱时尚的
furnacing|用炉子处理, 用炉子加热(包括熔炼、焙烧、焙解等操作)
fripperies|便宜而俗艳的服装, 无用的东西( frippery的复数形式 )
fluorimetric|使用荧光计的, 使用荧光测定法的
fitzroy|菲茨罗伊（姓氏）
foretaster|预尝者, 先尝者
formylate|甲酰化
foppish|浮华的, 矫饰的, 纨绔的, 傻的
futuristic|未来派的
fumingly|fume的变形
fustet|黄栌属植物
furmint|福尔明葡萄(法国酿酒用葡萄品种)
fishplate|鱼尾板
fiberfill|纤维填塞物
fibroin|(丝心)蛋白
fossicker|fossick的变形
filthily|污秽地, 不洁地, 丑恶地
frey|弗雷(兴旺、爱情、和平之神)
flatfooted|adj. 平脚的
fluorosis|[化] 氟中毒
feigner|feign的变形
fumarase|[生化]延胡索酸酶
fidelities|忠诚，忠实（fidelity的复数形式）
foddered|饲料；素材
foxgloves|毛地黄( foxglove的复数形式 )
floes|(floe 的复数) n. 大浮冰
furbelows|(furbelow 的第三人称 -s形式) n. 褶子, 俗气的装饰, 边饰, 裙饰
founds|创办, 成立, 建立( found的第三人称单数 )
fornicators|(fornicator 的复数) n. 私通者
fronded|frond的变形
factitive|使役的
fleury|饰以百合花纹的, 臂端有花纹的
fuchsin|[化]品红, 洋红
fusuma|日式房屋中的拉阖门
frowners|(frowner 的复数) n. frown的变形
footslogging|在泥泞中费劲地步行( footslog的现在分词 )
flytier|假蝇制作者
fissional|细胞分裂的
ferula|阿魏(药用植物), 戒尺, 权杖
feebly|柔弱地, 无力地, 微弱地
freestone|[化] 易切砂岩; 易劈石; 离核; 离核果实
fistulina|[网络] 瘘管
flagroot|蒲根
figurante|[芭蕾]女配角演员
fedayeen|（尤指反对以色列的）阿拉伯突击队队员, 埃及游击队队员( fedayee的名词复数 )
freyja|弗蕾亚
fluster|慌乱, 激动, 紧张不安
festooned|花彩（装饰）( festoon的过去式和过去分词 )
familiars|熟悉的( familiar的复数形式 ); 通晓的; 冒昧的; 随便的
farthest|最远的, 最久的
formate|甲酸盐, 编队飞行
fuligo|[医] 煤烟
francophil|亲法者
fourpenny|四便士的
famousness|famous的变形
flounders|比目鱼( flounder的名词复数 )
famatinite|脆硫锑铜矿, 块硫锑铜矿
fruticetum|(pl.-ta)灌木群落
fezzed|非斯(摩洛哥北部城市)
forges|锻造( forge的第三人称单数 ); 伪造; 艰苦干成; 努力加强
fosterer|养育者, 鼓励者
fillmore|菲尔莫尔（姓氏）
fluphenazine|[药]氟非那嗪,羟哌氟丙嗪(一种安定药)
floodway|泄洪道
forswear|发誓抛弃, 发誓否定
failings|弱点, 缺陷, 短处( failing的复数形式 )
frogman|蛙人
fanciness|空想, 花哨, 做作
forzando|强调音符[音调]
fowlerite|锌锰辉石
fisk|国库；罗马皇帝王室财库
foursome|四人的一组, 四人对抗赛
functionals|(functional 的复数) a. 功能的
fondu|蛋白乳酪酥
favel|[人名] [英格兰人姓氏] 费弗尔来源于古法语, 含义是“黄褐色”(tawny)
foreward|正转
fluorides|[无化] 氟化物, 氰化物（fluoride的复数形式）
fizzers|(fizzer 的复数)  失败
flaxseed|亚麻子, 亚麻仁
fuzziest|模糊的( fuzzy的最高级 ); 绒毛般的; 糊涂的; 紧鬈的
fanging|木风管
fishtailing|摇摆尾翼而减缓飞行速度( fishtail的现在分词 )
forme|印版
falsities|虚伪( falsity的名词复数 ); 虚假; 不老实; 不忠实
furless|fur的变形
furnacemen|(furnaceman 的复数) n. 炉前工; 炉工
felix|菲力克斯（男子名）；费力克斯制导炸弹
fluked|(fluke 的过去时) vt. 侥幸成功
frizzler|frizzle的变形
filibuster|阻挠议事的活动, 掠夺兵, 暴兵, 海盗
farmyard|农家庭院
flabellate|扇形的
fourpence|四便士, 四便士银币
foldaway|折叠式的
flannelet|棉织法兰绒
fonds|(fond 的第三人称 -s形式) a. 喜欢的, 宠爱的, 温柔的
floundered|（常指在水中）挣扎( flounder的过去式和过去分词 ); 挣扎, 漫无目标
frolicsome|嬉戏的, 爱闹着玩的
fishlike|似鱼的, 冷淡的
forehands|（网球等的）正手一击, 正手击球( forehand的复数形式 )
fescennine|下流的
firebirds|(firebird 的复数) n. 北美黄鹂鸟
fieriest|燃烧的( fiery的最高级 ); 火似的; 火热的; 激烈的
footmanship|徒步行走的速度
fissurella|[网络] 裂缝
foretriangle|(由帆船的甲板、 前桅及前支索组成的)三角形区
forlornness|愁思
fendering|防护物
foreshower|预示, 预告, 是…的预兆
felicitator|祝贺者
fuegian|(南美洲南端)火地岛(印第安)人
feaze|困扰, 折磨
fakes|云母板状岩；赝品；假冒商品（fake的复数）
fatties|<非正>（侮辱性用语）胖子( fatty的复数形式 )
ferrets|雪貂, 白鼬( ferret的名词复数 ); （经常性的）搜索者
feelers|（昆虫的）触须, 对他人观点或反应的试探( feeler的复数形式 )
faraday|法拉第
fleck|斑点, 雀斑, 斑纹
fistnote|指示符号,所示注解(通常有一定的重要性)
fogyish|守旧的, 旧头脑的
frivolously|轻浮地, 愚昧地
flaskful|[网络] 烧瓶
falsifying|篡改, 伪造( falsify的现在分词 )
flexors|(flexor 的复数) n. 屈肌
formals|（学校教育或培训）正规的( formal的名词复数 ); 方式上的; 礼仪上的
feriae|（古罗马的）假日, 喜庆日, （基督教的）平日（尤指基督教节日以外的日子）( feria的名词复数 )
floodgate|水门, 水闸, 防潮水闸
focalisation|[网络] 聚焦
fundable|fund的变形
falangist|长枪党党员
footed|有脚的, 脚步...的, 有...脚的
finn|芬兰人
funiculi|pl. 索, 精索, 脐带
fain|乐意的, 想要的, 愿意的, 不得不
forepost|前哨, 边区村落
foreshore|前滩, 海滩
filaria|丝虫
furcated|分叉( furcate的过去式和过去分词 )
folial|小叶
fatimid|法蒂玛（穆罕墨德之女）王朝君主, 法蒂玛的后裔
flittern|嫩橡树皮
faltering|犹豫的, 蹒跚的, 支吾的
fishify|供应鱼, 准备鱼
fornicating|私通( fornicate的现在分词 )
flagger|野生鸢尾花
fraenums|系带
flueric|流体的,液体的, 射流的流控的,射流控制(或放大)的
fourthly|第四(列举条目等时用)
foamflower|[植]泡沫花
froglet|[动]小蛙, 幼蛙
frictionless|无摩擦的
forked|成叉的, 叉的, 叉状的
furred|长着软毛的, 毛皮制的, 穿毛皮的
fervescence|[医] 发热, 体温升高
fascista|[pl. ]法西斯蒂(1922-1943年统治意大利的法西斯党)
fixates|视线移向( fixate的第三人称单数 ); 注视; 使固定
feudalist|封建主义者
fatuities|愚昧，昏庸( fatuity的名词复数 ); 愚蠢的言行
fluviograph|河川水位自动记录器
freibergite|银黝铜矿
furfural|糠醛
frostwork|霜花花纹, (银器等上的)霜花纹装饰
fluorin|[化]氟
fieldman|外务员
fustian|棉麻粗布, 浮夸的话
filings|锉屑
funks|惊惶( funk的名词复数 ); 恐惧; 懦夫; 乡土爵士乐
firebricks|耐火砖
furcation|分叉, 叉形
fabricators|(fabricator 的复数) n. 制作者, 假造者, 杜撰者
frangipani|鸡蛋花
facings|饰面, 覆盖（如墙壁的）表面的覆饰( facing的复数形式 ); （衣服的）贴边
ferronickel|镍铁
forties|四十( forty的名词复数 ); （尤指白天）打盹, 午睡
faultful|缺点很多的
fluorid|氟化物
fumarin|氟乙酰胺
fersmite|铌钙矿
fancied|空想的, 虚构的, 受喜爱的
fucose|海藻糖
fetology|胎儿学
fatting|去肠脂, 去内脏脂
futureless|无前途的, 无希望的
fergusonite|褐钇铌矿, 褐钇钽矿
facepiece|[医] 面具, 面壳
fingerfish|海盘车
foretopmast|前中桅
farawayness|[网络] 遥远
fogeater|雾虹, 雾中升起的满月
flowerlike|象花的
fewtrils|小事, 少量, 琐碎东西
faints|pl. 劣质酒精
fibrin|纤维蛋白
firings|开火；烧制；解雇；生火
fatality|不幸, 厄运, 致命性, 死亡者, 厄运, 天命
fruitery|果实, 贮存水果的地方
fumbler|摸索者, 工作拙劣的人, 粗手笨脚的人
freesia|小苍兰
franchisees|(franchisee 的复数) n. 有代销权的人(或团体)
fluidizing|使液化, 流（态）化( fluidize的现在分词 )
frag|蓄意杀伤
fomento|[地名] [古巴、乌拉圭] 福门托
fugle|做向导, 做指导人
forbiddance|禁止, 禁令
flavescent|逐渐变黄的, 稍带黄色的
fasciation|簇生, 扁化
fauvism|野兽派
formulistic|公式主义的
feoffee|受采邑者, 封地受领人
fizgig|发嘶嘶声的烟火
filmically|filmic的变形
falsest|false（虚伪的）的最高级形式
freewheel|自由飞轮
furcal|开叉的, 开叉形状的
fillmass|(=massecuite) 糖膏
fumago|烟霉属
fluviation|流水作用
furor|喧闹, 激怒, 感动, 狂热
folds|皱褶；折痕（fold的复数形式）
friendless|没有朋友的, 无依无靠的
fixative|固定的, 定色的
figo|国际妇产科联合会（International Federation of Gynecology and Obstetrics）
fielden|[人名] [英格兰人姓氏] 菲尔登 Field的变体
fluoridates|在饮水中加少量之氟（以防儿童蛀牙）( fluoridate的第三人称单数 )
flickertail|美国北达科他州居民的绰号
feirie|<苏格兰>灵活的, 健壮的
forays|突袭, 袭击( foray的名词复数 ); 从事非本行的短暂尝试活动
fragging|[美军俚]士兵(用手榴弹等杀伤性炸弹)杀伤军官的行为
forbidder|forbid的变形
freaky|(=freakish)畸形的, 捉摸不定的
fibroblastic|[医] 成纤维细胞的, 纤维形成的
fanion|测旗(测量用小旗)
flamencos|弗拉曼柯舞曲（西班牙吉卜赛人的舞蹈）( flamenco的复数形式 )
filippi|[人名] 菲利皮
felling|二重接缝, 咬口折缝；伐木
fayed|法耶德（姓氏）
flaser|[地质]压扁
flavorous|味浓的, 很有风趣的, 有香味的
foredoom|预定命运, 注定
frogged|青蛙；[铁路] 辙叉；饰扣
fluky|侥幸的, 幸中的, 不可靠的
flurr|飞起, 撒开
flagellants|(flagellant 的复数) a. (言语)刺人的, 伤人的
faggot|柴把, 束薪
focuser|聚焦放大镜, 聚焦装置
forecooler|食品预冷间
fecaloid|[医] 粪样的
formicine|蚁
fittingness|适合
foulmart|[网络] 犯规
fief|封地, 采邑
fuzz|细毛, 绒毛, 警察
fiesta|祭典日, 喜庆日, 假日
flangers|(flanger 的复数) n. 凸缘机, 除雪器, 凸缘工人
