hello|你好
humming|发嗡嗡声的, 哼着唱的, 精力旺盛的, 热气腾腾的, (酒)起泡的
hydronic|液体循环加热(或冷却)的
homekeeping|居家不外出的
hiveless|hive的变形
heteroclite|反常的人(或事), 不规则名词
heptateuch|<<圣经>>旧约的开首七卷
hellenists|(Hellenist 的复数) n. 希腊文化研究者
hydraulician|水力学校
hovelled|茅舍, 陋室；肮脏杂乱的住处
hussies|贱妇, 轻佻或粗野的女子( hussy的复数形式 )
hobbling|跛行, 蹒跚, 一瘸一拐地走( hobble的现在分词 ); 捆缚（马等）之两腿（以防走失）
hamstrung|hamstring的过去式和过去分词
hexagons|六边形, 六角形( hexagon的复数形式 )
hyperfine|[物]超精细的
hydrosulfate|[化]硫酸氢盐, 硫酸化物
hypoing|硫化硫酸钠( hypo的现在分词 )；海波；<口>刺激；瘾君子
hellery|<加拿大俚>撒野, 调皮捣蛋行为
hymnal|赞美诗集
hedonically|hedonic的变形
homaged|尊敬, 崇敬；敬意；(封建制度下的封臣对君主的)效忠宣誓礼, 效忠仪式
hydroceramic|渗水的, 用粘土制成烧成后仍具多孔的
hollaite|暗霞碳酸岩
hemiptera|半翅类
hornito|[地质]溶岩滴丘
hasp|搭扣
heterotropal|横生的(指胚珠)
horsewoman|女骑马者, 女骑士
hydroxamino|(=hydroxyamino)羟氨基
hooter|呼喊的人, 汽笛, 号笛, 警笛
hematose|(=haematose)充血的, 多血的
hairbrushes|梳子, 发刷( hairbrush的复数形式 )
holidayer|度假者
hummus|鹰嘴豆泥, 鹰嘴豆沙
hootch|私酒, 私运入的酒
hydrofluoric|氢氟酸的
hypoischium|下坐骨
horoscoper|星占；诞生时的星位 (horoscopy的变形)
hyperdiploid|[生]超二倍体的
hailshot|群子弹
heterokaryon|[生]异核体
horotelic|中速的(进化)
hygrophanous|水浸状的, 吸水的
hogging|[计] 扰乱
humulon|[化] ┿草酮; 啤酒花中呋物质之一
housefront|房屋的正面
hairsbreadth|间不容发的宽度
headlessness|headless的变形
humorsome|情绪不定的, 易怒的, 性情反复无常的, 想入非非的
heterotopism|（内脏等的）异位, （组织的） 异位移植(n.= heterotopia)
hypobromite|次溴酸盐
hexadecane|[化]十六烷, 鲸蜡烷
hewer|砍伐者, 煤矿工
honed|把（刀、剑等）磨光( hone的过去式和过去分词 )
hairnet|发网
hefted|举…以掂重量( heft的过去式和过去分词 ); 举起
hypopiesis|[医]血压过低, 低血压
hardwoods|硬（木）材, 硬木树, 阔叶树( hardwood的复数形式 )
hepatorenal|[医] 肝肾的
hosanna|〈圣经〉和撒那（赞美上帝之语）
heteroxenous|[生]异主寄生的
hyperacid|酸过多的, 胃酸过多的
homobront|[气]雷暴等时线,初雷等时线
hogans|(hogan 的复数) n. 泥盖木屋
hypodermal|[动]皮下的, [植]下皮的
homaging|尊敬, 崇敬；敬意；(封建制度下的封臣对君主的)效忠宣誓礼, 效忠仪式
hounder|hound的变形
hanking|汉金
hollowing|打凹成形（雕塑技法）
hamuli|钩状突起, 钩( hamulus的名词复数 ); [医]（单hamulus）钩
haggai|哈该(希伯来先知)
hippotigrine|斑马的
hyperdulia|[宗]( 天主教的) 圣母崇拜
hinny|公马和母驴所生的骡子
hernshaw|[鸟]鹭
hypodermosis|(牛)皮瘤蝇蛆病
heliodon|日影仪
hots|高级廷德尔谱图（Higher Order Tyndall Spectrum）；持续治疗法术
haltingly|迟疑不决地；犹豫地
highflyer|高飞的鸟;野心家
hoopoe|戴胜鸟
hilling|培土
hypsodont|高冠牙的, 高冠齿的
herapathite|[医] 碘硫酸奎宁
hornblendic|hornblende的变形
hilliest|多小山的, 多斜坡的( hilly的最高级 )
heftiness|重;肌肉发达
handel|汉德尔（生于德国的英国作曲家）
hepatoma|[医]肝细胞瘤(尤指恶性肿瘤)
habiliment|衣服, 服装, 装饰, 装备
hiders|(hider 的复数) [计] 封闭多边形
hardystonite|[矿]锌黄长石
horsetails|(horsetail 的复数) n. 马尾, 马尾旗, 马尾式发型
handarm|(手)枪
haye|[人名] [苏格兰人、英格兰人姓氏] 海 Hay的变体
headsman|刽子手, 捕鲸船船长, 坑内运煤工
hoaxers|(hoaxer 的复数) n. 欺骗者
highflying|高飞的, 抱负高的
hypervolume|超体积
heterolysin|异种溶素
heterozygous|[生]杂合的
hideaway|隐匿处, 潜伏处, 退隐处
heeding|听某人的劝告, 听从( heed的现在分词 )
harbrough|[地名] [英国] 哈伯勒
honoree|领奖人, 主宾
halobios|[医] 海洋生物
highlife|强节奏爵士舞, 强节奏爵士乐（尤指盛行于20世纪50年代和60年代, 受摇滚乐、爵士乐影响的源于西非的舞蹈和音乐风格）
hemaphein|[医] 血褐质
hemstitched|抽丝做花边, 结垂迹( hemstitch的过去式和过去分词 )
hematomas|血肿
hypotyposis|生动的叙述
habilitating|提供周转资金, 予以穿着, 取得资格( habilitate的现在分词 )
hematothorax|[医] 血胸
hepper|[人名] 赫珀
heterolytic|[医]异种溶解的
heptaploid|七倍体, 七倍体群[代]
hebetude|无精打采, 愚蠢
heptatomic|七原子的, 七元(价)的
hemiplegic|[医] 偏瘫的
helcology|溃疡学
hydrology|水文学
helmsman|舵手
hokey|虚情假意的, 做作的
halest|hale的最高级
helved|柄
hyperoxide|过氧化物
hambro|(Hambro)人名；(英、挪)汉布罗
horseshoer|马蹄铁工
hurly|骚动, 喧嚣
hybanthus|[网络] 鼠鞭草属
halfhearted|不认真的, 无兴趣的, 不热心的
hexaphyllous|六叶的
hindbrain|后脑
hui|拟人化用户界面（Human User Interface）
hemipterous|半翅类的
heteromyaria|异肌型
harpsichords|有键竖琴, 羽管键琴, 大键琴( harpsichord的复数形式 )
haematopus|[网络] 蛎鹬属；红紫柄小菇；蛎鴴属
henna|指甲花, 指甲花染料, 红褐色
hepatization|[医]肝样变
hurrayed|欢呼( hurray的过去式和过去分词 )；向…欢呼
hypobasal|次基部的
homographic|[数学]单应的, 对应的; 同形异义词的
hoaxing|开玩笑骗某人, 戏弄某人( hoax的现在分词 )
haematozoa|haematozoon的变形
histrionic|演员的, 演剧的, 矫揉造作的
horsehide|马皮, 马革, 棒球
homeowner|私房屋主；自己拥有住房者
hawkishness|鹰派人物
hexamerous|六部分的
heelplate|鞋跟铁片
husker|玉米去苞叶机
historicity|史实性, 实际存在
hirsutism|[医]多毛症
harefoot|(美洲猎狐犬的)野兔状足；[H-]“兔子腿”(英格兰国王哈罗德一世的绰号)
heitiki|<毛利语>n.(新西兰毛利人的)绿玉人像颈饰
hookup|连接, 接线图, 联播
hedged|用树篱笆围住；避免作正面答复
huipil|一种自头部套穿的连衣裙
hardie|难的, 艰苦的, 勇敢的
hybrids|杂交生成的生物体( hybrid的复数形式 ); 杂交植物（或动物）; 杂种; （不同事物的）混合物
haemal|血液的, 血管的
horner|吹号角者, (非正式)服海洛因的人
homosexuals|同性恋者( homosexual的复数形式 ); 同性恋关系
homonymously|homonymous的变形
heterosex|异性恋,异性性欲, 异性性行为
hexacosane|[医] 廿六烷
homodromous|同向旋转, 同向的
hangovers|宿醉（酒后醒来的头痛和不舒服）( hangover的复数形式 ); 遗留的感觉（或风俗、习惯等）
helices|helix的复数形式
hore|[人名] [英格兰人姓氏] 霍尔 Hoare的变体
heep|道路工程交换项目（Highway Engineering Exchange Program）
heptagons|七角形；[数] 七边形
hodads|(hodad 的复数) n. 冒牌冲浪客
hydralazine|[药]肼苯哒嗪, 胼酞嗪(降压药)
hyphal|菌丝的
hodgepodge|杂烩菜, 混杂物
halfpennies|半便士铜币, 半便士之值( halfpenny的复数形式 )
hypogeous|地下的, 地中的,地下生的
hoppled|把脚拴在一起( hopple的过去式和过去分词 )
hoodman|(捉迷藏游戏中的)蒙眼人
helical|螺旋状的
hast|have的第二人称单数现在式
hards|亚麻屑；硬质煤；毛屑
hairworm|金线虫; 发虫
haunched|haunch的变形
housemothers|女舍监
handgravure|手工凹印
hicks|希克斯（姓氏）
hamose|[植]具钩的
honky|白鬼子
haemin|(=hemin)[生化]血晶质的, 血晶素的
humidities|(humidity 的复数) n. 湿气, 潮湿, 湿度
heredolues|遗传梅毒, 先天性梅毒
honeymooned|度蜜月（honeymoon的过去式与过去分词形式）
hydroponist|水耕式经营者
hurrahs|欢呼声；激动；混乱
hailers|(hailer 的复数) n. 欢呼的人, 打招呼的人
hydrus|（通用名）水蛇座
hust|华中科技大学（Huazhong University of Science and Technology）
heliographic|日光反射通讯术的；日光反射信号器的; 太阳的
hued|有某种色调的
hypotaxia|控制力减弱, 自制力减弱
headkerchief|头巾
hoyle|霍伊尔纸牌游戏书
headdresses|饰头巾, 头发编梳的式样( headdress的复数形式 )
heliochrome|彩色照片
hammerkop|【鸟类】 = hammerhead [亦作hamerkop]
homonymy|同名,歧义
hernia|疝气
homophonic|同音的, 齐唱的
hysterolith|子宫石
hahnemannian|(德国医师)哈内曼的, 哈内曼疗法的
hypochordal|底索的, 脊索腹侧的
harrying|使苦恼( harry的现在分词 ); 不断烦扰; 一再袭击; 侵扰
highfalutin|大话, 夸张的言词
hern|苍鹭；青鹭
handbag|手提包
hydrometry|液体比重测定, 流水速力测定, 流量测定
hepatalgia|[医] 肝痛
hexadecyl|[化] 鲸蜡基; 十六基; 十六烷基
hotheadedly|hotheaded的变形
hydrophily|亲水状态
hanseatic|汉萨同盟的
hennery|养鸡场
hawing|（使）向左转, 支吾( haw的现在分词 )
hadrosaur|[古生]鸭嘴龙(一种嘴像鸭嘴的恐龙)
handcuffing|给…戴上手铐( handcuff的现在分词 ); 束缚…的手脚, 限制
hypsochromy|浅色团作用
higgled|讨价还价, 讲价( higgle的过去式和过去分词 )
hypostatized|使…具体化；使…实体化
hairstyle|发型
hypotensor|降压药
harmonica|口琴, 玻璃钟琴
hugeously|hugeous的变形
heathers|(heather 的复数) n. 石南花
hydrogenate|[化]使与氢化合, 使氢化
halftone|网板, 中间色, 半音
hammertoe|槌状脚趾
hypobaric|比重低于脑脊髓液的,(麻醉剂)低比重的
honeybunch|亲爱的人
halophyte|盐土植物
heirdom|继承权, 继承的财产
humidifies|使潮湿（humidify的第三人称单数形式）
hafter|柄, 把
higgles|讨价还价, 讲价（higgle的第三人称单数形式）
haywire|[计] 临时的
harmost|古希腊时斯巴达殖民地的军事统治者
howler|咆哮者, 号哭的人
hoggin|含沙碎石
hepatologist|[医] 肝脏病学家
hawker|饲鹰者, 以鹰行猎者, 叫卖小贩
hitter|打手, 打击的人
hyparterial|动脉下的
holidaymaker|度假者
hogtied|四脚一齐捆绑, 绑得使动弹不得( hogtie的过去式和过去分词 )
harbors|海港( harbor的名词复数 ); 海湾; 避难所; 躲藏处
hookey|逃学者
heckelphone|[音](比双簧管低八度的)黑克尔管
hoarsened|使（嗓子）嘶哑, 变嘶哑( hoarsen的过去式和过去分词 )
hydnocarpate|[化]副大风子(油)酸盐,副大风子(油) 酸酯
hester|海丝特（女子名, 等于Esther）
hete|[医][=hydroxy-eicosatetraenoic acid]羟基廿碳四烯酸
hookless|无钩的
harmonically|调和地, 和声地
hydroxyl|氢氧根
hemangioma|[医] 血管瘤
helling|过放荡生活（hell的现在分词形式）
hypophamine|[医] 垂体胺
hypnobate|[医] 梦行者
hawse|锚链孔
hissingly|hissing的变形
hydrometra|子宫积水
hilariously|引人发笑地；滑稽地；喜不自禁地
horrific|令人毛骨悚然的, 感到恐惧的
hayfield|草田
hunchbacked|驼背的
hallel|(犹太人某些节日中诵咏的)《诗篇》第113到118篇
hackee|[网络] 黑客
hedyphane|钙砷铅矿
hymnography|赞美诗写作
hedgehog|豪猪, 刺猬, 难交朋友的人, 防卫森严的阵地
hierologic|hierology的变形
headier|易使人醉[发晕]的, 令人陶醉的( heady的比较级 )
horseleech|贪心的人
homosporous|[植]具同形孢子的
hyd|[医][=hydration]水合（作用）
haunter|haunt（常去, 常到；经常逗留）的变形
hotdogging|(hotdog 的现在分词) v. 卖弄
heidi|海蒂（Adalheid的昵称）
halometer|[化]盐量计
hardhead|精明而讲实际的人
hingle|[人名] 欣格尔
hippogryph|[神话] 一种怪物
hoveller|无执照领港员, 无执照难船救助员
histrionism|戏剧性
hawser|大缆, 系船索, 曳船索
hereabout|在这里附近
hiodontidae|月眼鱼科
headpiece|头巾, 耳机, 盔, 帽子, (书的)扉页, 头脑, 才智
hilborn|[人名] 希尔伯恩
heparins|(heparin 的复数) n. 肝素
haricot|蔬菜炖羊肉, 菜豆
hund|hundred （一）百
harried|被掠夺的；受折磨的
hooky|逃学者
hyperphoria|[医] 上隐斜视
hortator|劝告者, 奖励他人者
hams|火腿；腿臀肉；[口]爱好者；拙劣的演员（ham的复数）
hypantrum|[动]下体腔, 下椎弓凹
hierarchize|按级别排列, 按等级排列
herpetomonas|[医] 匐滴虫属
halitosis|(呼出的)恶臭, 口臭
halogenate|[化]卤化
howffs|(howff 的第三人称 -s形式) n. 住宅, 常去之地方
hindward|往后的
hurryingly|hurrying的变形
haematemesis|(=hematemesis)[医]吐血, 咯血
hexonic|[医] 异己酮的
harslet|(=haslet)(供食用的动物)内脏, 肚杂
hyaluronic|玻尿的
hyperite|辉长苏长岩
hazelly|榛多的
heritable|可继承的, 被遗传的, 可遗传的, 被继承的
hydroconion|[医] 喷雾器, 喷洒器
halogenous|含卤的
hushing|冲刷找矿法
hurriedly|仓促地；匆忙地
herders|牧人；（美俚）监狱看守
hobblebush|<美>[植]桤叶荚■
horizonal|水平的
hydrocorisae|隐角类
hacek|变音符号（∨）
headfish|【鱼类】；=ocean sunfish
harvestfish|[医]收获胡椒鲳
hospitaller|医院牧师
headstream|源流
halocline|(海洋的)盐(度)跃层
hymnary|赞美诗集
hydrotropic|[生]向水性的, 向湿性的
heterogen|[生]异型杂种
heuchera|[植]矾根属植物
helminthoid|蠕虫状的,肠虫状的
humified|腐殖化的
hindermost|最后面的
hid|hide的过去式和过去分词
hesychast|(希腊正教)静修士
hormonally|与激素有关, 有激素影响
heelless|heel的变形
highbrowism|自以为有学问, 炫耀学问
hucks|(huck 的第三人称 -s形式) n. 一种粗麻布
heptose|[生化]庚糖
heterodromy|异向旋转式
hypersplenia|脾机能亢进
helm|舵, 驾驶盘, 枢机, 头盔
hypocreales|[医] 肉座菌目
hygrodeik|[气]图示湿度表, 图示湿度计
hert|(Hert)人名；(德)赫特；(法)埃尔特
hyaline|玻璃似的, 透明的
halfword|半字
hippology|马学
hotdog|卖弄
hydroplaned|水上滑艇；水上飞机；水平舵
herman|赫尔曼（男子名）
hamamelidin|[医] 北美金镂梅素
helldiver|<美口>[鸟]花嘴鸊鷉
hiation|[医] [打]呵欠
hypophrenic|[医] 膈下的, 低能的
hurled|猛投, 用力掷( hurl的过去式和过去分词 ); 大声叫骂
hiortdahlite|片榍石
hierarch|教主, 高僧, 掌权者
honking|（使）发出雁叫似的声音, 鸣（喇叭）, 按（喇叭）( honk的现在分词 )
handlebar|手把, 八字胡
hysteropexy|子宫固定术
hansa|（中世纪）商业同业公会（会费）
holloo|int. 喂, 哈罗
holosystolic|全收缩(期)的
hunk|大块
hemihedral|半面的, 完成一半的
hoofbeat|蹄声
hippocampal|[医] 海马的
hoses|连裤袜( hose的名词复数 ); 长统袜; 软管; 胶管
humps|（人的）驼背( hump的名词复数 ); （使）恼怒; 动物背部的隆肉; （平面上的）大隆起物
hostessing|(hostess 的现在分词) n. 女主人, 女房东, 女老板
hic|[计] 混合集成电路
hearths|壁炉前的地板, 炉床, 壁炉边( hearth的复数形式 )
hastening|加速, 催促, 赶快( hasten的现在分词 ); 快速赶往某地
hustings|议员竟选演说坛, 讲台
huckstered|叫卖；讨价还价
hudsonite|黑铁辉石
hirudinean|[动]蛭纲
hypnotoxin|[生化]催眠激素
hochheimer|豪客海沫白葡萄酒
hedgerow|灌木篱墙
hemlocks|(hemlock 的复数) n. 毒芹属植物, 铁杉
hotch|(使)坐立难安, 使摇摆
holdman|舱内装卸工人
hinges|铰链( hinge的名词复数 )
holstered|手枪皮套
hepatizing|肝变；肝样变
housemaid|女佣
harbinger|通告者, 预告者, 先驱, 预兆
honkers|<俚>喝醉的
hostilities|战争行动, 战争
huggermugger|杂乱, 混乱
hapsburg|哈布斯堡王朝(欧洲最古老的王室家族)
homogen|具有共同起源的一群
horsepowers|<物>马力( horsepower的名词复数 )
hospice|旅客住宿处, 收容所
heft|重量, 影响, 重要性
haematoma|(=hematoma)[医]血肿
humanly|从人的角度, 充满人性地, 在人力所及范围
heretofore|直到此时, 此时以前, 迄今
hexatomic|[医] 六价的
hepialidae|蝙蝠蛾科
highlandman|高原居民, 山地居民; [H-](英国)苏格兰高地人
hurdies|[复] n.<英方>屁股
hobble|蹒跚
hedeoma|[医] 穗花薄荷属
hoppergrass|蚱蜢, 蝗虫
highjacker|强盗, 劫盗
heiresses|女继承人, 嗣女( heiress的复数形式 )
hypotenuse|(直角三角形之)斜边
honeystone|[化] 蜜蜡石
heteropod|异足蛛目
husbander|husband的变形
hamza|(=hamzah)<阿拉伯>代表闭锁音的符号的
humanics|人性学
headstands|头手倒立
howling|咆哮的, 极大的, 荒凉的
honied|多蜜的, 甜如蜜的
hydrazoate|[化]叠氮化物
harb|harbour 港口，港湾
hellenism|希腊文化, 希腊精神, 希腊风格
hybridising|(hybridise 的现在分词) v.<主英> = hybridize
hastated|三角形的, 箭头状的, 戟状的；【植物学】(叶)戟形的
helotry|奴隶阶级
haws|山楂( haw的名词复数 ); 吆喝牲畜左转; 瞬膜; 呃
hiawatha|海华沙(美国诗人Longfellow所作长诗《海华沙之歌》的主人公)
hiney|肛门（肛门的俚语，较粗俗，但也很流行。）
herbaria|腊叶集, 干燥标本集( herbarium的名词复数 )
hame|颈轭(驾车时附加在马颈上)
hickish|hick的变形
hydrostome|水螅口
hypogeum|地下室, 地窖
haunts|（鬼魂）出没( haunt的第三人称单数 ); 经常出没于; （不快的事情）萦绕于脑际; 长期不断地缠扰（某人）
housewarming|乔迁庆宴
hyperdactyly|[医] 多指(趾)
hyponym|[医]难判名
hucklebone|坐骨, 距骨
heathens|不信上帝的人( heathen的名词复数 ); 异教徒; 野蛮人; 未开化的人（常贬）
hazarding|冒险做（无把握之事）( hazard的现在分词 ); 冒险做出; 尝试着做[提出]; 冒…的风险
humpback|驼背(者), 细鳞大马哈鱼
hectogramme|(重量单位)百克
holily|神圣地
headmen|酋长, 头领( headman的名词复数 )
hummocky|圆丘般的, 多圆丘的
headstrong|顽固的, 刚愎的, 任性的
helpmeets|(helpmeet 的复数) n. 良伴, 配偶
hackler|梳麻的人
hearable|听得见的
hews|（用斧、刀等）砍、劈( hew的第三人称单数 ); 砍成; 劈出; 开辟
hexad|六, 六个一组, 六价原子
heavenwardly|heavenward的变形
homaxial|[医] 等轴的(指球菌向各方向等轴发育)
hew|砍, 砍倒, 砍成
hornbeak|[地名] [美国] 霍恩比克
hymnology|赞美诗学, 赞美诗, 赞美诗创作
hakka|<汉>客家, 客家人,客家语
heteronymous|[语]同形异音异议词的,相关而异名(或异称的)
humane|有人情的, 人道的, 仁慈的
hippophile|喜爱马的人
hymens|处女膜( hymen的复数形式 )
humidifiers|(humidifier 的复数) n. 增湿器, 湿润器
hydrocladium|[动]螅枝
hawkbit|[网络] 蒲公英
hypsicephaly|[医]尖头畸形
hight|被称为；名为…的
hilaria|[女子名] 希莱丽娅 Hilary↑1的阴性
hipping|[计] 模式化, 取定义
huddup|用作使马或牛向前走或加快走的命令
haggada|哈加达（犹太教经典<<塔木德>>中解释法律要点用的传奇轶事或寓言）
harmonizes|（使）和谐( harmonize的第三人称单数 ); （使…与…）协调; （使）相称; 以和声唱歌或演奏
haughtiest|haughty（傲慢的, 骄傲的）的最高级形式
hyperosmia|[医]嗅觉过敏
hypnotizes|对…施催眠术( hypnotize的第三人称单数 ); 使着迷, 使精神恍惚
heritance|遗传, 遗产
hagiographer|圣徒传作者
holyday|宗教节日, 圣日
hatted|戴着帽子的
hexamita|[医] 六鞭虫属
hyperemic|[医] 充血的
headsail|(航海)前桅前方的帆
honeyless|honey的变形
headwall|斗壁, 端墙
hauler|[化] 绞盘
hemoprotein|<主美>[生化]血红素蛋白
halisteretic|骨软化的
horsejockey|骑马师
hayer|燕麦
humbler|自感低卑的
hairsprays|(hairspray 的复数) n. 头发定型剂
hemorrhoids|痔疮, 痔疾
hauynite|蓝方石
hogcote|猪圈; 猪栏
hurling|爱尔兰式曲棍球；猛投
hemoptoe|咯血
hodge|霍奇（男子名, 等于Roger）
heartsick|悲痛的, 苦恼的
helladic|希腊铜器时代文化的
harl|麻的纤维, 羽上的细毛
harmonium|簧风琴
hardhack|绒毛绣线菊
hyostylic|舌接型
houstonia|茜草科小植物(北美产,开蓝、白或紫色花)
hyperpure|[计] 超净的
hektostere|百立方米
hamble|[地名] [英国] 汉布尔
hercogamy|雌雄蕊隔离, 自花 受粉阻碍
hemoptysis|咯血
haftorah|[网络] 哈费他拉
hutments|临时营房
hydrolytic|水解(作用)
hybodont|弓鲛属的
hannayite|[矿]水磷铵镁石
hobbist|霍布斯哲学家；君主专制必要论学家 (Hobbism的变形)
hibernian|爱尔兰的
hounded|追猎（hound的过去式与过去分词形式）
handily|巧妙地, 敏捷地, 便利地
heartsore|悲痛的, 忧伤的
hibernators|(hibernator 的复数)  冬眠的动物
headlocks|(headlock 的复数) n. (摔跤中的)夹头
hemophage|[医] 噬红细胞细胞
housel|圣餐, 圣餐物
hegelianism|黑格尔哲学
hypophonia|[医]发音过弱
heptadecane|[建] 十七烷
hoaxer|欺骗者
hijinks|[复]n.= high jinks
handmaid|侍女, 女仆
helvine|[矿]日光榴石
hectography|胶版印刷术
hoodwinks|欺诈, 哄骗( hoodwink的第三人称单数 )
heavenlier|heavenly（神圣的）的比较级形式
hencoop|鸡笼, (大学)女生宿舍
huffed|深呼吸( huff的过去式和过去分词 ); 气喘吁吁; 上气不接下气; 空发脾气
humous|腐殖土的, 腐殖质的
hirers|(hirer 的复数) n. 租借者, 雇主
hematoidin|[化] 血棕素; 类胆红素
holocaine|[药]霍洛卡因,芬那卡因
homospory|[植]具同形孢子
hydrocyanide|氢氰化物
hursinghar|染料夜花
heterologous|不齐[等、同]的
hammerheaded|愚笨的
hao|角（越南辅币, 等于1/10盾）
householders|住户, 户主( householder的复数形式 )
hemianopic|[医]偏盲的
heterospory|[植]孢子异型
hushpuppy|油炸玉米饼
hematite|赤铁矿
hypoploidy|[生]染色体数目较少,亚倍性
hylotheism|物神论
hydrophyte|水生植物
harboring|vbl. 怀著
hydrosulfide|[化]氢硫化物
holoenzyme|[生化]全酶
holoclastic|全碎屑岩
hauteur|傲慢；自大
headily|性急地, 任性地
hankie|手帕
hoatzin|[动]麝雉
hystrix|[医] 高起[鱼]鳞癣
hooligans|小流氓, 街头恶棍( hooligan的复数形式 )
haphtarah|[网络] 哈夫塔拉
heterocyst|[生]异形细胞
hotelman|<美>旅馆老板, 旅馆经理
hurrahed|好哇( hurrah的过去式和过去分词 )
heraldries|纹章, 纹章学( heraldry的名词复数 )
hitters|打者, 击手, （棒球）击球员( hitter的复数形式 )
hakenkreuz|[德]字(德国纳粹党党徽)
hydrophoby|疏水性
homologise|使相应; 使类似; 使同系； 表示与…同系vi.; 相应
heterogony|[生]世代交替
hypsometric|测高术的
haggadistic|haggadist的变形
horizonless|无希望的
huffer|法式夹心硬面包
handlist|(书、报等的)简明参考目录
hydrocoele|水系腔
heehaws|驴叫, 傻笑, 狂笑( heehaw的名词复数 )
holloed|(Hollo)人名；(法)奥洛；(芬)霍洛
herrenvolk|<德>n.(纳粹德国鼓吹的)统治民族,天生优越的民族[字面意义：master-race]
haziest|有薄雾的( hazy的最高级 ); 模糊的; 不清楚的; 糊涂的
homilist|怖道者, 说教者
hippocratic|（古希腊医师）希波克拉底的；希波克拉底医学派的
hermitry|隐居(生活),遁世
haak|[人名] 哈克
hyalitis|玻璃体炎
handguns|手枪( handgun的复数形式 )
homme|<法>n.人(用于英语中所使用的法语复合词中)
helluva|很难的, 很大的
hessian|麻布
hallelujah|赞美上帝的颂歌
hyperkinesia|运动过度
hepatostomy|[医] 肝造口术
hyaloiditis|[医] 玻璃体炎
highroads|公路；最容易的途径
hawkery|鹰舍
hierophobia|[医] 瞻礼恐怖, 礼拜恐怖
hazarded|冒险做（无把握之事）( hazard的过去式和过去分词 ); 冒险做出; 尝试着做[提出]; 冒…的风险
haematinum|血色玻璃
hackers|黑客, 骇客；电脑黑客（hacker的复数）
hemipode|[医]半脚鹑
hydatogenic|水成的
hesitancies|(hesitancy 的复数) n. 踌躇, 犹豫
hemokonia|[医] 血尘
halers|(haler 的复数) n. 赫勒（捷克货币）
hamstring|后腿腱
hickey|[口]器械；[俚]唇印；螺纹接合器；弯管器
hydrangeas|八仙花属( hydrangea的复数形式 )
hollong|疏毛龙脑香
huiscoyol|坚果棕榈
hanked|(hank 的过去时) n. 一束, 一圈
hematologic|血液学
hidrosis|排汗
heteromeles|[网络] 假苹果属；柳叶石楠
hermetism|[医]被子实体性, 被果性
hydatiform|[医]囊状的, 棘球囊状的, 包虫囊状的
horning|不请自来（horn的现在分词形式）
hardanger|[地名] [挪威] 哈当厄（地区）
heteroplasty|[医]异种移植, 异种移植[成形]术
halos|（图画中圣人头上的）光环, 灵光( halo的名词复数 )
heartleaf|心叶岩白菜
hysteralgia|子宫痛
haematometer|血球计, 血压计
harns|脑
homelands|祖国, 家乡( homeland的复数形式 ); （南非种族隔离制度下的）黑人家园
hoodlums|流氓, 暴徒( hoodlum的复数形式 )
hypaethral|露天的, 无屋顶的,户外的
hyalography|玻璃书写术, 玻璃雕刻术
heritress|女继承者
hypogeal|地下的, 地中的,地下生的
hideosity|丑陋；可怕；丑陋的东西；可怕的东西 [亦作 hideousness]
halaka|[网络] 哈力加；哈拉克；多半是属于伦理部份
helide|氦化物(假想物)
horsily|似马地, 爱马地
hera|赫拉(<<宙斯神之妻)
helvetii|[复] n.(古罗马恺撒时代居住在今瑞士西部和北部的)赫尔维西亚人
hesionidae|海女虫科
hematimeter|[医] 血细胞计数器
heptane|[化]庚烷
haggishly|haggish的变形
hoot|叫嚣, 嘲骂声, 鸣响
hareem|（伊斯兰教教徒之）闺房, 闺房里的妻妾群, 为一个雄性动物所控制的许多雌性动物
hobnails|(hobnail 的第三人称 -s形式) n. 鞋钉, 乡下佬
hexaploidy|六倍性
headcap|[医] 帽[精子]
howdah|象轿(象背上设置有篷盖的座席), 象舆
hallucinosis|幻觉病, 幻觉性精神病
haysel|晒干草季节
heydays|(heyday 的复数) n. 全盛期
homerian|霍梅尔阶
homomorpha|同形变态, 成幼同型
hybridisable|<主英> = hybridizable
hexer|十六进制；妖法；巫婆 (hex的变形)
hippopotami|河马
heinie|<贬>德国兵[佬], <俚>屁股
humanised|(humanise 的过去分词) vt. 使具人的属性, 使具有博爱思想, 使变得仁慈博爱, 赋与...人性
henchman|忠实追随者, 党羽, 跟踪者
huffing|深呼吸( huff的现在分词 ); 气喘吁吁; 上气不接下气; 空发脾气
hythergraph|[气]温湿图
herons|<动>鹭( heron的复数形式 )
harangues|高谈阔论的长篇演讲( harangue的名词复数 )
hyperostosis|[医]骨肥大, 骨肥厚
hydrotimeter|水硬度计
harrumphed|(harrumph 的过去时) n.哼声, 鼻息
hyraces|hyrax 的复数
helminths|(helminth 的复数) n. 寄生虫, 蠕虫
hypometropia|近视
hippological|马学的
hithe|小港口
hannibal|汉尼巴尔（男子名）；汉尼拔（公元前247～前183, 迦太基名将、统帅）
hypotheca|[经] 抵押权, 担保权
hoaxes|恶作剧, 戏弄( hoax的名词复数 )
hoodoo|不祥之物
haggler|很会砍价的人
hunkering|盘坐( hunker的现在分词 )
heedless|不注意的, 不留心的, 不谨慎的
herba|[医] 草
hamular|[医] 钩状的
houris|天堂女神, 富有魅力的美女, 迷人的美女( houri的名词复数 )
