read|读
roosting|栖息( roost的现在分词 ); 过去事情的恶果显现出来; 自食恶果; 得到报应
reciprocals|(reciprocal 的复数) a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
redevelops|重建, 重新开发( redevelop的第三人称单数 )
rhinolith|[医] 鼻石, 鼻结石
reprocessing|[化] 再处理; 再加工
regenerates|新生, 再生( regenerate的名词复数 )
redecide|再决定, 重新决定
rushing|急流的；旺盛的
renerve|重新振作, 恢复勇气(精力)
rebels|反叛者（rebel的复数形式）
remonstrant|反对的, 抗议的, 忠告的
realizer|realize的变形
ruralists|(ruralist 的复数) n. 田园生活者, 精于农村事务的人
rearticulate|再次阐明
responsivity|[计] 响应率
ruffler|傲慢的家伙
rhamnetin|[化] 鼠李亭; 鼠李醚; 栎精-7-甲基醚
radiographic|射线照相术的
rectotome|[医] 直肠刀
regenerately|regenerate的变形
rozener|烈酒
rhaetian|瑞提阶
romana|罗曼娜
ribbonlike|如带的, 带状的
reeling|卷取；摇纱；矫直；轧管机均整
reassembly|[计] 重组
rivaling|对手；竞争者
raptness|rapt的变形
runts|发育不全的矮小动物, 矮子( runt的复数形式 )
rept|[医][=repeat]重复, 反复
robbed|抢夺( rob的过去式和过去分词 ); 抢劫; 掠夺; 使丧失
rambouillet|兰布莱绵羊(一种改良型法国肉毛兼用细毛种羊)
ratting|捕鼠（rat的现在分词形式）
renowner|声誉；名望 (renown的变形)
repainted|再次（重新）油漆, 再次（重新）画( repaint的过去式和过去分词 ); 恢复…原来的色彩
redoubting|【军事】棱堡, 多面堡；胸墙；内堡；防御性障碍物
rhipsalis|[网络] 仙人棒属；丝苇属；女仙苇
renk|[人名] 伦克
remediable|可治疗的, 可矫正的, 可补救的
rayage|[医] 射线用量规定
rabbinism|拉比用语, 拉比传统
rachiodont|(蛇)具喉齿的,具脊齿的
resinate|树脂酸盐
rosehead|nail 玫瑰头装饰钉,圆花钉(有多边角锥头的装饰用钉子)
ranatra|[网络] 水螳螂；水螳螂属；蝎蝽属
revibrating|再震动
relet|转租, 续租
radicle|小根, 胚轴
restage|重新上演；重演
regenerators|(regenerator 的复数) n. 更生者, 更新者, 改革者
regaled|盛情款待
rheologist|流变学家
romaine|长叶莴苣
roset|& vt.<主苏格兰> = resin [变体]
reentering|再进入( reenter的现在分词 ); 重返; 重新加入（团体、政党等）; 重新登入
runnable|可追捕的；可猎取的；适合猎取的
raptatorial|食肉的
rumbullion|一杯朗姆酒
reassume|再采取, 再接受, 再假定
ricin|篦麻毒
redbreast|红胸鸟
rufflers|(ruffler 的复数) n. 傲慢的家伙
rahul|拉胡尔（人名）
rediscount|再打折扣, 重贴现
radford|(Radford)人名；(德、意)拉德福德；(英)雷德福
restiveness|难以驾御；倔强
rodding|[机] 砂心骨
ressentiment|<法>n.(经济上低水平阶层对经济上高水平阶层普遍抱有的)无名怨忿,(因自卑压抑引起的)愤慨
rowdiness|吵闹；粗暴
rewaken|再弄醒,再唤醒
racketed|球拍；吵闹, 喧闹
reasoner|[人名] 里森纳
retirements|退休( retirement的复数形式 ); 退职; 退役; 退休的实例
reactionist|反动分子
rubbles|(rubble 的复数) n. 粗石, 碎砖, 粗石堆
rechargeable|[电] 接充电
rawer|adj. 刺痛的( raw的比较级 ); 真实的; 未经处理的; 未经过训练的
rucked|（橄榄球）自由密集争球( ruck的过去式和过去分词 ); 普通人; 寻常事物; （使）起皱褶
reconquering|再征服, 夺回( reconquer的现在分词 )
rhizobia|rhizobium 的复数
repressive|压抑的, 抑制的, 镇压的
reaves|剥夺, 抢走( reave的第三人称单数 )
relend|再借
romanes|罗姆语,吉卜赛语
rabbitlike|似兔的, 胆小的, 多产的
resining|树脂；松香
redsear|热脆, 红脆
resorcin|间苯二酚
resellers|(reseller 的复数) n. 分销商, 代理销售商
rectus|[医] 直的, 直肌
reembroider|在...上再刺绣, 加绣
rapine|抢夺, 掠夺
radicles|(radicle 的复数) n. 小根, 胚轴
rhapsode|(古希腊的)史诗吟诵者, 荷马史诗吟诵者
ropier|破旧的, 旧式的( ropey的比较级 )
roselle|[植] 洛神葵(产于热带地区)
recrosses|(recross 的第三人称 -s形式) v.再越过, 再穿过
russophobia|恐俄症, 惧俄症
rehandling|[化] 重复劳动; 返工
respecter|尊敬者, 注重者
rethinker|rethink的变形
rusticates|罚（大学生）暂时停学离校( rusticate的第三人称单数 ); 在农村定居
retreading|[化] 轮胎翻修
runless|无得分的
reemerge|再度出现
reafforest|在...重新造林
rantingly|rant的变形
reddy|雷迪 Ready的变体
rapturous|兴高采烈的, 狂喜的, 欢天喜地的
ricinoleic|蓖麻油酸的
rit|[计] 信息传输速率
relit|重新燃点, 再点火( relight的过去式和过去分词 )
rosalie|罗莎莉（女子名）
remunerate|给与报酬, 赔偿, 酬劳
rectilinear|[电] 成直线
reenactment|再制定；再扮演
rhizopod|根足虫
resembles|像…, 类似于( resemble的第三人称单数 ); 效仿
relent|变宽厚, 变温和, 动怜悯之心
rupturewort|[网络] 破乳药
restraints|抑制( restraint的复数形式 ); 克制; 控制; 约束力
redo|再做, 重做, 改装
remounting|再上, 重登, 重新安装( remount的现在分词 )
recharging|充电( recharge的现在分词 ); 给（枪）再装弹药; 养精蓄锐; 休整
racehorses|比赛用的马( racehorse的复数形式 )
reflectance|反射比
resinlike|resin（树脂, 松香；用树脂处理）的变形
revenges|为…报仇, 报…之仇( revenge的第三人称单数 )
rudolph|鲁道夫（男子名）
rudderhead|舵轴的顶端
reservists|预备役军人( reservist的复数形式 )
reshear|(钢板)重剪机, 精剪机
repeaters|中继器（repeater的复数）
refectory|餐厅
ruffing|亚麻除籽工艺
riverhead|河源, 水源
ratification|批准, 承认, 认可
rebuttal|辩驳, 驳回, 反驳, 反驳的证据, 反证
rehabilitant|治疗期间的残废者, 复原期间的残废者
repapered|(repaper 的过去分词) v.重新用纸裱贴, 用纸重新包
remonstrated|抗议( remonstrate的过去式和过去分词 ); 告诫
ruminative|默想的, 沉思的
reprieving|缓期执行（死刑）( reprieve的现在分词 )
rhomboclase|板铁矿
rathripe|早熟的,早生的
revelled|作乐( revel的过去式和过去分词 ); 狂欢; 着迷; 陶醉
reengagement|再联锁
renovating|翻新, 修复, 整修( renovate的现在分词 )
resojet|[空]共鸣式喷气发动机
rivalries|敌对, 竞争, 对抗( rivalry的名词复数 )
repassing|(repass 的现在分词) vt. 再经过, 再通过
retrograded|向后的( retrograde的过去式和过去分词 ); 后退的; 退化的; 恶化的
recta|pl. 直肠
rondos|回旋曲( rondo的复数形式 )
redelivery|转售交货；重新发还
rooty|多根的, 根似的
ribband|木桁
rickrack|荷叶边
ries|里斯（姓氏）
radials|辐板
recalescence|[机] 再织, 再辉
rams|可靠性、可用性、可维护性和安全性（Reliability, Availability, Maintainability, and Safety）；随机存取测量系统（Random Access Measurement System）；地区性自动化管理系统（Random Access Measurement System）
requester|[计] 请求者, 请求程序
reerect|重新竖立,重新架设,再建造,再建立
risklessness|[网络] 无风险
revaluation|再评价
retries|重试（retry的复数）
rounders|圆场棒球
ruckus|喧闹, 骚动
rosefish|[动] 玫瑰鱼(产于北大西洋)
reattach|再次附着（附属）, 附着（附属）于原处
revokingly|revoke的变形
raceabout|单桅赛艇
ricochet|跳飞, 跳弹
rebuking|责难或指责( rebuke的现在分词 )
redactional|redaction的变形
roofer|盖屋顶的人, (客人致主人的)道谢函
redundancies|过多( redundancy的复数形式 ); （机器的）多余度; （尤指文字）冗长; （因劳动力过剩而造成的）裁员
ragstone|质地粗糙的岩石
rhombohedra|菱面体, 菱形体
remediless|医治不好的, 不能挽回的
remanded|<律>将…还押候审( remand的过去式和过去分词 ); 将…发回重审
revolted|起来反抗的, 起义的, 反叛的
remittances|汇寄( remittance的复数形式 ); 汇款, 汇款额
rabidness|猛烈顽固, 患狂犬病
repopulate|使人重新住入
remen|[医]普拉西坦[脑功能改善药]
revoked|[法]取消的
rya|里亚毯, 里亚毯式样
restoring|恢复的
recheck|[计] 复查
rata|——见 pro rata
rottle|埃及重量单位(=0.449287公斤)
reactivities|反应；反动
repined|苦恼, 埋怨( repine的过去式和过去分词 )
rhachides|rhachis的变形
righted|纠正( right的过去式和过去分词 ); 公正对待; 整理; 补偿
reptilia|[动] 爬虫类, 爬行动物
remarket|重新上市
reconnoitre|侦察, 勘探
registrant|登记者
reconvict|再判决, 重新判决
rodden|[人名] 罗登
repristinate|使复原
ramus|[植][动][解]分支, 支
rouille|<法> n.胡椒味大蒜酱[字面意义 rust,指其色]
regrowth|再生长, 再生苗; 再生物
reassumption|再接受, 再假定
ratafia|果仁酒, 杏仁味的甜饼干
rebukeful|充满责备的, 责骂性的
renomination|再提名, 提名...连任
rumps|（兽的）臀部( rump的复数形式 ); 残余部分; 牛臀肉; 余党
rheotactic|微生物在水流中之行动的
realised|实现（realise的过去分词）
reticence|无言, 沉默, 勉强
refitted|（尤指船）整修, 重新装置, 给…整修( refit的过去式和过去分词 )
racialist|种族主义的, 种族歧视的, 种族迫害的, 种族隔离的, 种族主义者
rurban|靠近都市之农村的
rewet|再润湿
repurpose|赋予新的用途
repl|[医][=replace]取代, 更换
rabot|(用于大理石雕刻磨光的)一种硬木板
retinula|[昆]小网膜(指昆虫复眼中小眼的色素细胞)
ramicorn|具分支触角的
reparation|补偿, 赔偿, 弥补, 修复, 修理
raimentless|[网络] 无情的
resentive|resent的变形
resaw|再锯, 解锯
reliefer|(棒球)上场替换的投手
roarings|(roaring 的复数) n. 吼声, 咆哮, 怒吼
riffing|除砂
radiators|（暖气设备的）散热器( radiator的复数形式 ); 汽车引擎的冷却器, 散热器
reinoculate|再接种
refit|整修, 改装
reliably|可靠地, 可信赖地
raccoons|浣熊( raccoon的复数形式 ); 浣熊毛皮
relevancy|关联, 恰当, 中肯, 贴切
roomette|小房间
refractile|折射的, 能折射的,有折射力的
reen|沟；排水沟
rambutans|(rambutan 的复数) n.[植] 红毛丹树(产于马来西亚), 红毛丹果
reediness|reedy的变形
raffe|三角顶帆
rebating|(rebate 的现在分词) n. 部分退款, 折扣
reclosable|(打开后)能重新盖紧的
revocatory|废止的, 取消的
remit|宽恕, 赦免, 免除, 汇出, 缓解, 减轻, 把...提交, 使恢复原状, 推迟
ranginess|rangy的变形
ribonuclease|[生化]核糖核酸酶
ruminantly|ruminant的变形
reaggregate|使再聚集,使重新积聚
ratal|征税额
rocambole|[植] 小蒜, 胡蒜(产于欧洲)
ravener|强夺者, 强盗, 贪食的人
recitable|可吟诵的,适于吟诵的,可细说的
radiometer|辐射计, 放射计
refractively|refractive的变形
rationable|[网络] 合情
reappoint|再任命, 使复职, 重新约定
roomettes|(roomette 的复数) n. 小房间
restoral|恢复, 归还, 复位, 复职, 赔偿, 修补, 重建, 修复物
rigatoni|[单复同]n.[食]波纹贝壳状通心粉
reinsman|驾车人
reprocess|[化] 后处理; 再处理
reactology|反应学
restuff|重新填塞
rarifies|使成精细；使变稀薄
roadblock|障碍, 障碍物
rander|[人名] 兰德
ritchey|[人名] 里奇
ruined|毁灭的, 没落的, 荒废的
rivulet|小河
robalo|[动] (=snook) 锯盖鱼科鱼(产于大西洋热带地区)
retinite|[矿] 树脂石
rubied|红玉色的, 深红的
rambling|漫步的, 布局零乱的, 散漫的
romansh|罗曼什方言的
reverted|恢复( revert的过去式和过去分词 ); 重提; 回到…上; <律>归还
redissolved|(redissolve 的过去分词) v.再溶解, 再驱散
regrowing|再生, 继续生长( regrow的现在分词 )
resublime|再升华
resumed|重新开始( resume的过去式和过去分词 ); 重新获得; 重新占用; 恢复
recomfort|再安慰, 鼓励
railmen|(railman 的复数) n. 铁路职工, 码头工人
recumbent|斜靠着的, 躺着的, 不活泼的, 休息着的
redfish|鲑鱼
reassimilate|再吸收；再融合
resumable|可恢复的, 能取回的, 能再开始的
rips|扯破, 撕坏( rip的第三人称单数 ); 撕成; 锯; 猛地扯开
rumbling|隆隆声, 辘辘声
rationing|定量配给
radiopaque|辐射不能显著穿透的
reassuming|再假定( reassume的现在分词 )
ramping|土堤斜坡( ramp的现在分词 ); 斜道; 斜路; （装车或上下飞机的）活动梯
rests|其他
recused|要求撤换( recuse的过去式和过去分词 )
rivulose|具河道形线纹的
rhomboid|长菱形
readmissions|(readmission 的复数) n. 重新接纳
rebarbarize|使重新变野蛮, 使回到野蛮时代
riskful|危险万分的
rubying|红宝石；红宝石色
rowelled|(马剌上的)小齿轮；【兽医学】(给牲畜排脓用的)排脓条
rheophore|[医] 电极
rheometric|电流计的
razzing|冷笑, 嘲弄( razz的现在分词 )
redeploying|重新部署, 调遣（士兵）, 调配（工人、设备）( redeploy的现在分词 )
reparability|可修复性
refertilize|再施肥
ratifying|批准, 签认（合约等）( ratify的现在分词 )
ragbag|装碎布的袋
reenforcing|增援, 增强( reenforce的现在分词 ); 再实施
raps|（轻快的）敲击（声）( rap的名词复数 ); 说唱音乐; 说唱歌; 速度快的谈话
rectitis|直肠炎
reviviscence|复生, 复活, 恢复精神
retentivity|保持力, 记忆力, 顽磁性
rendrock|爆破炸药
remodelled|改变…的结构[形状]( remodel的过去式和过去分词 )
resins|树脂, 松香( resin的复数形式 ); 合成树脂
retarder|阻滞物
resonated|产生回声、共鸣或共振( resonate的过去式和过去分词 )
reseal|[化] 再封; 再密封
rectal|直肠的
rattlebox|嘎嘎匣(玩具)
regressions|(regression 的复数) n. 退步, 回归
rawly|生疏地；不成熟地
republics|共和国( republic的复数形式 ); 共和政体; 成员具有平等权利的)团体; 界
regulars|正规军人( regular的复数形式 ); 主力（或正式）队员; 常客; 僧侣
rallying|恢复( rally的现在分词 ); 价格回升; 集合起来; 嘲笑
remorsefully|极为懊悔地
restudies|(restudy 的复数) n. 再行检讨, 重新研究
riels|(riel 的复数) n. 瑞尔(柬埔寨货币单位)
relapser|relapse的变形
raftman|[网络] 筏子
reflexed|下弯的, 反折的
roughhewn|粗削的, 粗制的, 粗野的
retinues|一批随员( retinue的复数形式 )
rectoscopy|[医] 直肠镜检查
rendezvouses|约会, 会合( rendezvous的第三人称单数 )
retell|再讲, 重复, 重说
rowena|罗威娜(f.)
repurchasing|重新买( repurchase的现在分词 )
raman|拉曼（姓氏）；拉曼（印度物理学家）
racquetball|[体]短网拍墙球,手球式墙球(比赛规则和场地都与有四面墙场地的墙手球相同,但击球用以皮带拴腕的短柄球拍,球较墙手球略大而软)
replacers|(replacer 的复数) [法] 代替者, 代用品
rotgut|劣质威士忌酒
roadside|路旁, 路边
rodeos|骑术表演, 放牧人竞技会( rodeo的复数形式 )
reals|实在, 现实（real的复数形式）
roseal|玫瑰色的
runners|滑行装置；页边行数；奔跑者；走私船（runner的复数形式）
romances|浪漫史( romance的名词复数 ); 爱情小说; 恋爱; 传奇色彩
repressions|压抑( repression的复数形式 ); 约束; 抑制; 镇压
referendums|（就某政治问题的）公民投票( referendum的复数形式 )
returf|再铺绿草
ringbone|[兽医]跗骨赘(一种马的病症), 环骨瘤
reassumed|(reassume 的过去分词) vt. 再采取, 再接受, 再假定
rejecter|拒绝者, 抛弃者, 否决者
ramdohrite|辉锑银铅矿
rester|雷斯特（人名）
rheological|流变学的；液流学的
rowdily|吵吵闹闹地
reloaned|再贷款, 再借( reloan的过去式和过去分词 )
requicken|重新振作
relatable|有关系的(relate的形容词形式)
rifleshot|步枪射手
restartable|可重新开始的,可重新起动的
redye|重染
rabbi|拉比(犹太教圣职人员), 大师(对犹太学者的尊称)
revolvers|左轮手枪( revolver的复数形式 )
recursively|[计] 递归地
resurface|重铺路面
rosettes|玫瑰形标志( rosette的复数形式 ); 石制品等上雕刻的玫瑰形花样
rotan|[地名] [美国] 罗坦
reverting|恢复( revert的现在分词 ); 重提; 回到…上; <律>归还
rile|搅浑, 惹怒, 使焦急
remiss|怠慢的, 不小心的, 没精打采的, 疏忽的
ruffe|[鱼]梅花鲈
rightfully|正当地；正直地
redeems|补偿( redeem的第三人称单数 ); 实践; 解救; 使…免受责难
reconciles|使和好( reconcile的第三人称单数 ); 和解; 使一致; 使和谐
rejoinders|回答, 反驳, 答辩( rejoinder的复数形式 )
reynold|雷诺（男子名）
rubberised|rubberise的变形
redressal|调整, 修正
rosaceae|[医] 蔷薇科
revolute|外卷的, 后旋的
rhodanate|[化] 硫氰酸盐; 硫氰酸酯
ringbolt|带环螺栓
rimpling|, vi. rimple的变形
reuben|鲁宾（男子名）；流便（圣经人物）
resettled|帮助（尤指难民）定居他国( resettle的过去式和过去分词 ); 使（土地、地区等）重新成为定居点
ronquil|海水鲈类鱼
repaste|再涂
ribboner|打麻机, 碎茎打麻机
reperusal|再读, 重新细读
redemptive|赎回的, 救世的, 赎身的
raffle|抽彩售货, 废物
radiability|射线透过性
reared|饲养( rear的过去式和过去分词 ); 养育; 抚养; 抬起
rachis|脊椎, 脊柱, 花序轴
retrorse|反弯的, 反向的, 向下弯的
remises|(remise 的复数) n. 再刺, 重刺
reductase|还原酶
ringlike|似环的, 环状的; 环形
ripcords|开伞索( ripcord的复数形式 )
raggle|(尤指屋檐下的)(石)水槽
rickstand|堆料架
resurgences|(resurgence 的复数) n. 再起, 复活, 再现
reticulum|网状质, 网状组织, 蜂巢胃
refetch|[计] 重取
rupial|[医] 蛎壳疮的
retinol|[医] 维生素A醇, 维生素A1, 瑞叮醇, 松香油
revellers|摆设酒宴者, 饮酒狂欢者( reveller的复数形式 )
rices|稻( rice的名词复数 ); 稻米, 大米
raininess|多雨
revamped|将（某物）更新( revamp的过去式和过去分词 ); 翻新; 改变; 修改
risibly|可笑的; 引人发笑的
riboflavin|核黄素
rightism|右派纲领, 右派观点, 右派言论
remarked|谈论, 评论( remark的过去式和过去分词 ); 注意到…
rapacity|抢夺, 贪欲, 贪婪
restring|为...重新装弦
roridula|[网络] 捕虫幌属；捕虫树；捕虫树属
regrouped|（使）重新组合, （使）重新编组( regroup的过去式和过去分词 )
roves|流浪( rove的第三人称单数 ); 漂泊; 徘徊; （指眼睛）环顾
recordist|录音师
reoriented|使适应, 再教育( reorient的过去式和过去分词 )
renate|(Renate)人名；(罗)雷纳特
resistors|电阻; 电阻器( resistor的复数形式 )
rakehell|浪子, 放荡者
revaluating|重新估价；重新评价；使升值
roundness|圆, 圆形, 球形
racialists|种族主义者
rugae|[医] 皱褶
recourse|求援, 求助, 追索权
regretless|无悔的, 不后悔的, 没有遗憾的
retrofitting|改装
restiform|[解]绳状的,索状的
rubricity|红色, 变红, 遵守教仪
reoccurs|(reoccur 的第三人称 -s形式) vi. 重新发生, 重新出现
repr|[医][=represent]代表，表示
rhizoplast|根丝体
rigolet|[地名] [加拿大] 里戈莱特
recusal|[律]宣布不合格,取消资格
rills|(rill 的复数) n. 小河, 细流, 小溪
reometer|电流表
razzle|混乱, 喧闹, 旋转木马
reproved|<正>责骂, 指摘, 非难( reprove的过去式和过去分词 )
releve|[医]群落汇总表
racemate|[化]外消旋酸盐(或酯), 外消旋酒石酸盐(或酯),外消旋物
reverential|虔诚的, 表示尊敬的, 充满崇敬心的
rinforzando|突然增强的, 特别加重的
roomiest|宽敞的, 宽大的( roomy的最高级 )
regularities|规则性( regularity的复数形式 ); 正规; 有规律的事物; 端正
retributive|报应的
rufosity|赤褐色
rouses|醒来, 唤醒( rouse的第三人称单数 ); 使…活跃起来[产生兴趣]
reds|[俚]红胶丸（安眠药的俚称）；红色的物品（red的复数）
reverser|反向器, 换向器；换向开关；倒转机构换向开关
regularized|使有规则( regularize的过去式和过去分词 ); 使有秩序; 调整; 使系统化
ruggedly|险峻地; 粗暴地; （面容）多皱纹地; 粗线条地
rupert|鲁珀特（男子名）
rerouting|[计] 重新选择路径, 重新选择布线
routings|(routing 的复数) [计] 路由选择; 布线
raincoats|雨衣( raincoat的复数形式 )
radarman|雷达员
ropp|[计] 电传打字接收机
ribs|肋骨；排骨（rib的复数）
rafale|[军] (“阵风”) 21世纪法国海空军的主力战斗机
repaying|偿还( repay的现在分词 ); 付还; 报答; 酬报
reallocate|[经] 重新分派
rockbird|岩鸟(指于岩壁间孵卵的海鸟,如北极海鹦等)
ruffianlike|像无赖的, 像恶汉的
resoundingly|鸣响地; 回响地; 令人瞩目地; 轰动地
rebutting|反驳, 驳回( rebut的现在分词 ); 击退
reassures|消除恐惧或疑虑, 恢复信心( reassure的第三人称单数 )
reconnoiter|侦察, 勘查
rorschach|罗夏（墨迹）测验的（叫人解释墨水点绘的图形以判断其性格）
reeled|把东西用卷轴卷起来, 从卷轴上放出来( reel的过去式和过去分词 ); 感到震惊; 发昏; 似乎在不停旋转
rotula|轮
radices|[医] 根
redoubt|多面堡, 防御阵地
rooseveltian|[网络] 罗斯福
rotating|[医] 旋转的, 转动的
realness|真诚；真实性
rascals|流氓( rascal的复数形式 ); 无赖; （开玩笑说法）淘气的人（尤指小孩）; 恶作剧的人
restbalk|不耕种的垄
rever|作梦（歌名）
rudy|鲁迪（男子名, Rudolf的昵称）
resoling|给（鞋, 靴等）换鞋底( resole的现在分词 )
rincon|河流弯曲区
restamp|再[重新]盖印, 另贴邮票
reciprocates|报答, 酬答( reciprocate的名词复数 ); （机器的部件）直线往复运动
reorientate|使重定向
regularness|规则
roberta|罗伯塔（女子名）
ripstop|(尼龙织品)防破裂的
regales|(regale 的第三人称 -s形式) vt. 款待, 使快乐
rednecks|乡下人, 农人( redneck的复数形式 )
refits|（尤指船）整修, 重新装置, 给…整修( refit的名词复数 )
rheumatismal|[医] 风湿病的
reelable|可卷的, 可绕的
reliquary|圣骨匣, 遗骨匣, 圣物箱
rehearsing|排练, 排演( rehearse的现在分词 ); 详述
receptacular|[医] 收容的, 接受的
retorter|反驳, 顶嘴；曲颈瓶 (retort的变形)
reflow|流回；再涨
remarriage|再婚
ramentaceous|被鳞秕的
rushee|(用开舞会等方式)准备被拉进大学生联谊会的对象
rotates|（使某物）旋转[转动]( rotate的第三人称单数 ); （使某人或某物）轮流[按顺序循环]
rummier|甜酒的, 奇妙的, 危险的( rummy的比较级 )
reverends|(reverend 的复数) n. 教士, 大人(对教士的尊称)
regrouping|（使）重新组合, （使）重新编组( regroup的现在分词 )
rosebuds|蔷薇花蕾, 妙龄少女, <美>初入社交界的少女( rosebud的复数形式 )
reoil|[化] 再上油
reimburse|付还, 偿还, 赔偿
richens|(richen 的复数) vt. 使富
rawest|(raw 的最高级) n. 擦伤处, 半成品
resultative|表示结果的
rimfire|(子弹)边缘发火的,(火器)发射边缘发火弹的
rumanians|(Rumanian 的复数) n.罗马尼亚人, 罗马尼亚文
reactiveness|反应性
requited|报答( requite的过去式和过去分词 ); 酬谢; 回报; 报复
rondo|-dos 回旋曲
revocable|可废止的, 可取消的
rabbler|刮刀, 搅拌器
revel|作乐, 狂欢
rachiometer|[医] 脊柱弯度计
rifampicin|[药]利福平(抗结核药)
rumbo|(Rumbo)人名；(意)伦博
recessionary|(经济)衰退的, 衰退期的
reboarded|(reboard 的过去时)  回舱
rectilineal|直线的, (哥特式建筑)以垂直线条为特征的
reticulose|网状的
rooflet|小屋顶
renditions|演唱, 表演( rendition的复数形式 )
remotest|遥远的（remote的最高级）
reinsures|再保险, 分保( reinsure的第三人称单数 )
repiningly|repine的变形
rabbiteye|[植](美国东南部产的)越橘,兔眼乌饭树
rioted|暴动, 闹事( riot的过去式和过去分词 )
reparable|可修缮的, 可赔偿的, 可补偿的
rooting|[计] 求根
remarrying|再婚( remarry的现在分词 ); 与某人复婚
reveled|狂欢；陶醉
retroverted|子宫后倾的
redistribute|重新分配, 再分发
ridgel|[医] 单睾丸动物
redowa|雷多瓦舞（一种19世纪流行的快三步波希米亚舞）, 雷多瓦舞曲
rockets|休斯敦火箭队（篮球队名）
recaption|取回, 领回
rasters|(raster 的复数) n. 光栅
repossessor|repossess的变形
romanian|罗马尼亚人, 罗马尼亚语
reproducible|可再生的, 可复写的, 能繁殖的
roseola|风疹, 蔷薇疹
resinating|用树脂处理, 将树脂渗入( resinate的现在分词 )
relicted|[古语]未亡人的；(尤指)寡妇的；【生物学】孑遗的
rectiserial|[医]直行的
reprover|reprove的变形
righto|int. 好, 对
raving|胡说的, 疯狂的, 狂暴的
reassurances|消除恐惧或疑虑( reassurance的复数形式 ); 恢复信心; 使人消除恐惧或疑虑的事物; 使人恢复信心的事物
rockless|无岩石的
rerailer|复轨器
retrofits|式样翻新, 花样翻新( retrofit的名词复数 )
reinstalled|使重新正式就职, 重新设置( reinstall的过去式和过去分词 )
resupinated|向后倾斜的；仰卧的；【植物学】(叶、花等)倒垂的；倒置的；倒生的(如兰花等)
rayah|非穆斯林臣民
resurveys|(resurvey 的复数) n.再测量, 再勘查
repp|一种条花织品
reincarnates|赋予新形体, 使转世化身( reincarnate的第三人称单数 )
rhizotaxis|[医]根序
rosiny|多松脂的, 像松脂的
retrieves|取回( retrieve的第三人称单数 ); 恢复; 寻回; 检索（储存的信息）
reinstall|使从新正式就职；重新设置, 重新安装
repaid|repay的过去式和过去分词
refutable|可驳倒的
revanche|报复, 复仇
reassurance|安心, 放心, 再保证
repopulating|(repopulate 的现在分词) vt. 使人重新住入
rigescence|僵化, 刻板, 生硬
readjusts|再整理, 再调整( readjust的第三人称单数 )
restraining|抑制的；遏制的；控制的
reemit|重发射
reagin|[生]反应素,梅毒反应素,变应性反应素
rollock|int. [～s]<俚>胡扯!
rebury|再埋葬, 重新埋葬
rashing|煤层底板的软碳质页岩
rumpus|喧闹, 吵闹
rutaecarpine|[医] 吴茱萸硷
rhizodermis|根被皮
roomfuls|满房间, 全房间的人( roomful的名词复数 )
rescissory|废除的, 撤销的
refrigerates|冷藏( refrigerate的第三人称单数 ); 冷冻
rhagades|[医] 皲裂
rhymer|作诗者, 打油诗人
ridgeway|山脊路
religionary|宗教的,涉及宗教的
reservative|储藏的
rattling|格格作响的, 轻快的, 很好的
remontoir|发条；上弦机构
restr|restaurant 餐馆
ratteen|=ratiné[变体]
rerouted|变更旅程( reroute的过去式和过去分词 )
rete|[医] 网
rapports|(rapport 的复数) n. 关系, 融洽, 一致
realignments|(realignment 的复数) n. 重新排列, 改组, 重新组合
rogersite|六水铁钒
retene|[化]惹烯,1-甲基-7-异丙基菲
reinstitute|重新建立,再设立,再制订,再开创
renwick|伦威克（美国地名）
redarguing|驳斥；反驳
recompense|报偿, 酬金, 赔偿
repolarize|再极化
recusation|[律] 反对
reconviction|再判决, 重新判决
restyle|改变…的风格(或格调),改变…的式样[款式]
regorging|倒流( regorge的现在分词 )
rallycross|汽车拉力赛
requitable|有回报的, 可报复的
risings|(rising 的复数) n. 上升, 造反, 叛乱
romanced|传奇；浪漫史；风流韵事；冒险故事
renipuncture|[医] 肾穿刺术
ruskin|罗斯金（姓氏）
risen|升起的, 复活的
restriking|矫形锻压; 再闪击; 整形锻压
retinoscope|视网膜镜
rabbeted|开槽口于( rabbet的过去式和过去分词 ); 嵌接; 榫接
repudiates|（正式地）否认( repudiate的第三人称单数 ); 拒绝接受; 拒绝与…往来; 拒不履行（法律义务）
retroinsular|[医] 岛后的
repand|[植] (叶缘)残波状的
ringatu|[网络] 格图
recollected|镇静的, 镇定的, 回忆到的
ramification|分枝, 分叉, 枝状物, 支脉, 支流, 衍生物
riparious|[医]河边的, 河岸的, 岸栖的, 河边生的
rearguard|后卫
rebreathe|再呼吸
romaji|<日>n.罗马字(指用以拼写日语的罗马字母,亦作romazi,Romazi)
reboarding|(reboard 的现在分词)  回舱
resister|抵抗者, 反抗者
ruddles|用红土做记号, 使发红( ruddle的第三人称单数 )
refloats|使再浮起；打捞
rescript|敕令, 诏书, 抄书
reigns|君主的统治( reign的名词复数 ); 君主统治时期; 任期; 当政期
railed|责备（rail的过去式与过去分词形式）
rimosely|rimose的变形
rhodinol|玫红醇, 左旋香茅醇
reiterating|反复地说, 重申( reiterate的现在分词 )
responsory|应答圣歌
retaker|retake的变形
refractive|折射的, 有折射力的
roebuck|雄狍
