computer|电脑
cruzeiro|克鲁塞罗(巴西货币单位)
capitalizes|用大写字母写或印刷( capitalize的名词复数 ); 将（某事物）转作资本、用作资本或资本化
crannying|(墙、岩石等上面的)裂缝；小孔
caretakers|看门人( caretaker的复数形式 )
colourless|无色的, 无血色的, 无趣味的, 无特色的, 不生动的, 单调的, 不偏不倚的
cusps|月角；尖点
chromatinic|[医] 染色质的
caulk|填...以防漏
carpholite|[矿]纤锰柱石
cedron|[植]策桩子
cureless|医不好的, 无法医治的, 无法矫正的
champacol|(=guaiol) 愈疮木醇, 黄兰醇
calipee|黄色胶质物
cedrol|雪松醇, 雪松脑
counterguard|垒障
cactoid|仙人掌状的
cruse|壶
cephalostyle|[医] 脊索颅端
catty|恶毒的, 如猫的
closetful|一整柜的
cunningly|巧妙地, 狡猾地
comboloio|(尤指伊斯兰教徒的)一串念珠
citole|(=cittern)西特琴(一种类似吉他的古乐器)
coniform|圆锥形的
cotylopubic|[医] 髋臼耻骨的
celestially|神地, 神圣地
convulse|使震动, 使震撼, 使抽搐
chamaephyte|[植]地上芽植物
cashbook|现金帐簿
cyanochroia|发绀, 青紫
concluder|conclude的变形
cobbers|(cobber 的第三人称 -s形式) n. 朋友, 伙伴
crosshauling|横向滚装; 横向装材
conjugations|(conjugation 的复数) n. 结合, 配合, 动词的词形变化
crossroads|十字路口, 交叉路口, 聚会的中心地点, (喻)需作抉择的重要关头, 紧要关头
codeword|[医]暗号用语
cornea|角膜
coroscopy|[医] 瞳孔检影法
corncake|<美>玉米饼
calyptrogen|根冠细胞层
coacervation|凝聚
counseled|劝告, 建议（counsel的过去式与过去分词形式）
chink|裂口, 裂缝, 弱点, 叮当声
corduroys|灯芯绒裤子
calced|(=calceate)穿鞋的, 有蹄铁的
cicisbeism|意大利在十八世纪有夫之妇与人私通之风气
cwm|山侧凹地
crossbar|闩, 横木, 球门的横木
calathus|古希腊水果篮(图案)(象征丰产)
camphoid|[医] 樟脑火棉浆(火棉胶的代用品)
carrefour|十字路口, 广场
crosshatches|用交叉排线画出阴影的( crosshatched的现在分词 )
concubitus|[医] 交合, 交媾
catalpas|(catalpa 的复数) n. 梓(树)
copyfitting|版面调整
crambe|[植]海甘蓝
cothurnate|[医]为菌托或外菌幕所复盖的, 具鞘的
carbonuria|[医] 碳酸尿[症]
connotations|含义( connotation的复数形式 ); 隐含意义; 言外之意; 内含
chewers|(chewer 的复数) n. 反刍动物；咀嚼口香糖的人
credibility|可信用, 确实性, 可靠
cynipidae|瘿蜂科
caviare|鱼子酱
cognate|同族的, 同语系的, 同词源的, 母族的, 同性质的, 同类的, 同种的
caulocarpous|每年均在同一茎上结果的
conveyorize|在...装设转运带
conferred|<拉>商谈, 商议( confer的过去式和过去分词 ); 授予, 赋予
cursively|草体
cantonize|把…划成区
cajuput|[植]白千层
cheung|张（香港拼音）
choralist|赞美诗歌唱者
chebacco|[美]近岸小渔船
chalaza|卵黄系带
cudgelling|短而粗的棍棒
conveys|运输( convey的第三人称单数 ); 运送; 输送; 表达
crownless|未加冕的
cicadidae|蝉科
chirks|有精神, （使）高兴( chirk的第三人称单数 )
carnifex|刽子手
cairns|凯恩斯（澳大利亚港口）
cheekily|厚脸皮地
countersunk|[化] 埋头孔
cheerily|高兴地, 爽快地, 活泼地
catechizer|catechize的变形
chorditis|声带炎
citizenhood|公民身分, 国籍, 公民权, 市民身分
cliffhanger|惊险故事, 惊心动魄的比赛
commensally|共生地
cashoo|[化]儿茶
colposcopy|[医] 阴道窥器检查
cleveite|[矿]钇铀矿
crs|计算机预订系统（Computer Reservation System）；国会研究处（Certified Release Signatory）；阻风门回位系统（Choke Return System）；儿童专用安全装置（Child Restraint System）；克罗地亚船舶登记局, 克罗地亚船级社；冷轧钢材（Cold Rolled Steel）
comfiest|舒服的, 轻松的( comfy的最高级 )
corbelling|支柱工程, 支柱结构
caravaned|乘拖车度假（caravan的过去式与过去分词形式）
clawing|& vi. 用爪抓（claw的现在分词形式）
coshed|以短棒攻击( cosh的过去式 )
coeternal|同样永久的, 永远共存的
circlet|小圈, 小的环, 环形饰物
castalia|(=Castaly)神泉, 诗之泉
capstan|绞盘, 卷扬机
clitoromania|慕男狂； (女性)性欲狂
courap|[医] 库腊普病(印度的一种皮肤病)
cation|阳离子
collectivity|集体性, 总体, 集体
creditable|可称誉的, 声誉好的, 可信的
cribbers|(cribber 的第三人称 -s形式) n. 剽窃者, 作弊者
clarinda|克拉琳达(f.)
compulsorily|强迫地, 强制地
cardcastle|势必倾倒的建筑，即将失败的计划
canari|communications and navigation airborne radio instrumentation 机载无线电通信与导航仪表
cultivars|(cultivar 的复数) n.栽培变种, 培育植物
clinohedrite|斜晶石
caecal|盲肠的
colation|[医] 漉过; 漉液
correcting|[计] 校正的
congruities|适合, 一致( congruity的名词复数 ); <数>全等
chamfering|倒角, 切角, 倒棱, 切面, 削角
carpi|腕
cotype|[植][动]全模(式)标本
cabbies|计程车司机, 出租马车的车夫; <口>出租马车车夫, 出租汽车司机( cabbie的复数形式 ); 出租汽车司机( cabby的复数形式 )
callback|收回
chalcedonian|Chalcedon的变形
candler|烛台
crosses|交叉( cross的第三人称单数 ); 穿过; 使交叉; 使杂交
collegial|学校的, 大学的, 大学生的, 社团的
corium|真皮
cyclometry|测圆法
carlovingian|加洛林王朝(法兰克王国的第二个王朝)的
clamouring|喧哗, 吵闹( clamour的现在分词 ); 大声地要求或抗议
cubane|[化]立方烷
causse|[常作～s][地]喀斯(法国南部石灰岩高原)
curtana|无尖剑
cusparine|[化] 枯杷碱; 西花椒碱
cathartics|泻药
casquetel|轻型敞开头盔
cerement|蜡布, 寿衣
commiserated|怜悯, 同情( commiserate的过去式和过去分词 )
coffees|咖啡豆( coffee的复数形式 ); 咖啡粉; （一杯）咖啡
cineraceous|[医] 灰色的
carrotin|[医] 胡萝卜素
chappal|(常用皮革制成的)印度凉鞋(或便鞋)
climbable|爬得上去的
crossability|(异种的)可交配性
chrysophan|[医] 大黄酚甙
cirrocumulus|卷积云
cowlings|(cowling 的复数) n. 飞机整流罩, 外壳
colog|余对数
chilblained|生冻疮的
chid|chide的过去式和过去分词
circumlental|[医] 晶状体周的
creepy|爬行的, 令人毛骨悚然的
coronadite|铅硬锰矿
cutlet|肉片, 炸肉片, 炸肉排
casquette|(有遮阳的)盔式无边帽
cisted|cist的变形
chalkiness|白垩, 白垩质, 白色
caci|cancer index 癌指数; computer-assisted continuous infusion 计算机辅助连续输液
coerces|迫使做( coerce的第三人称单数 ); 强迫; （以武力、惩罚、威胁等手段）控制; 支配
concierges|看门人, 门房( concierge的复数形式 )
catcalls|嘘声；不满之声；喝倒采
cooled|冷却的
cymbiform|船形的, 舟状的
colleterium|[医]粘腺
calypsos|卡里普索（特立尼达岛上土人即兴演唱的歌曲）( calypso的复数形式 )
cathartidae|美洲鹫科；[鸟] 新域鹫科
cheiranthus|[网络] 桂竹香属；桂竹香；七里香
cordwain|科尔多瓦革
centaury|埃蕾
capouch|(capuche的变体)罩头
cubiculum|(地下墓窟的)停柩室, 殡葬室
cellarway|通往地窖的路
comparator|比较仪
counterpunch|反击,回击,(拳击的)迎击
coagel|[化]凝聚胶
cephalodium|地衣瘿
colopexia|[医] 结肠固定术
cohesively|黏合地；聚合在一起地；团结地
chape|剑鞘顶部的金属包头, (英)皮带上的活动圈
cycloramic|圆形幻画的
clinoid|[解]鞍突状的
cellaret|餐厅内放置瓶酒的橱
complotment|共谋；阴谋 (complot的变形)
canc|cancel 取消; cancellation 取消; cancelling 取消; canceled 已取消
corporals|人体的( corporal的复数形式 )
cabrioles|(cabriole 的复数) n. 家具的弯脚, 卡勃里奥尔(巴蕾舞基本动作)
calin|(Calin)人名；(瑞典)卡林
closuring|使结束, 使终止（closure的现在分词形式）
charactered|刻, 印（character的过去式与过去分词形式）
creeds|（尤指宗教）信条, 教条( creed的复数形式 )
congestions|(congestion 的复数) n. 拥挤, 充血
chapbooks|(chapbook 的复数) n. 小本故事书, 宗教小册子
chromidial|[医] 核外染色粒的
conant|科南特（姓氏）
caraco|女短上衣
cont|内容（contents）；连续的（continued）
congeneric|同属的, 同种的, 同类的
catnap|瞌睡, 假寐
choletherapy|[医] 胆汁疗法
creen|屏风
carefree|无忧无虑的, 不负责的
carburetter|[化] 汽化器; 化油器
chamois|(产于欧洲和高加索地区的山羊般的)小羚羊, 羚羊皮, 麂皮, 油鞣革
calpack|大羊皮帽, 大毡帽
costumers|服饰供应商( costumer的名词复数 )
chemoreflex|化学反射
carageen|(carrageen之变体)[植]角叉菜
clumping|[计] 聚丛
commers|(commer 的复数) n. 康门（卡车品牌）
canopying|用华盖遮蔽（canopy的现在分词形式）
cantilena|坎蒂列那(指旋律优美的抒情曲)
cresolin|克里索林(成药, 一种含甲酚的消毒剂)
chironym|手稿名
creeks|<英>小湾( creek的名词复数 ); 小港; <美>小河; 小溪
cranioclasis|[医] 碎颅术
cochlea|蜗
cytode|[生]无核(原始)细胞
catholicize|(使)成为天主教徒, (使)一般化
convulses|使抽搐, 使剧烈震动( convulse的第三人称单数 )
clappers|拍板
combative|好斗的, 好事的
charadrius|[网络] 鸻属；鴴属；铁嘴沙鸻
cahoots|与...共谋
condolence|哀悼, 吊唁
cytogenic|[医] 细胞发生的
costlessly|cost的变形
classiest|时髦的, 优等的( classy的最高级 )
cush|钱
carpoidea|海果纲
cataclysm|大洪水, 地震, (社会政治的)大变动
cals|电脑辅助后勤支援系统（Computer-aided Acquisition and Logistic Support）；光速商务（Commerce At Light Speed）
cardianeuria|心力不足
cachectic|恶病的, 极瘦弱的
conductive|传导性的, 有传导力的, 传导的
coenoblast|[医] 共通胚膜, 原始胚膜
claimable|可要求的
cacography|拼写错误, 书法不佳
colicroot|[植]腹痛根, 各种可用以治腹痛植物
collapses|使倒塌；使瓦解
coagulated|凝固( coagulate的过去式和过去分词 ); 使结块, 使变稠
cuspis|[医] 尖
cystostomy|[医]膀胱造口术
contextural|contexture（组织）的变形
crosstie|枕木
crankcase|曲轴箱
carination|[医] 嵴状, 船骨状
carcinoma|癌
chernozemic|chernozem的变形
crackle|劈啪响, 裂纹
chromaffin|嗜铬的, 亲铬的
calendering|[化] 压延; 轧光
chandu|[医] 禅杜(鸦片制品)
coyed|假装害羞的( coy的名词复数 ); 忸怩作态的; 故作谦虚的; 不肯明说的
craspedote|[医]缘膜
cripples|伤残人( cripple的名词复数 ); 残疾人; 跛子; 瘸子
cornua|[医] 角
chatellany|城主的阶级, 职位或辖区
cannier|精明的, 狡猾的( canny的比较级 )
coils|卷；线圈（coil的复数）
clatteringly|咔嗒咔嗒地, 咭咭呱呱地
chewiest|（食物）耐嚼的, 不易嚼碎的( chewy的最高级 )
candys|宽袖长袍
carpellate|具有心皮的
cordiality|热诚, 真挚
curvey|[网络] 丰满
cremationist|火葬论者, 主张火葬的人
coparallel|上平行
corrodible|可腐蚀的, 可侵蚀的
ceriph|细体字
cecity|盲目, 瞎
cicatrose|愈合
cacuminal|翘舌音的
centralizing|使处于中央的控制之下, 把…集中于中央( centralize的现在分词 )
chou|周；甘蓝；心爱的人
cygnets|幼天鹅( cygnet的复数形式 )
chlamys|短氅(古希腊男人用)
coenogamete|多核配子
colliery|煤矿
coluber|[医]游蛇属
commencer|开始
chanceful|多变的, 多事的
caporal|伍长烟草, 牧场监工
churr|唧唧叫
collimates|校准( collimate的第三人称单数 )
citromyces|[医] 枸橼酸霉菌属
crumples|压皱, 弄皱( crumple的第三人称单数 ); 变皱
chilidium|唇瓣, 背三角板
costermonger|水果,鱼叫卖小贩
candying|用糖煮；使结晶为砂糖；美化
carrageen|[建] 角叉菜, 鹿角菜
characeae|轮藻科
compatriotic|同国人的, 同胞的
carposporous|carpospore的变形
chronotropic|[医] 变时[性]的
cumbersomely|不方便地; 笨重地
cameramen|摄影师, 摄影者；摄影记者（cameraman的复数）
copulations|(copulation 的复数) n. 连结, 交配, 交尾
collationer|校对, 核对；整理；(对书卷号码、编页等的)核实, 配页
carbamine|(=carbylamine)胩, 异腈
checkroom|衣帽寄放处
copalite|黄脂石
cultism|崇拜, 迷信, 热衷搞迷信崇拜的倾向
cystoscope|膀胱镜
curdiness|curdy的变形
carole|卡罗尔（女子名）
cavils|挑剔, 吹毛求疵( cavil的第三人称单数 )
clumsiness|笨拙, 粗陋, 不漂亮
chalone|[生化]抑素
cosponsor|共同赞助者
ceratopsidae|[网络] 角龙科；角龙类；角龙科前所未知但与角龙
copyrighter|[法] 著作权所有人
consular|领事的
chthonic|地府鬼神的, 地府的
colligated|捆绑, 束, 综合( colligate的过去式和过去分词 )
consultee|被商量者, 顾问
chills|寒冷；冷漠；寒栗（chill的复数）
climactic|顶点的, 高潮的
chicanery|强词夺理, 狡辩, 欺骗
chlorides|氯化物( chloride的复数形式 )
colima|科利马
cochleare|[化] 匙
cauda|尾, 尾状物
compressedly|compressed的变形
clit|阴核, 阴蒂
cestodes|(cestode 的复数) n. 绦虫
cellulotoxic|细胞毒的
crossbowman|弩手
cumarin|[化]香豆素, 零陵香素
concordant|和谐的, 相调和的, 一致的
colorer|着色者；染色机
conical|圆锥形的, 圆锥的
confuted|驳斥, 驳倒( confute的过去式和过去分词 )
chytridium|[医] 壶菌属
concrement|[医] 凝结物, 凝结体, 结石
ciliograde|[医] 用纤毛前进的
canalled|开成运河的
coveralled|[常用复数]；(衣裤相连的)工作服
cumulation|累积, 堆积, 蓄积
cuttage|插木繁殖法
cloudberries|野生的黄莓( cloudberry的名词复数 )
cohabiting|（未婚者）同居( cohabit的现在分词 )
captaincy|舰长的职位, 大将的才略, 舰长的衔头
charlock|田芥菜
columbaries|鸽棚
coenobitical|coenobite的变形
calvinists|(Calvinist 的复数) n. 加尔文教徒
chivy|打猎叫喊, 追逐
cupper|用杯吸法者, 用吸器放血者
cobbly|不平的, 用鹅卵石铺的
committable|可以拘禁的, 可能犯的, 可以判处的
cartilages|<解>软骨( cartilage的复数形式 ); 软骨结构
condemned|已被定罪的, 定了罪的人用的
competed|竞赛( compete的过去式和过去分词 ); 竞争; 比得上; 参加比赛（或竞赛）
catfall|吊锚索
capsulizing|节略, 摘要, 把…装于胶囊内( capsulize的现在分词 )
canterburian|Canterbury的变形
crescendi|（声音）渐强( crescendo的复数形式 )
checkmate|击破, 彻底失败
chromism|着色异常
chums|与某人成为好朋友, 结交( chum的复数形式 )
carbostyril|[化] 喹诺酮; 2-羟基喹啉
coadjuvant|协作的
canonship|牧师或僧侣的职位
craker|[人名] 克雷克
crucially|至关重要地, 关键地
covenantee|[律]订约人
clade|[生]进化枝,分化枝
cader|(Cader)人名；(斯里、法)卡德尔
coniology|空气中的灰尘, 微尘学
cluttered|杂物, 零乱的东西<X>零乱<DDX>vt.( clutter的过去式和过去分词 ); 乱糟糟地堆满, 把…弄得很乱; （以…） 塞满…
corollet|小花（用于菊科）
cords|灯芯绒裤子
corky|软木的, 活泼的
cableway|索道
chiack|讥笑,戏弄
chivvy|(使)烦扰, 耍花招
clinometer|测角器, 倾斜仪
cherublike|cherub的变形
crit|（核反应堆）保持一种自身支持的链式反应；暴击；评判
cinnamonic|肉桂的, 取自肉桂的
cataclastic|碎裂的
critter|[方][谑]家畜；马；牛；[贬]人
chukker|马球戏的一回(一场8回)
castellany|城主之阶级(职位, 辖区)
commonalty|平民, 大众, 民众团体
clinium|[医]总花托（用于菊科）, 利多氟嗪
caseates|干酪化, 发生干酪样变；干酪性坏死
catchplate|[机] 传动板[车床]
countrified|土气的, 粗俗的,思想简单的,质朴的.带有乡村风味的
cygnet|小天鹅
capitate|头状的
carcassing|预埋管线工程
cadetcy|(=cadetship)军校学员的地位
catamount|猫科野兽
cambogia|[药]藤黄
cheecha|横斑蜥虎
crunk|“旷课乐”, 美国南部的说唱乐风
chiaroscuro|用明暗对照所作的素描, 明暗对照法
croydon|克里登（英国伦敦附近一地名）
chorioptes|[医] 皮螨属
curvier|弯曲的；曲线美的（等于curvaceous） (curvy的变形)
cradock|[人名] [威尔士人姓氏] 克拉多克 Craddock的变体; [地名] [澳大利亚、南非共和国] 克拉多克
compliancy|依从, 顺从
crones|干瘪老丑婆( crone的复数形式 )
chorionic|[医] 绒[毛]膜的
ciliata|[医] 纤毛纲
cheilitis|[医]唇炎
complements|补足语；其余产品；互补品（complement的复数）
chartism|宪章运动, 宪章主义
coo|咕咕地叫
calices|calix的复数
coadjacent|互相连接的
chiron|[化] 手性子
cystis|[医] 囊; 囊肿
crutcher|[建] 搅和机
camisade|(=camisado)夜间奇袭
coplaintiff|[法] 共同起诉人, 共同原告
causticness|caustic的变形
coelomata|[医] 体腔动物门
caravanned|旅行队, 有篷顶的大车
causticizing|[建] 苛化
chitose|[药]壳糖, 2,5-缩水甘露糖
curing|[化] 熟化; 固化; 腌制; 熏制; 医治; 处理
canna|美人蕉属植物
cocontractor|[法] 共同承揽人, 共同承包商
curledness|curl的变形
compares|比较, 对照( compare的第三人称单数 ); 把…比做; 比喻; 比拟（常与 to连用）
corselets|(corselet 的复数) n. 盔甲, 胸衣
creels|筒子架（creel的复数）
cryptometer|(涂料)遮盖力计, 遮盖力测定仪
copernicans|(Copernican 的复数) a. 哥白尼学说的, 哥白尼系的
calosoma|[昆虫]臭广宥步䖬；广宥肯䖬
classicalism|古典主义, 模拟古典
collunaria|[医] 洗鼻剂
colies|鼠鸟；齿鹑
chalcography|铜版雕刻术
churchwomen|(churchwoman 的复数) n. 热心的女教会会员
chaetognath|毛颚类动物
complotted|共谋, 图谋( complot的过去式和过去分词 )
caeca|盲肠( caecum的名词复数 )
claviceps|麦角菌属
chalybeate|含铁盐的
cloves|[植物]丁香, 公丁香（clove的复数）
catlinite|烟斗泥
consignable|可委托的
choplogic|诡辩
childermas|儿童节(指12月28日)
crutches|拐杖( crutch的名词复数 ); 支持物; 精神上的寄托; 胯部
confining|受限的, 限制的；拘束的；狭窄的, 偏狭的
compellable|可强迫的
cephalodynia|[医] 头痛
cismontane|山脉的这边的
crined|头发；毛发的头
checkouts|检验, 校验( checkout的复数形式 )
colchicine|秋水仙碱
cording|起凸线的织品, 绳索
comforting|安慰的, 令人鼓舞的
copaline|[网络] 苹果酸
cupeller|cupel的变形
cysticolous|孢囊生的
chewed|咀嚼, 咬( chew的过去式和过去分词 ); （因为紧张等）咬住, 不停地啃, （为尝味道）不停地咀嚼
carbonari|<意>[复]n.烧炭党(19世纪意大利的革命组织,旨在统一意大利,建立共和国) , 烧炭党人
cocos|[医]椰子; [地名] [巴西] 科库斯
commemorates|纪念, 庆祝( commemorate的名词复数 )
cachexy|[医] 恶病质
coatee|紧身短上衣
cerusite|白铅矿
checklists|(checklist 的复数) n. 清单, (美)选举人名单, 名册, 目录册
chirotype|稿型
cutout|挖剪图画, 断流器, 保险开关, 剪切块
carya|山核桃
chrestomathy|诸家名文选集, 文摘
clucked|（母鸡）咯咯声( cluck的过去式和过去分词 ); <俚>傻瓜, 笨蛋
coppery|含铜的, 铜一样的, 铜制的
cavetto|[建]凹弧饰
chalkboards|(chalkboard 的复数) n. 黑板
cypriote|塞浦路斯的, 塞浦路斯语的, 塞浦路斯人的
chaws|嚼, 咀嚼( chaw的第三人称单数 )
crankshafts|机轴( crankshaft的复数形式 )
cochleae|耳蜗, 蜗
chaucer|乔叟（英国作家）
countenanced|支持, 赞同, 批准( countenance的过去式 )
cadaveric|[医] 尸体的
choleraic|霍乱的, 霍乱性的, 类似霍乱的
circling|[医] 羊利斯特氏菌病
catcher|捕手, 捕捉器
committeemen|(committeeman 的复数) n. 委员
ceruleous|[医]天蓝色的
cristispira|[医] 脊膜螺旋体属, 鸡冠波体属
calorist|热质论者
colluder|collude的变形
chaucerian|英国作家乔叟的, 有关乔叟著作的
chirimoya|[植]番荔枝(产于南美), 番荔枝之果
cheyenne|夏安族；夏安族人；夏安语
curtate|[计] 卡片部分
collapsable|(椅子)可折迭的, 可折叠的
colisepsis|大肠杆菌性脓毒病
chopsticks|筷子
chazan|独唱者
calefactive|暖的, 温的, 升温的
comings|（尤指新事物的）到来( coming的复数形式 )
counsels|忠告( counsel的名词复数 ); 劝告; 辩护律师; 商议
custos|保管人, 看守人
chemists|化学家( chemist的复数形式 ); 药剂师; 药商; 药房
criminative|定罪的, 责难的, 控告的
crackled|有裂痕的；有脆皮的, 表皮松脆的
corvus|乌鸦座
carbonaceous|碳的, 碳质的, 含碳的
coiffing|盖以头巾, 戴紧帽( coif的现在分词 )
conventicles|(conventicle 的复数) n. 集会, 非国教徒的秘密聚会
caseinate|[化]金属(如钙或钠)与酪蛋白的化合物,酪蛋白酸
carpal|腕的
cutch|[建] 儿茶
clinodome|斜轴坡面
chitters|聊天；啾啾而鸣；冷得发抖
crowfoot|毛茛, 玉柏
crewet|[网络] 调味品瓶架
cozes|[法国] 科兹
corotate|(与另一旋转体)同步旋转, 作同速旋转
comendite|[化] 钠闪碱流岩
concretes|混凝土( concrete的名词复数 ); 具体物; （图案式）有形诗; 图案诗体
capuchin|[Capuchin ](天主教的)圣方济会托钵僧
cantil|双线纹蝮蛇
codification|法典编纂
churada|[气]楚勒打暴雨
cheiromegaly|[医] 巨手
cherenkov|切伦科夫(即 Cerenkov,Pavel Alekseyevich)
confiding|深信不疑的, 易于相信别人的
corsac|鞑靼狐
coupling|联结, 结合, 耦合
caesardom|恺撒辖地, 恺撒之尊
coolibah|[植]澳洲胶树(尤指小药室桉)[澳洲土著语]
cystoptosis|[医] 膀胱下垂
cerasin|[化] 角铅矿; 野樱素; 角苷脂
calutron|卡留管
chanfron|(chamfron的变体)保护马头前部的盔甲
chapelgoer|非国教徒
clavariaceae|珊瑚菌科
counterword|泛义词
crassest|愚笨的, 粗鲁的, 全然不顾他人的( crass的最高级 )
cliches|陈腔滥调
calycanthine|[化] 腊梅碱
callant|青年, 少年们
chaka|查卡
cacogeusia|[医] 劣味, 恶味
camisard|十八世纪初反叛法王路易十四的法国新教徒
charactonym|说明某人特征的词/名称
cowers|畏缩, 抖缩( cower的第三人称单数 )
cupola|圆屋顶, 圆顶篷, 圆顶的塔
celibates|独身者( celibate的复数形式 )
cryotron|冷子管
chubbier|胖乎乎的, 圆胖的, 丰满的( chubby的比较级 )
canceler|消除器, 补偿设备
cockpits|（飞机, 小船或赛艇的）驾驶室( cockpit的复数形式 ); 斗鸡场
convicts|宣判有罪( convict的第三人称单数 )
cobnut|欧洲榛
cellulated|具有细胞结构的, 细胞状的
condylomata|湿疣( condyloma的名词复数 ); [医]（单condyloma）湿疣
clocking|[计] 定时
carpel|心皮
cysticercoid|拟囊尾幼虫
claudetite|[化] 白砷石
crucifying|把（某人）钉死在十字架上( crucify的现在分词 ); （尤指当众）折磨; 虐待; 迫害
craving|渴望, 热望
carriole|小单人马车, 小篷车, 狗拉的雪橇
cytolytic|细胞溶解的, 溶细胞的
ceaseless|不停的, 不断的
churned|搅拌（牛奶或乳脂）以制黄油( churn的过去式和过去分词 ); 搅动, 扰乱某物; （尤指液体）翻腾
chelidonic|[机] 白屈菜酸
cormorants|鸬鹚, 贪婪的人( cormorant的复数形式 )
courtling|小官员, 小朝臣
chromyl|[化]含六价铬的
clangour|发铿锵声, 发丁当声
cressida|克雷西达
cockeye|喝醉的, 扭曲的
cohosh|[医] 升麻类药草(指多种毛莨科植物)
collet|宝石座, 筒夹, 套爪
cablese|电报略语
californiana|[复] n.有关加利福尼亚(历史或文化)的文献
chapatti|薄煎饼
cresylene|[化] 甲代亚苯基
csmp|[计] 连续系统模型程序
catabolizing|（使）异化, （使）发生分解代谢( catabolize的现在分词 )
catalyzator|[化] 催化剂
cinchonise|<主英>=cinchonize
cenesthetic|[医] 普通感觉的
coarct|[医] 紧压
clementine|克莱门氏小柑橘(为柑橘与酸柑杂交的品种)
copacetic|极好的
chorea|舞蹈病
cantlet|小部分, 小段
condensers|冷凝器( condenser的复数形式 ); （尤指汽车发动机内的）电容器
counterfort|护墙, 扶壁, 山嘴
cynodont|尖牙, 犬齿
calden|[地名] [德国] 卡尔登
coombs|库姆斯（姓氏）
chronometer|天文钟, 航海用的精密时计, 精密的时钟
curved|弯曲的；弄弯的
crimped|起皱褶的, 有波纹的
chimes|敲出和谐的乐声( chime的第三人称单数 ); 报（时）; 插嘴; （以…）打断谈话
counselable|愿意接受劝告或忠告的
contestation|争论, 竞赛
chinse|捻缝, 填隙
cytochylema|细胞液
cholemia|胆血症
cetus|鲸鱼座
classicists|古典学者, 古典主义者( classicist的复数形式 )
cornuto|妻子与人私通的丈夫
constipate|使秘结, 使便秘, 使迟钝
coccic|球菌的
campier|装模作样的,不自然的 (比较级)
cunjah|(=cannabis)大麻, 印度大麻
caretake|照管, 看管
canonry|牧师会会员, 教士职位
closelipped|adj. 嘴紧的
cynics|愤世嫉俗者, 讽世者( cynic的复数形式); 玩世不恭的人; 犬儒主义者
calicoback|卷心菜斑色蝽
curragh|沼泽地, 用兽皮和柳条制成的小船
curtailer|curtail的变形
clashingly|clash的变形
cookroom|厨房
cardiorenal|[医] 心肾的
camped|露宿的
choosers|选择器；选举人；选择者；投票者
clofibrate|[医]降固醇酸,安妥明
cryptogam|隐花植物
courting|招致（court的现在分词形式）
cooperage|制桶工场, 制桶业, 制桶工钱, 桶
cytisine|野靛碱, 金雀花碱
cabana|小屋
cetaceous|鲸鱼的, 鲸目的
clacked|噼啪响( clack的过去式和过去分词 )
culicine|库蚊的
cytochemical|[生]细胞化学的
copa|(Copa)人名；(西)科帕
coronograph|日冕观测仪
countersea|逆浪, 逆行海流
cearin|西阿林(一种可用于软膏剂的地蜡混合物)
cresson|克雷森（人名）
crackly|容易破裂的, 清脆的
coworker|共同工作的人, 同事, 合作者
cudbear|一种苔藓, 紫色染料
corresponded|相符合( correspond的过去式和过去分词 ); 相一致; 相当; 通信
cuscus|有袋类的一种树上动物
chytrid|壶菌
cystadenoma|[医] 囊腺瘤
childly|孩子似的
crosiered|crosier的变形
constructer|建设者; 设计者; 营造商
chumming|（与某人）成为好友( chum的现在分词 )
censorious|爱批判的, 挑剔的
caducary|（财产）被充公或转归的
cutireaction|[医] 皮肤反应
crates|板条箱, 柳条箱( crate的名词复数 ); 装货箱; 一箱（之量）; 破旧的汽车[飞机]
counterearth|地球对应体
cellaring|[建] 窖藏, 下窖
caparisoning|覆以马衣, 使穿华服( caparison的现在分词 )
cinchona|金鸡纳树, 金鸡纳树皮
catface|畸形, 表面呈现的凹凸
culicide|(=culicicide)杀蚊剂
commoving|使激烈摇动( commove的现在分词 ); 使兴奋; 使骚动; 使动摇
concerting|音乐会；一致；和谐
channelled|有凹槽的, 有沟的
condensate|聚合物, 冷凝物, 冷凝液
chanteur|<法>歌唱者
cambered|（成）曲线的, 弧形的
conundrums|谜, 猜不透的难题, 难答的问题( conundrum的复数形式 )
cinerarias|(cineraria 的复数) n. 瓜叶菊
carpellary|心皮的
chromophile|[医] 嗜染细胞, 易染细胞, 嗜染的, 易染的
cookee|厨师的助手
circumcising|<医>割除…包皮（由于宗教或健康理由）( circumcise的现在分词 )
censing|焚香, 用香熏, （作为宗教仪式）燃香( cense的现在分词 )
cormac|科马克（人名）
cinerins|[化] 除虫菊酯类
cyanogen|氰
conformation|构造, 形态, 完整的配置
calking|[机] 填隙
copperware|[总称]铜器
clubhouses|俱乐部会所( clubhouse的复数形式 )
colostomies|(colostomy 的复数) n. 结肠开口术
caskets|首饰盒, 匣子, <美>棺材( casket的复数形式 )
carmel|卡梅尔(f.)
civilities|礼貌( civility的名词复数 ); 客气; 礼仪; 客套
countered|反击, 还击（counter的过去式与过去分词形式）
conferrable|能授与的
commandoes|突击队, 突击队员( commando的名词复数 )
crinite|有毛发的, 有发状尾的, 有长软毛的
coccidium|[动]双孢子球虫,二联等孢子球虫( 属球虫亚纲的原生动物)
cumberland|坎伯兰郡（英格兰一郡名）
