good|好的
germanite|[化]亚锗酸盐,锗石
glycosuric|[医]糖尿的, 糖尿病的
galactemia|[医] 乳血症
gregor|格雷戈尔（德语姓名）
gamed|打赌, 赌输赢（game的过去式与过去分词形式）
gecko|壁虎
gaullism|戴高乐主义
gratings|格栅, 栅栏, 格子( grating的复数形式 )
galleons|大型帆船( galleon的复数形式 )
gigasecond|十亿秒
goth|哥特人, 野蛮人, 粗野的人
glim|灯火, 蜡烛, 灯笼, 些许
guessingly|凭猜测
gigawatts|(gigawatt 的第三人称 -s形式) [电] 十万万瓦
grig|蟋蟀, 小鳗, 快活的人
glumness|忧郁
geneticism|【心理学】遗传主义(认为人的个性、性格与民族历史等都由遗传因素所决定)
geriatrics|老年人, 老年病人
gradine|阶梯的一级, 阶梯痤位的一排
gabions|(gabion 的复数) 篾筐,金属筐
glossectomy|[医]舌截除术
ghastliness|死人般的, 恐怖的, 糟透的
grinner|露齿而笑的人, 龇牙咧嘴的人
gelatin|明胶, 凝胶体, 动物胶, 果子冻, 彩色透明滤光板
gearbox|变速箱
glossata|有喙亚目
graphemic|书写单位的, 字素的
gaussmeter|高斯计, (以高斯或千高斯表示的)磁强计
gemming|点缀（gem的现在分词形式）
glutinous|粘性的
ganger|工头, 领班, 快马
gyrator|[电] 回转体
grilse|(产卵期的)鲑
gleek|[废语]嘲笑；嘲弄
gleanings|搜集物, 拾遗
geothermic|地温的, 地热的
gerridae|水黾科
greenhorns|生手；不懂世故的人；易受骗的人
grieves|悲伤( grief的名词复数 ); 悲痛; 悲伤的事; 担心
gelation|冻结, 凝胶
guzzle|狂饮, 暴食, 喝酒化掉(钱)
grasped|抓住( grasp的过去式和过去分词 ); 了解; 急忙抓住; 急切（或贪婪）地抓住
gritstone|粗砂岩
girlie|少女
gardenias|栀子属植物, 栀子花( gardenia的复数形式 )
gambogian|gamboge的变形
grammatic|[网络] 语法
gnomonia|日规壳属
gadarene|朝下的, 猛冲的
garner|谷仓, 积蓄
greasers|(greaser 的复数) n. 加油脂/涂油脂的工人, 加润滑脂的器具, (美)(非正式)贿赂者
geiger|盖革（姓氏）；盖革（德国物理学家）
gullah|嘎勒语（格勒人说的, 带有西非语法和词汇的英语）；嘎勒人（居住在佐治亚州和南卡罗来纳州的黑人）
gld|[医][=geldanamycin]格尔德霉素
gapa|[军]地对空导弹
grouf|身体腹部表面
guano|海鸟粪, 鸟粪石, 鱼肥料
galey|[人名] [英格兰人、苏格兰人姓氏] 盖利 Galley的变体
gorgerin|[建]柱颈
genitalia|生殖器, 外阴部
grout|薄泥浆, 水泥浆
gastrocele|[医] 胃膨出
gigabit|千兆比特, 吉比特（10的9次方比特, 相当于十亿比特的信息单位）
gestor|[经] 法律上的代表人
glomeruli|pl. 小球, 肾小球, 血管小球
geodesics|(geodesic 的复数) a. 测地学的, 测量的, 测地线的
granulitis|[医] 栗粒性结核
gorgon|戈耳戈(三个蛇发女怪之一), 可怕的事情, 丑妇
godchild|教子, 教女
grindal|[人名] 格林德尔
ganocephala|硬头螈类
gemmiferous|产宝石的, 发芽生殖的, 发芽的
gynandria|[医] 女子男化(女性假两性畸形), 两性畸形(雌雄同体性)
gymnasiarch|(古希腊的体育, 竞技和学校的)体育官
gigi|吉吉；金粉世界；琪琪（电影名）
growliness|growly的变形
glottides|pl. 声门
gomphodont|齿状嵌合的
gruffs|(gruff 的复数) a. 粗哑的, 粗鲁的, 粗率的, 板着脸孔的
gonadial|[医] 生殖腺的
gunlock|炮机, 枪机
gambusia|[鱼]食蚊鱼,柳条鱼
goldy|似黄金的, 金黄的
giddied|眩晕的( giddy的过去式和过去分词 )；头晕的；令人眩晕的；轻浮的
gainst|反抗, 抵抗(=against)
geniculation|膝状弯曲, 膝状部分
glyceridic|glyceride的变形
grobian|粗野而邋遢的人
gulch|地沟, 冲沟
glossarially|glossarial的变形
gloriole|光环, 光轮
graduations|毕业, 毕业典礼( graduation的复数形式 )
gnomology|格言集, 箴言集
ghi|酥油
gradings|(grading 的复数) [经] 分级, 归类
gyroplane|自动旋翼机
gola|反曲线
gleefulness|gleeful的变形
golgotha|受难的场所, 墓地
gena|[医] 颊
gadoid|鳕科的
geobotanic|geobotany的变形
goldilocks|金发的人, 金发状毛莨
gammed|(gam 的过去时) n. 鲸鱼群, 社交, 腿
grattage|[医] 刷除术
gul|<波斯语> n.蔷薇属植物
grotesquerie|怪异图案, 奇怪, 可笑
grimm|格林姆（姓氏）
goofiness|愚笨
gerundial|动名词的
gags|塞口物；[医]张口器；石斑鱼（gag的复数）
gonys|(鸟类)嘴底
gnawings|痛苦
gosh|interj. 唉, 天啊, 天哪
gnar|(狗等)吠,吼, 咆哮
grangerise|<主英>=grangerize
glimmery|轻微发亮的
goalkeeping|[体]守门
grosbeaks|(grosbeak 的复数) n. 松雀
gaffers|老人, 乡下老头, 领班( gaffer的复数形式 )
graphometry|测定笔迹常数的科学
grandest|庄严的
griminess|污秽
glazed|像玻璃的；光滑的；上过釉的；呆滞无神的
grimace|鬼脸, 怪相
gigantean|巨大的,庞大的
goldwater|金水酒（一种含有大量小片金叶状物的酒, 原产于波兰格但斯克）
grammarians|文法家, 文法教师, 文法学者( grammarian的复数形式 )
ginglymodi|鳞骨目
goldless|无金的
godheads|(godhead 的复数) n. 神性
garron|(尤指苏格兰或爱尔兰种)矮小结实的载重马
glaum|一瞥
guyots|(guyot 的第三人称 -s形式) n.[地]海底平顶山,平顶海山
greenwing|[鸟]绿翅鸭,巴鸭
gadgeteer|摆弄小玩意的人
groved|adj. grove的变形
glistening|白花花的；闪亮的；闪耀的
greenockite|[矿]硫镉矿(绿色或橘色)
gawkier|笨拙的, 鲁钝的 (gawky的变形)
greets|欢迎( greet的第三人称单数 ); 迎接; 致意; （以某种方式）对…作出反应
gyrohorizon|陀螺地平仪, 假地平, 人为地平
godhead|神性
graceless|不知礼的, 不知耻的, 粗野的
growable|可种植的
geophagist|[医] 食土癖者
grammarless|无语法形式的；不符合语法规则的
gree|格力（品牌名）
geographers|地理学家( geographer的复数形式 )
gastropoda|[医] 腹足纲
granogabbro|花岗辉长岩
gunless|[电影]无枪
granaries|谷仓, 粮仓( granary的名词复数 )
gastromenia|[医] 胃代偿月经
gateau|精美的大奶油蛋糕
gehenna|欣嫩子谷(<<圣经>>中地名), 炼狱, 地狱
gassier|气体的( gassy的比较级 ); 气状的; 含气的; <口>夸夸其谈的
grovelled|卑躬屈节, 奴颜婢膝( grovel的过去式和过去分词 ); 趴
gastropore|[动]胃道, 腹孔
glossier|(glossy 的比较级) a. 平滑的, 有光泽的
gelatinizer|[化] 胶凝剂; 稠化剂
gode|Gulf Organization for the Development of Egypt (funded by Kuwait and Saudi Arabia) 埃及海湾开发组织（由科威特和沙特阿拉伯提供基金）
gunnar|[北欧神话]贡纳
granter|出让方；出让人；授与者；转让者
gies|(gie 的第三人称 -s形式) [苏]=give
gentilesse|温柔, 礼貌
gladsome|高兴的, 快乐的, 愉快的
grovellingly|匍匐地;卑躬折节地
gisarme|中世纪士兵用的战斧
gasified|气化的
gnarling|木节；木瘤
ginner|轧棉工人
greeters|(greeter 的复数) n. 欢迎人员
genteel|有教养的, 上流的, 优雅的
gorget|护喉甲胃, (妇女用)肩布, 项链
gunlayer|瞄准手
guesthouses|(guesthouse 的复数) n. 宾馆, 高级寄宿舍, 招待所
garlandry|<罕>[总称]花环,花环装饰品,花环状装饰品
georgette|乔其纱
geraniums|天竺葵( geranium的复数形式 )
governess|女家庭教师
gasped|喘气( gasp的过去式和过去分词 ); 喘息; 倒抽气; 很想要
gidgee|<澳>小相思树[土著语]
gifting|馈赠；赠予（gift的现在分词）
grooves|沟( groove的名词复数 ); 槽; 老一套; （某种）音乐节奏
gooseries|鹅群；养鹅场
goglet|<印>(冷却热水用的有气孔的)陶制长颈瓶
gregarinosis|[医] 簇虫病
gnotobiotic|[生]限菌动物的,无菌动物的, ( 动物或其环境)限菌的,无菌的
geom|geometry 几何学; geometric 几何学的; geometer 几何学家; geometrician 几何学家
gestated|孕育, 创案( gestate的过去式和过去分词 )
goddam|（受）诅咒的, 讨厌的
goosefish|[鱼类]美洲鮟鱇 (Lophius americanus) [亦称作 angler, anglerfish, allmouth, lotte, monkfish]
gonotome|生殖节
gasteropod|[动]腹足软体动物
grandads|爷爷( grandad的复数形式 )
gherao|挟持雇主
gynaeceum|(古希腊或古罗马的)闺房, 雌蕊
gomer|歌篾（人类始祖诺亚之子）；高莫（人名）
gibbers|（由于害怕或震惊而）急促不清地说, 叽里咕噜地说( gibber的第三人称单数 )
gere|盖尔（人名）
graduating|渐变( graduate的现在分词 ); 渐渐变为（与into连用）; 渐渐消逝（与away连用）; 取得资格（与as连用）
greaves|油渣
glime|雨雾淞
genoblast|成熟性细胞, 受胎卵核
genetical|遗传的, 起源的
graminaceae|[网络] 禾本科
gallous|[化]亚镓的,二价镓的
glauberite|[矿]钙芒硝
galleta|<美>(美国西南部和墨西哥用作饲料的)牧草
grazes|（让动物）吃草( graze的第三人称单数 ); 轻擦, 擦破; 擦过; 掠过
generously|宽大地；慷慨地；丰盛地
glochidiate|[生]具钩毛的,生倒刺的
genomic|染色体组的
greenbug|[昆]麦二叉蚜,麦二岔蚜
governorate|省
greenstick|旁弯骨折
garua|浓湿雾
gelt|vbl.geld的过去式及过去分词
gerberas|(gerbera 的复数) n. 非洲菊, 大丁草花
grands|一千美元, 一千英镑( grand的名词复数 )
ghettoized|使成为少数民族居住区( ghettoize的过去式和过去分词 )
grandstand|正面看台, 观众
glossopathy|[医] 舌病
gurgling|[医] 咕罗声, 气过水声
giga|[计] 千兆, 吉, 109
galoshes|(高统橡皮)套鞋
gametocyst|配子囊, 配母细胞
gracile|细长的, 纤弱的
gerbera|非洲菊, 大丁草花
gnashed|咬牙切齿
georgie|George 的昵称
gallanting|英勇的, 勇敢的；华丽的；雄伟的
galactosan|(=galactan)[生化]半乳糖体
gorgonian|戈耳戈的, 可怕的
gentlewomen|女士( gentlewoman的名词复数 )
geodetically|大地测量学的
gladdened|使高兴, 使快乐( gladden的过去式和过去分词 )
gourmand|美食家
gasconading|吹牛( gasconade的现在分词 )
gracefully|优雅地；温文地
gunbarrel|[机] 沉淀罐
gloomed|昏暗( gloom的过去式和过去分词 ); 阴暗; 忧郁; 沮丧
galactoid|乳状的
goldstone|金星玻璃, 嵌有黄铜粉的茶色玻璃
grapplers|(grappler 的复数) n. 抓钩器, 格斗者
gyrodyne|旋翼式螺旋桨飞机(一种旋翼机)
gauntly|贫瘠地, 荒凉地
gunships|(gunship 的复数) n. 武装直升机
ghostwritten|代笔( ghostwrite的过去分词 ); 受雇替人代笔; 代人写（演说、讲话）; 代人写书或写文章, 最后这本书或这篇文章的署名将是那位被代替的人。
gladiators|<史>斗剑士, 格斗士( gladiator的复数形式 )
gusts|一阵强风( gust的复数形式 ); （怒、笑等的）爆发; （感情的）迸发; 发作
gastronomer|考究饮食的人
genistein|[化] 金雀异黄素; 染料木素; 染料木黄酮; 5,7,4'-三羟基异黄酮
gaveller|(石工用的)大木槌；(会议主席、法官或拍卖商用以敲击桌子的)小木槌, 议事槌
groundswell|（飓风和地震引起的）海啸, 浅水长涌
gelastic|[医]痴笑的
grubbed|（急切地但通常为不得法地）寻找（尤指资料）( grub的过去式和过去分词 ); 挖土; 找到（不好的人或东西）; 掘出
galerite|[医]利胆酚, 柳氨酚, 羟苯水杨胺[利胆药]
gulose|[化] 古洛糖
goslarite|皓矾
gummer|除粉器
grebe|一种鸟
gimbaled|装有万向接头[平衡架] 的
gymkhana|运动会, 比赛, 运动场, 体育馆
gonocheme|性水母体
granulations|(granulation 的复数) n. 使成粒状, 粗糙
gracefulness|温文, 优雅；优美
grills|烤架( grill的名词复数 ); （一盘）烤肉; 格板; 烧烤餐馆
geomancy|泥土占卜
groveller|五体投地者;卑恭屈节者
greyish|淡灰色的
gaultheria|[植]白株树属
gatehouse|警卫室, 门房
gie|[苏]=give
gladiatorial|斗剑者的, 争论的
grubbers|(grubber 的复数) n.挖掘者, 孜孜工作的人
giggit|快运, 急运
glanduliform|[医] 小腺状的
gaggles|（鹅）群( gaggle的名词复数 ); <口>散乱的一群, 缺乏组织的团体
glutamic|谷氨酸的
grassfinch|[鸟]草雀(产于澳大利亚)
gruppetto|<意>n.[音]回音
gusto|爱好, 嗜好, 由衷的高兴
generalizes|概括, 归纳, 推论( generalize的第三人称单数 ); 推广, 普及
gameness|不认输, 勇敢
gestate|孕育
gypsoplast|熟石膏模子；熟石膏用量
grindings|磨屑
gaily|华丽地, 欢乐地
gramineae|[医] 禾本科
grabbing|抓；夺走；强烈吸引（grab的ing形式）
griseous|珍珠灰的,浅灰的
greatcoats|（厚质的）外套, 大衣( greatcoat的复数形式 )
gulliver|格利佛(《格利佛游记》的主人公)
gifted|有天才的
grisettes|(grisette 的复数) n.女工, 女店员
glaciated|冻结成冰的, 受到冰川作用的
glottalize|[语]把(音)发成声门闭塞音(或部分闭塞音),使(音)声门化
gamopetalous|合瓣的, 合瓣花的
grot|洞穴
grubworm|蛆
genealogist|系谱学者, 系谱专家
geotherm|[地物]地(等)温线
gumshield|（运动员所含的）护齿
grumps|(grump 的复数) n. 一阵坏脾气, 发火, 脾气坏的人
gethsemane|客西马尼(耶稣蒙难地), 蒙难地, 蒙难时刻
glucoprotein|[生化]醣蛋白
glycollide|乙交酯, 乙醇酸交酯
guanines|(guanine 的复数) n. 鸟嘌呤
gnathism|颚部突出
geostrategic|地缘政治学的
gemmated|发芽( gemmate的过去式和过去分词 )
godson|教子
guanaco|南美野生羊驼
gownsman|可穿长袍表示其职位者(如法官律师等)
goldcrest|戴菊莺
glyptology|雕刻术
griskin|猪脊肉
glans|龟头, 阴茎头
gamogamy|有性生殖
gigsman|轻便快艇水手
greenage|绿球
gonocyte|[生]生殖母细胞,性原细胞,配子母细胞,卵母细胞,精母细胞
gong|铜锣, 皿形钟
goutweed|[植]羊角芹
geared|齿轮传动的, 变速螺旋桨
gyrous|[医] 回状的, 环形的
gamete|配子
governed|统治( govern的过去式和过去分词 ); 管理; 治理; 支配（词或短语的形式或用法）
galligaskins|灯笼裤, 皮绑腿
goodwife|主妇, 客店女老板
glazy|玻璃似的, 上过釉的, (目光)无神的
granitic|花岗石的, 由花岗岩形成的
guardianship|监护, 保护, 守护
gaskin|[海]束帆带,束帆索,后小腿
grader|把东西分类别的人/机器, 平路机, 推土机
giftedness|假资优, 天才, 资赋优异
gliosa|胶灰质
glared|怒目而视( glare的过去式和过去分词 ); 发强光
gullible|易受骗的
glycogenesis|糖原生成(作用)
gullied|溪谷( gully的过去式和过去分词 ); （雨水冲击而成的）沟渠
granada|格兰纳达薄呢
geeks|[俚语]奇葩（指反常的人, 畸形人, 野人, 现也指智力超群, 善于钻研但不懂与人交往的学者或知识分子）；奇客（geek的复数形式）
gelating|凝胶化
gymnadenia|[网络] 手参属；手掌参属；手參蘭
gamobium|(pl. -bia )配子体, 有性世代
guiltier|内疚的( guilty的比较级 ); 有罪的
gye|Guayaquil, Ecuador 厄瓜多尔, 瓜亚吉尔机场（代码）
grippy|<口>患流行性感冒的
gothite|(=goethite)针铁矿
gargoyles|怪兽状滴水嘴( gargoyle的复数形式 )
gangwayed|(gangway 的过去时) n. 通道, 通路, 跳板
gonimolobe|产孢瓣
grabbers|(grabber 的复数) n. 贪心者, 强夺者, 强取者
galvanizing|[电] 镀锌
grabens|(graben 的复数) n.[地]地堑
gambadoes|马的跳跃, 恶作剧, 乱跳( gambado的名词复数 )
gelatinate|vi. (使)成明胶, (使)成胶状
gagwriter|(=gagman)笑料设计人
grinningly|露齿而笑地, 龇牙咧嘴地
glucosazone|葡糖脎
gusle|古斯尔
gismo|新玩意, 新发明
gravigrade|重足动物
grazings|(grazing 的复数) n. 放牧, 牧草, 草场, 放牧法
gentilitial|国家的, 家族的, 部落的, 民族的
grimmer|严酷的( grim的比较级 ); 严厉的; 阴冷的; 讨厌的
gyneocracy|妇女当政
glister|<古>灿烂, 光辉
gothish|野蛮的, 粗野的
gildsman|基尔特公会会员
gerbil|[医] 沙土鼠(南非传播鼠疫的啮齿动物)
grandiflora|大花蔷薇；开大花的植物
glosses|（页末或书后的）注释( gloss的名词复数 ); （表面的）光滑; 虚假的外表; 用以产生光泽的物质
gremlin|小鬼, 造成烦的原因
gona|狭长地毯
guardhouse|警卫队队部, 禁闭室
grippingly|gripping的变形
girdle|腰带, 围绕物
greathearted|清高的, 豪爽的, 勇敢的
gleeman|吟游诗人
gratton|[人名] [英格兰人姓氏] 格拉顿住所名称，来源于古英语，含义是“伟大的+圈用地，居留地”(great +enclosure,settlement)
gnomonics|日晷制作法, 日晷测时术
gossipry|闲谈；闲聊；流言蜚语; [总称]传播流言蜚语的人, 说长道短的人
grouseberry|[网络] 香菇
galibi|加勒比人[语](印第安语之一种)
gowany|[苏格兰和英格兰北部英语] =gowaned
gandhiism|甘地主义
geodynamical|地球动力学的
gibbons|(Gibbons)人名；(英)吉本斯
globosity|球形, 球状
guardsmen|卫兵；（英）禁卫军官兵；（美）国民警卫队士兵
georgians|(Georgian 的复数) n. 乔治亚州人, 乔治亚人
gemmulation|发芽, 生芽
garnett|扯松（废料）
gravelweed|[网络] 砂砾
guts|飞碟游戏（比赛双方每组5人, 相距15码, 互相掷接飞碟）；内脏；狭道；[口语]贪食者（gut的复数）
griddled|筛, 烘( griddle的过去式和过去分词 )
gaugeable|可计量的, 可测量的
godowns|(godown 的复数) n. 仓库
gonangiums|gonangium的变形
geometroidea|尺蛾总科
gossypine|棉絮状的
gaspers|(gasper 的复数) n. 喘气者, 廉价香烟
guitarfish|[鱼]犁头鳐(形似吉他)
gabelle|税,(法国1789年大革命前的)盐税
gerenuks|(gerenuk 的复数) n.[动]非洲瞪羚
gustily|暴风地;阵风地;突发地
gaff|鱼叉, 斜桁
gaping|多洞穴的
gantlope|<古>=gauntlet
geysers|间歇喷泉( geyser的复数形式 ); （厨房、洗澡间的）煤气热水器[炉]
glaux|(Glaux)人名；(法)格洛
goldworker|[网络] 金工
ginkgoales|银杏目
grinned|露齿而笑（grin的变形词）
gudge|[人名] 格奇
glb|glass block 玻璃块
galahad|加勒哈德(亚瑟王的骑士), 高洁之士
gavot|<法>(法国17世纪流行的一种法国农民舞)加伏特舞, 加伏特舞曲
garroter|绞杀者, 勒杀抢劫的强盗
gendarmes|宪兵, 警官( gendarme的名词复数 )
goethian|(德国诗人)歌德的；歌德风格的
gata|Graphic Arts Technical Association 书画刻印术技术协会
gobbet|块, 小片, 一口, 引文, 片段
gravitate|被重力吸引, 沉下, 下降
glycerin|甘油, 丙三醇
grunter|作猪哼者, 猪
gaylussacia|[网络] 佳露果属
gandhist|甘地信徒
geoduck|女神蛤
gallberry|光滑冬青
geoidal|大地水准面 (geoid的变形)
ginglymus|[解]屈戌关节,绞链关节
gonotokont|[医] 性母细胞, 生长细胞
gaddi|(君王坐的)垫子, 王座
goldenly|golden的变形
gruffer|(gruff 的比较级) a. 粗哑的, 粗鲁的, 粗率的, 板着脸孔的
gorman|戈尔曼（人名）
gudrun|古德龙（北欧神话中人物）
gooseberries|醋栗( gooseberry的名词复数 ); 醋栗树丛; （陪伴年轻女人到交际场所的）女伴; 当电灯泡（夹在两个情侶之间的不知趣者）
gonalgia|[医] 膝痛
gamopetalae|合瓣花亚门
gnawer|咬的人, 腐食物, 臼齿动物
gawking|呆呆地看着( gawk的现在分词 )
gonycampsis|[医] 膝弯曲
galloflavin|黄素
ghastful|恐怖的
gammarus|钩虾属
gonoblast|[动]原生殖细胞
gamotropism|配子向性
gimmicked|(gimmick 的过去分词) n. 暗机关
gerhardtite|铜硝石
gasifier|[机] 气化炉
gourmandizer|gourmandize的变形
gillies|(Gilly 的第三人称 -s形式) n.侍从, 男仆
giggled|咯咯地笑( giggle的过去式和过去分词 )
gerontal|[医] 老年的, 老人的
glengarry|苏格兰便帽
guid|全局唯一标识符（Globally Unique Identifier）
gueridon|[法]作摆设的小桌子
ganglioblast|成神经节细胞
glutoid|硬明胶, 甲醛硬化明胶
goonie|[鸟]信天翁(=albatross)
gibingly|嘲弄地
georgian|乔治亚州人, 乔治亚人
gazehound|[动](靠视觉而不是靠嗅觉追猎的)锐目猎犬
grise|[人名] [英格兰人姓氏] 格赖斯 Grice的变体
glochidia|glochidium的复数
guana|[动]鬣蜥,巨蜥
galleon|大帆船
gradus|韵律典, 练习曲集
gradated|（使）逐渐转化, 顺次排列( gradate的过去式和过去分词 )
glucosulfone|葡糖砜
genuflecting|屈膝（尤指宗教礼节中）( genuflect的现在分词 )
gantry|桶架, 龙门起重架, (跨轨)信号架, (起重架的)构台/门架, 导弹拖车
garnishments|装饰，装饰品( garnishment的名词复数 )
gravamina|不平, 苦诉, 控诉要旨( gravamen的名词复数 )
guggle|人高兴发出的咯咯声, 水流的潺潺声
glossiphonia|舌蛭属
glycan|[生化]多糖,聚糖,多聚糖
greasiness|多脂, 油腻
goatling|[动]小山羊
galvanotaxis|[生]趋电性
graip|<苏格兰>(铲粪或掘马铃薯等用的)三齿(或四齿)叉
gastaldite|铝蓝闪石
galeoid|(鲨亚目的)鲨
gastrulae|原肠胚
greyer|grey（灰色的）的比较级形式
ghat|<印>河边的石梯, 山路
gusher|[经] 喷油井, 自喷井
gayest|快乐的；华美的
genethliacs|某人出生时辰的位置的, 生日的（星相学）
gratuity|小费, 赠物, 赏钱
goatee|山羊胡子
glucolysis|[医] 糖酵解
galliass|(十六,七世纪时行于地中海之)三桅军舰
greaser|加油脂/涂油脂的工人, 加润滑脂的器具, (美)(非正式)贿赂者
gullibility|易受骗
gekkonidae|壁虎科
ginn|[人名] [英格兰人姓氏] 吉恩职业名称, 捕兽者或绰号, 狡猾的人来源于中世纪英语, 含义是“戏法, 计策, 陷阱”(trick,contrivance,snare); [人名] [爱尔兰姓氏] 吉恩盖尔语姓氏的英语形式, 来源于别名, 含义是“白的”(white)
glaciers|冰河, 冰川( glacier的复数形式 )
globularness|globular的变形
guider|指导者
genny|发电机
gavels|（拍卖商、会议主席或法官用的）小木槌( gavel的复数形式 )
gulfweed|马尾藻
gaumless|[英国口语]愚蠢的；笨的[亦作 gormless]
glycolipin|[化] 糖脂
gallinula|[网络] 黑水鸡属；红冠水鸡属；属名
glacis|缓慢倾斜, 斜堤, 缓冲地区
groundsel|千里光属植物
gibbered|（由于害怕或震惊而）急促不清地说, 叽里咕噜地说( gibber的过去式和过去分词 )
gallein|[化] 因 (用作染料或指示剂)
gyral|旋转的
goldbricks|偷懒者( goldbrick的名词复数 )
globicephala|[网络] 圆头鲸属；领航鲸属；巨头鲸属
gratifies|使高兴, 使满意( gratify的名词复数 )
ghazal|(Ghazal)人名；(阿拉伯)加扎勒
graying|[化] 泛灰; 泛灰色
gusla|[音]古斯勒琴(巴尔干半岛的一种独弦琴)
governesses|女家庭教师( governess的复数形式 )
guerrillas|游击队员( guerrilla的复数形式 )
grenadier|手榴弹兵,[军]精锐部队的士兵
goopy|<俚>傻的, 痴呆的； <美><俚>粘稠的, 滑腻的
gangrenes|坏疽（gangrene的复数形式）
golliwog|奇怪相貌的木偶, 怪物, 脸形奇丑的人
governessy|家庭女教师似的,古板的,一本正经的,大惊小怪的
gamophagia|[医] 配子消失
groggy|酒醉的, 东歪西倒的, 摇摇晃晃的
girlish|少女的, 少女似的, 适于女子的
gout|味, 趣味, 嗜好, 痛风, 麦秆病, 一滴, 一团
glidder|松动石头
gamecock|斗鸡, 好斗者
genotypical|遗传型的
griffithite|水绿皂石
gurr|[人名] 格尔
greenstone|绿岩, 软玉
gloving|手套制作
glycogenase|[生化]肝淀粉酵素
gonadotropin|[化] 促性腺素; 促性腺激素
greyly|带灰地
glittered|闪烁, 闪耀, 闪光( glitter的过去式和过去分词 ); 眼睛闪现（某种强烈情感）
godmother|教母, 女监护人
garnishing|给（上餐桌的食物）加装饰( garnish的现在分词 )
glycolyl|[医] 羟乙酰基, 乙醇酰基
gunslinger|带枪的歹徒, 被收买来行凶的人
gonidioid|微生子形的
garmenture|服装,衣着
gilsonite|硬沥青
gusseted|缝有三角形布料的
grimily|污秽地, 肮脏地
gobbles|狼吞虎咽地吃( gobble的第三人称单数 ); （火鸡）咯咯地叫; 赶快吃; 很快耗掉（尤指金钱）
gigger|起绒工
grillroom|专营炙烤肉食的饭店/餐室
gestatory|gestation的变形
gunflint|(燧发枪的)引火燧石
ginkgoes|银杏树( ginkgo的名词复数 )
gibbus|驼背
gamone|交配素
grotian|(荷兰法学家和诗人)格劳秀斯的
germs|致病菌；细菌；病菌（germ的复数形式）
graves|坟墓（grave的复数）
gymnasial|大学预科的
genteelly|有教养地, 文雅地
guilds|行会, 同业公会, 协会( guild的复数形式 )
gaddis|[人名] 加迪斯
giddier|眩晕的( giddy的比较级 ); 头晕的; 令人眩晕的; 轻浮的
gliderport|滑翔机机场
gainings|收入, 赢得的东西, 收益
gayal|（产于印度的）大额牛
grazie|谢谢（意大利语）；修道院
geophytic|geophyte的变形
goitered|goiter的变形
geometrizing|做成几何学图形, 研究几何学( geometrize的现在分词 )
gradation|逐渐变化, 分等级, 阶级, 顺序
garran|(尤指苏格兰或爱尔兰种)矮小结实的载重马
gossiper|爱闲聊的人, 搬弄是非者
grisgris|(非洲人的)护身符, 符咒
geometricize|[网络] 做成几何图形
gondite|锰榴石英岩
gynecologist|妇科医生
geoside|[化] 水杨梅苷
guardrails|护栏（guardrail的复数形式）
galoisian|(法国数学家)伽罗瓦的
gainless|无利可图的, 没有进展的, 一无所获的
gonif|[俚语] =ganef；[美国俚语] 同性恋男子
gaberlunzie|<苏>乞丐
goneness|衰弱, 软弱
graphy|[语]（表示音素、词素等的）书写单位；书写符号
grogshop|酒店, 小酒馆
grayware|灰陶器
glossodynia|[医] 舌痛
gumtree|[南非共和国] 加姆特里
glowworms|(glowworm 的复数) n. 萤火虫
goofs|呆瓜( goof的名词复数 )
globin|珠朊, 珠蛋白
gruffly|粗暴地, 粗声地
goitre|甲状腺肿
glycuresis|[医] 糖尿(尤指饮食性糖尿)
gismondine|斜方钙沸石
granatum|石榴皮
gentlefolks|出身高贵的人, 上流人士
grumbled|抱怨( grumble的过去式和过去分词 ); 发牢骚; 咕哝; 发哼声
gadzooks|int. 温和的诅咒语
gouda|高德干酪
galactocele|[医] 乳腺囊肿, 乳性鞘膜积液
grumous|由聚团颗粒而成的, 凝结的, 浓厚的
gowl|落顶片帮
gentianaceae|[医] 龙胆科
gymnonoti|【脊椎动物】裸背类
goatherds|牧羊人
geocronite|[矿]砷硫锑铅矿
gileadite|（古代约旦河东部的）基列人；古代基列人的后裔
glyptograph|宝石上雕刻的花纹(图形)
gangliform|[解]神经节状的
grabbled|搜索( grabble的过去式和过去分词 ); 匍匐搜索; 爬; 夺取
gondoliere|[网络] 凉亭
guller|(Guller)人名；(德、匈)古勒
garnishment|装饰(品), (对第三债务人)扣押债权通知, (对第三债务人)出庭传票
geb|谷物升运机委员会（Grain Elevators Board）
goofer|呆子, 蠢人
gelatinise|(使)成胶状, 涂胶
gastroscope|胃镜, 胃窥镜
gloriette|亭子, 凉亭
gimlets|手钻( gimlet的复数形式 )
girlfriends|女朋友；女友们（girlfriend的复数形式）
gangliated|[解]有神经节的
gomuti|桄榔(产于马来亚), 桄榔纤维
goup|<美俚>粘稠液体(如巧克力糖浆)
goon|受雇暴徒, 愚笨者, 呆子
garnisheed|扣押( garnishee的过去式和过去分词 )
gallican|限制教皇权力主义
gossard|[人名] 戈萨德
grazer|食草动物
gnathion|颔下点, 颚缝下端
grysbok|小岩羚
glyceric|甘油的
gleaning|拾落穗, 落穗, 收拾零星材料
glomera|glomus的复数
gove|[人名] 戈夫; [地名] [澳大利亚、美国] 戈夫
gent|绅士
glamorously|令人向往地；富有魅力地
