moon|月亮
mesopotamia|美索不达米亚
microfiches|单片缩影胶片( microfiche的复数形式 )
matricaria|母菊属
mide|Middle East 中东地区
manger|马槽, 牛槽, 挡水板
maximized|使（某事物）增至最大限度( maximize的过去式和过去分词 ); 最大限度地利用（某事物）
milline|百万行(广告的计算单位)
marches|（坚定地向某地）前进( march的第三人称单数 ); 进军; 进展; 游行示威（或抗议）
matha|[地名] [法国] 马塔
motifs|<法> （文艺作品等的）主题( motif的复数形式 ); 中心思想; 基本模式; 基本图案
mainsworn|[法] 发假誓, 作伪证, 发假誓者
melanoderm|黑种人,黑人
macrosomatia|[医] 巨体
manganic|锰的, 得自锰的
masculinize|[医] 男性化(指女子)
menstruated|行经, 月经来潮( menstruate的过去式和过去分词 )
magna|麦格纳（全名为麦格纳国际, 为世界第三大汽车零部件供应商）
microtomy|超薄切片机使用术, 超薄切片法
moco|[动]岩豚鼠
mastopexy|乳房固定术
merks|(merk 的第三人称 -s形式)  [人名] 默克
methene|亚甲基
magnes|[人名] 马格内斯
microstomous|小口的,小嘴的
moroccans|摩洛哥人( Moroccan的复数形式 )
moorings|停泊处, 系船处
muckerer|[俚语]粗俗的人；无赖
morkin|[人名] 莫金
magnifies|放大( magnify的第三人称单数 ); 扩大; 夸大; 夸奖
mizzling|下蒙蒙细雨( mizzle的现在分词 )
miting|Massachusetts Institute of Technology (美国)马萨诸塞理工学院,麻省理工学院
myoid|[解]肌样的
minauderie|[法]娇态
mellon|[化] 三聚二氰亚胺
millable|可轧的, 可铣的
mima|米玛（电影名）
misremember|记错
mitogen|[生]有丝分裂原,促细胞分裂剂,分裂素
mumsy|家常的；呆板的；不时髦的
mammas|妈妈；乳房
marshier|沼泽的；湿地的 (marshy的变形)
multiplane|多翼机
monetization|定为货币, 作为货币, 货币铸造
minicomputer|小型计算机
monorchidism|[医] 单睾丸[畸形]
methylidyne|[化] 次甲基
moanful|呻吟的, 悲伤的
misapplying|误用, 滥用( misapply的现在分词 )
mankilling|[法] 可致人于死的, 可杀死人的, 令人筋疲力竭的
maquisard|反纳粹游击队员
malacon|(变)水锆石
mismanager|mismanage的变形
mennonist|门诺派教徒(16世纪起源于荷兰的基督教新派,反对婴儿洗礼,服兵役等,主张生活俭朴)
mellowy|<古>= mellow
monotriglyph|[建]在嵌线上只有竖条纹饰的分柱法, 单排档
mesenchyme|间质
misdemeanors|轻罪
madrague|捕鲭网
myelitic|[医](病毒等)侵入脊髓的
maneless|无鬃毛的
mothproofer|[医]防蛀剂
mugget|绵羊内脏
matins|晨祷
mournfulness|悲凄
moraceae|[医] 桑科
massacred|残杀；彻底击败
micropipette|[化] 微量吸移管
middler|[人名] 米德勒
maronite|[宗]( 流行于黎巴嫩的天主教教派) 马龙派教徒
mtg|Mounting 安装; mounting 安装; meeting 会议; main turbogenerator(s) 涡轮发动机主机
macromere|[生]大(分)裂球
moleskin|鼹鼠皮, 斜纹棉布, 斜纹棉布裤
moderation|缓和, 适度, 温和
makuta|likuta 的复数
myxoviral|myxovirus的变形
manducate|<罕> 咀嚼, 吃
mesothorax|[昆]中胸
morus|[植]桑属
mumblingly|作[如] mumble之状地
martingales|(martingale 的复数) n.手法,诀窍
mesocratic|[地](尤指火成岩等)中色的
malapropisms|(malapropism 的复数) n. 文字的错用
modulations|(modulation 的复数) n. 调制, 调节, 语调
muncher|大声咀嚼
mesostyle|中齿尖
mutualizing|,vi. mutualize的变形
montenegrin|黑山的
mesogastrium|(=mesogaster)[解](胚胎的) 胃系膜, 脐部
multibreak|[电] 多断
mender|修缮者, 修理者, 修改者
marsupials|有袋类
myomorph|鼠形动物
minorities|少数( minority的名词复数 ); 小部分; 少数民族; 未成年
messias|人名；(葡)梅西亚斯
mann|曼（姓氏）；曼恩法案（美国国会1910年6月通过的一项法案, 禁止州与州之间贩运妇女）
memoir|传记, 实录, 追思录, 回忆录, 自传
maydays|救难信号( Mayday的复数形式 )
mxd|mixed 混合的
mossback|头脑守旧的人, 极端保守的人, 老乌龟
microculture|显微培养; 小文化区; 微型培养皿
metallide|[化]使(金属表面)起金属间化合
macrophagus|[医] 巨噬细胞
mammillated|[医] 有乳头的
melaniferous|(毛发等)含黑素的
marquesses|(marquess 的复数) n.侯爵, 侯爵长子的尊称
moires|(moire 的复数) n. 波纹丝绸
monophyllous|[植]单叶的,具一叶的
mandarins|中国汉语普通话（mandarin的复数形式）
miasmatical|miasma的变形
mandibles|下颌骨；上颚, 嘴的上部
mandragora|[植] 曼陀罗草, 醉仙桃
mucedin|面筋蛋白
moraceous|[植]桑科的
mustaches|胡子( mustache的名词复数 ); 髭; 须状物; （哺乳动物的）触须
marrowed|髓, 骨髓；脊髓；最深的地方；精髓, 精华；实质
milligrade|[网络] 千度的
malarious|[医] 疟疾的
mabel|梅布尔（女子名）
murderer|凶手, 杀人者, 谋害者
mafic|[矿]铁镁质的
maraschino|[医] 马拉斯金酒(樱桃酒的一种)
malingery|装病
magistracies|地方行政官, 执法官, 地方行政官员的职位( magistracy的名词复数 )
mendozite|[矿]钠明矾, 水钠铝矾
menoschesis|[医]经闭,月经潴留
multifidus|[医] 多裂肌
monitory|训诫的
mush|浓粥, 感伤的话, 软块
madhouse|精神病院, 极为吵闹的场所
massotherapy|按摩疗法, 推拿疗法
mastigophore|[网络] 大蟾蜍
muriated|盐卤的; 含氯化物的
monocerous|[动]独角的, 一角动物的
monuments|纪念碑( monument的复数形式 ); 遗迹; 遗址; 丰碑
murk|暗的, 阴沉的
monthlies|[医] 月经
moabite|摩押人, 摩押语
milanaise|[网络] 米兰纳斯
macintoshes|苹果公司生产的一种型号的计算机；Apple公司于1984年推出的一种系列微机；麦金托什机
metacyclic|亚循环的
monodactyl|[动]单指的,单趾的,单爪的
monophagous|[生]单食性的, 单主寄生的
mnemonics|记忆术
malacology|软体动物学
merriment|欢喜, 嬉戏
matteuccia|[网络] 荚果蕨属
moonlighting|[经] 兼职工作
miscounts|数错( miscount的第三人称单数 )
macrognathic|[医]巨颌的
monaxon|一轴型, [pl.]单(轴)骨针
morphinist|[医] 吗啡瘾者, 吗啡中毒者
muskrats|(muskrat 的复数) n. 麝鼠
myoneuralgia|[医] 肌神经痛
motherliness|慈母心
monochromasy|[医]全色盲(症)
morone|石鮨
murrelet|[鸟]小海鸦
majuscule|大字, 大写字母
merengue|梅伦格舞(海地和多米尼加的一种交际舞)
milage|哩数, 运费
morice|[人名] 莫里斯
mahuang|[医] 麻黄
murks|(murk 的复数) a. 暗的, 阴沉的
mogigraphia|[医] 书写痉挛
metaline|[地名] [美国] 梅塔林
mauser|毛瑟枪
mulga|[医]岩蕨
morcellement|[法]分成多块, 将田地分成多份
meritocrat|精英领导阶级(或阶层)的一员,精英管理班子的一员
misgoverning|管理不当；对…施行恶政
millenniums|一千年( millennium的复数形式 ); 千年期; 千禧年; 全人类未来的幸福时代
microspecies|[单复同]n.[生]小种(指与亲缘类型显然有别的地方性物种)
maybush|山楂
mumming|（圣诞节时）戴面具化装表演
moderated|慢化的, 适中的
matriliny|母系继嗣
minder|看守者, 照顾者
malocclusion|[医](牙)咬合不正
mayberry|(Mayberry)人名；(英)梅伯里
mimed|指手画脚地表演, 用哑剧的形式表演( mime的过去式和过去分词 )
meo|(Meo)人名；(意、法、英)梅奥
mastery|征服, 统治权, 优势, 精通, 掌握
martyrize|vi. (使)殉难
mediatise|<主英> = mediatize
motivator|激起行为(或行动)的人(或事物),促进因素, 激发因素
munitioning|给某部门提供军火( munition的现在分词 )
mistal|[英方]奶牛棚
maharajas|（印度的）王公
mealymouthed|说话转弯抹角的, 不必开门见山说的, 说话时过分注意选择字眼的, 说话不真诚的
mettle|气质, 耐力, 勇气
mnemic|记忆的, 记忆力的
micawberish|米考伯式的, 无远虑而老想走运的
masturbate|手淫
marcello|(Marcello)人名；(葡)马尔塞洛
mitre|僧帽, 主教冠, 斜接, 斜榫
mastoidale|[医] 乳突尖
metarule|[计] 元规则
mistry|[人名] 米斯特里
mesaxonic|中轴的
mesoblastic|[医] 中胚层的
mussing|使混乱( muss的现在分词 )
medusoid|像水母的,水母状的
malaccan|,n. Malacca的变形
maximizers|(maximizer 的复数) n. 达到极大
madzoon|亚美尼亚酸奶
myelemia|髓细胞血症, 骨髓生白血病
midnights|(midnight 的复数) n. 午夜, 子夜, 半夜
myelogenic|[医]骨髓性的
macumba|马库姆巴(巴西黑人的一种宗教仪式)
murr|[人名] 默尔; [地名] [德国] 穆尔河
metroliner|都市间高速列车
microgramme|微克
microsporum|[医] 小孢子菌属
miscreate|误造, 误创, 误作
moe|有效性量度（Measure of Effectiveness）
mimosaceae|含羞草科
misbehaved|行为不正当的, 不规矩的
muffed|弄糟, 漏接（球）, 失败( muff的过去式和过去分词 )
microcardius|[医] 心过小者
myelocoele|[医] 脊髓中央管
misteaching|错误地教导, 拙劣地教导( misteach的现在分词 )
murshid|[网络] 穆里希德；穆尔希德；穆尔西德
moviemaker|电影制作人
mythically|神话地;虚构地
malleal|[医]锤骨的
misfiling|(misfile 的现在分词) vt. 归错文挡
manavelins|[复]n.<俚>[海]各式设备,船具
masculinity|男子气, 刚毅, 大丈夫气概
muskier|(musky 的比较级) a. 麝香的, 产生麝香的, 麝香似的
mullock|矿山垃圾, 破烂的东西, 废物
miscreancy|[法] 不道德, 卑鄙
mastodonic|mastodon的变形
mitred|<英>斜接的, [纺]斜拼接的,戴着主教冠的
monogenism|人类同源说
mahone|(Mahone)人名；(英)马洪
misdeem|错认, 判断错
midwesterner|美国的中西部 (Midwest的变形)
mattered|要紧( matter的过去式和过去分词 ); 化脓; 有重大影响; 有重要性
maidenhead|处女膜, 处女时期, 处女性
monopterous|单翅的
melonite|[矿]碲镍矿
manequin|(Manequin)人名；(法)马内坎
marseillaise|马赛曲
myeloplast|骨髓白细胞
misbehaviour|行为无礼貌, 行为不端
maimed|受伤的, 残废的
mixup|混合；混合物
molestation|调戏, 干扰, 妨碍
mandalas|(mandala 的复数) n. 曼荼罗, 坛场
moir|莫伊尔（苏格兰人姓氏）
mohur|印度旧金币名(值15卢比)
maleruption|(=maleruption)错位长出
maleate|[化]马来酸盐(或酯),顺丁烯二酸盐(或酯), 马来酸阴离子,顺丁烯二酸阴离子
mayoresses|市长夫人, 女市长( mayoress的复数形式 )
mahdi|救世主
mutants|<生>突变体（因遗传基因结构改变以致与同类生物有异的生物）( mutant的复数形式 )
myeloplax|骨髓多核巨细胞
melanosed|[医] │黑变病的
metabasite|准基性岩
martyring|牺牲；折磨；杀害
misentry|[计] 错误输入, 不准确引入
maki|[日]真希（女子名, 也可作为姓氏）
mobs|快闪暴走族
motivating|作为…的动机, 激发, 诱发( motivate的现在分词 )
motet|圣歌, 经文歌
mankiller|[法] 杀人者
metachemical|[医] 原子结构[化]学的
menaccanite|[矿]碎屑钛铁矿
megalosaur|[古生]斑龙
matcher|[计] 匹配程序, 配对程序
morningstar|[人名] 莫宁斯塔
monicker|标记, 外号
myxinoidei|[网络] 霉菌毒素
mazut|重油(用作燃料油或润滑油)
metagelatin|[医] 变性明胶
mosan|[语](印第安语群的)莫桑语组
morsal|[医] Ж面的
millstone|磨石, 磨难, 重担
misogynism|[网络] 厌恶女性主义；厌恶女人；厌恶女入
multicide|大屠杀
morbid|致病的, 病态的, 疾病的, 可怕的
macrodontic|[医] 巨牙的
misvalue|误估, 低估
musketoon|短火枪,短滑膛枪(枪身短、枪膛大的火枪)
mousquetaire|[法]=musketeer
milkmaids|挤奶的妇女, 在酪农场工作的女性( milkmaid的复数形式 )
maglemosian|马格尔莫斯文化的, 北欧中石器时期文化的
maims|使残废
mummying|[医] 木乃伊样裹身
mairs|(Mair 的第三人称 -s形式) [苏]更多的, 更大的, 更好的, (=more)另外的, 其余的
multiband|[电信]多频带的
matrocliny|偏母遗传
mahometan|伊斯兰教徒
mountie|加拿大骑警
myelinic|[医] 髓鞘质的; 髓磷脂的
morose|郁闷的, 孤僻的
maypoles|(maypole 的复数) n. 五朔节花柱
midspan|中跨
melicitose|[医] │松三糖
musjid|清真寺
monad|单孢体, 单轴
maced|Macedonia （巴尔于半岛中南部的）马其顿地区; Macedonian 马其顿的; 马其顿人（的）; 马其顿语（的）
melena|[医]黑粪症
mesembryo|[医] 中胚期, 囊胚曲
myceloid|[植]菌丝体状的
melis|(用水洗涤过的)粗糖
misogynic|厌恶女人的
mooner|多在月圆时作案的罪犯
muffins|（涂牛油趁热吃的）松饼( muffin的复数形式 )
mediateness|mediate的变形
mispunctuate|标点错误
methanometer|甲烷计; 沼气检定器
mishmi|米什米语(印度东北部的一种藏缅语)
metacneme|后隔膜
manning|人员配备
metallurgist|冶金家, 冶金学者
musclemen|(muscleman 的复数) n. 打手
mourned|哀悼( mourn的过去式和过去分词 ); 为…哀痛, 向…志哀
merismatic|内裂成段的, 分生组织的
moldavian|摩尔达维亚人, 摩尔达维亚语
mone|局部激素
minimisation|极小化（求最小值, 最简化）
mithridate|(古代的)万应解毒剂
muschelkalk|壳灰岩
mulattoes|白黑混血儿( mulatto的名词复数 )
mentioning|提到( mention的现在分词 ); 说起; 提名表扬; 传令嘉奖
motordom|汽车世界,汽车王国
mantis|螳螂
morulation|[医] 桑葚[胚]形成
maypole|五朔节花柱
microcoulomb|[医] 微库[仑]
maharajahs|(maharajah 的复数) n. （印度的）土邦主, 王公（的称号）
mux|使混乱
mugging|行凶抢劫；（美）哑剧
missay|说坏话, 说错
melanodermic|[医] 黑皮的
menstrual|月经的, 一月一次的, 每月的
massagist|按摩师
mixtures|配合料；混合物（mixture的复数）
malleableize|韧化
megafarad|[电]兆法(拉)
melastome|[植]野牡丹科植物的
merlion|鱼尾狮（新加坡城市的标志）
mantelpieces|壁炉架；壁炉台
mitapsis|[医] 染色质粒融合
marshalate|[法国]元帅军街, [美国]执法官(司法官)职位
mollycoddles|娇养, 宠坏( mollycoddle的第三人称单数 )
moutan|[植]牡丹(亦作moutan peony)
melanocratic|暗色的
manducated|manducate的变形
muffin|松饼
mts|微软事务服务器（Microsoft Transaction Server）；微针疗法（Microneedle Therapy System）；机器翻译系统（Machine Translation System）
morella|[地名] [西班牙] 莫雷利亚; [地名] [澳大利亚] 莫雷拉
measurably|可以测定的程度, 适度地, 可目视地
methobromide|甲溴化物
mockery|嘲弄, 笑柄, 歪曲
mocked|愚弄, 嘲弄( mock的过去式和过去分词 ); 使受挫折; 不尊重, 蔑视
moulds|铸模( mould的名词复数 ); 模型; 性格; 霉
misdid|vbl.misdo的过去式
millimho|[电]毫姆(欧)(电导、导纳和电纳单位,= 1/1000姆(欧),略作mmho)
midianitish|adj. Midianite的变形
minglingly|mingle的变形
mayence|<法>=Mainz
misguidance|错误的指示, 领导错误
mesoxalate|[化] 二羟丙二酸盐(或酯)
masoreth|[网络] 马索雷斯
mislaid|mislay的过去式和过去分词
miserere|求主祈怜之祷告或其乐曲, 恳求之声
maximise|把...增加到最大限度, 把...扩大到最大限度, 充分重视, 找出...的最高值
mahi|(Mahi)人名；(西)马伊；(阿拉伯)马希
megalopsia|[医]视物显大症(亦作 megalopia)
matelote|以葡萄酒和洋葱炖的鱼
muggings|(mugging 的复数) n. 行凶抢劫；（美）哑剧
megaera|[希神][罗神]墨纪拉(司复仇的三女神之一)
manacled|束缚；手铐
mutilate|切断, 使残废, 使不完整
moderations|(moderation 的复数) n. 缓和, 适度, 温和
mirth|欢笑, 欢乐, 愉快
mellowness|成熟; 芳醇; 肥沃; 怡然
metalworkers|(metalworker 的复数)  金属制造工
monotonist|单调；单音调 (monotone的变形)
mazatec|马萨特克人
merchanting|(merchant 的现在分词) n. 商人, 店主
mercerizing|作丝光处理( mercerize的现在分词 )
mesoarium|[医] 卵巢系膜
muscardinus|[网络] 榛睡鼠属
munj|[网络] 慕尼黑
macrofossil|巨体化石,大化石
modena|深紫色
montebrasite|[矿]磷锂铝石
myelatrophy|脊髓萎缩
mottos|箴言, 警句, 题词, 格言, 座右铭
motivates|作为…的动机, 激发, 诱发( motivate的第三人称单数 )
mirfak|天船三
mantraps|[法] 罪恶场所
mendacious|虚假的, 说谎的
maturate|化脓, 成熟
mannequin|服装模特儿, 人体模型
monoester|[化]单酯
melioration|改善
mucoidal|黏液样的
matman|摔跤运动员
morendo|（音乐术语）逐渐消失
microgranite|微晶花岗岩; 细花岗岩
mondaine|<法>n.上流社会女士,凡俗女人
madly|发狂地, 精神失常地, 愚蠢地
monetising|(monetise 的现在分词) vt. 使货币化；把…定位法定货币（等于monetize）
mistassini|米斯塔西尼湖(在加拿大魁北克省中部)
melic|歌的, 诗的
mucigen|[医] 粘蛋白原
microphonics|[电] 微动
maternalism|纵容，溺爱
metaphloem|[医] 后生韧皮部
misdemeanour|行为不端
monocracy|独裁政治
medico|医师, 医科学生
moats|（古时城堡为了防御而在四周挖的）壕沟, 护城河( moat的复数形式 ); （现代动物园为防止动物逃跑而在场地四周挖的）深沟
mumblings|(mumbling 的复数) n. 喃喃；含糊话；晦涩词语
mole|痣, 鼹鼠, 防波堤, 摩尔, 克分子
malled|购物商场；林荫路；铁圈球场
mesiopulpal|[医] 近中髓的
manege|驯马术, 马术练习场
motley|杂色的, 穿杂色衣的, 杂乱的, 混杂的
morphologic|形态的, 形态学的, 词法的
moseys|<非正>漫步, 溜达( mosey的第三人称单数 )
malachi|玛拉基(希伯来先知), <<玛拉基书>>
mudded|抹泥（mud的过去式与过去分词形式）
mitra|笔螺属
moistureless|无湿气(或水分)的,干燥的
moistest|潮湿的, 微湿的( moist的最高级 )
morphometric|[医]形态测定的
morphemic|morpheme的变形
misspell|拼错
markswomen|(markswoman 的复数) n. 射手, 神枪手
misogynists|厌恶女人的人( misogynist的复数形式 )
monestrous|[动](每年)一次发情期的
mor|粗腐殖质
mahogany|桃花心木, 红褐色
multipolar|多极的
marge|边缘（等于margin）
monadic|单一体的, 单细胞生物的
maltese|马尔他的
mesonychidae|中兽科
multirooted|[医] 多根的(牙)
millime|米利姆(突尼斯辅币名)
melodized|谱成乐曲( melodize的过去式和过去分词 )
moistness|湿
melangeur|[法](糖果食品工业中用的)搅和器, 调和器, [医]血液稀释管, 血液混合管
minima|最小量, 极小值, 极小, 最低限度, 最小数
mullioned|有竖框的
mammonism|拜金主义
maldonite|黑铋金矿
mackintoshes|橡皮布防水衣；橡皮布
moonfish|[鱼]翻车鱼(鱼体白如月色,故名)
macroscopic|肉眼可见的, 宏观的, 目视的
mouldered|<美>腐朽( moulder的过去式和过去分词 ); 腐烂, 崩塌
mangle|乱砍, 损坏, 轧布
mawger|<加勒比英语>(人或动物)瘦的
milleped|千足虫
menials|（干粗活的）家仆( menial的复数形式 )
mythoi|mythos 的复数
mutiny|叛变, 兵变
meanderingly|meander的变形
mingling|混合, 混入( mingle的现在分词 ); 混进, 与…交往[联系]
metanotion|[计] 元概念
muckhill|粪堆
midgut|[解]中肠
miching|偷窃
metol|硫酸甲氨基酚
mashona|马绍那人
mulches|用护根覆盖（植物根部或其周围地面）( mulch的第三人称单数 )
manteau|披风, 斗蓬
massilia|[地名] [法国] 马西利亚（马赛的旧称）
muscicide|杀蝇剂
monde|时髦社交界, 上流社会
miglio|[人名] 米利奥
muon|[化] μ子
microfungus|[植]微直菌
memoriter|凭记忆
myricales|杨梅目
mansions|宅第, 公馆, 大厦( mansion的复数形式 )
mohr|莫尔（测定海水氯化物的方法）
misers|守财奴, 吝啬鬼( miser的复数形式 )
margarate|十七(烷)酸盐
monstera|[植]蓬莱蕉
milfoil|蓍属植物, 狐尾藻属植物
misdeeds|违法行为, 罪恶( misdeed的复数形式 )
mutinied|违抗上级命令, 叛变, 反叛( mutiny的过去式和过去分词 ); （尤指士兵或船员）不服从, 反抗, 反叛
museography|博物馆技术学
maisonette|小屋, 小住宅, (公寓大楼中)占两层楼面的一套公寓, (二层楼的)公寓房子
milammeter|毫安计
monodomous|(蚁群等)同巢的
monoptera|monopteron的变形
maro|波利尼亚腰布
mele|夏威夷歌曲(或旋律)
moonshine|月光, 大话, 非法酿制的酒
musica|(Musica)人名；(意、西)穆西卡
matrixes|母体, 子宫, 基质, 脉石, 模型, 矩阵
milliarium|距离单位(=1.48公里=0.92哩)
minesweepers|扫雷舰( minesweeper的复数形式 )
morganatic|贵贱通婚的
microcheiria|[医] 小手, 手过小
myriametre|万米(即10公里, 略作 mym.)
mannitose|甘露糖
metathetic|[医] 病变移植的, 复分解的, 置换的, 易位的
moider|使混乱, 迷惑
misspender|misspend的变形
mayas|(Maya 的复数) n. 马雅人, 马雅语
mined|开采
marring|毁坏, 损坏, 玷污( mar的现在分词 )
myotomes|(myotome 的复数) 肌刀
microcurie|[核]微居里(能量单位)
muckraker|探听丑闻的人
marketeer|市场商人
megaword|[计] 兆字
misdemeaned|做不规矩事；行为不正
megaparsec|[天]百万秒差距
mammock|碎片,碎块
microsclere|小骨片
mended|修改（mend的过去式）
mewed|作猫或海鸟叫, 咪咪叫( mew的过去式和过去分词 )
mustelidae|[医] 鼬科
muckiest|粪肥的, 肮脏的( mucky的最高级 )
myodynamia|[医] 肌力
myristin|[化] 豆蔻酸甘油酯
metatitanate|偏钛酸盐
misgiven|misgive的过去分词
malodorously|malodorous的变形
metasomal|[网络] 分生孢子
metasoma|后体
molybdous|[化]亚钼的,二价钼的
muscatels|(muscatel 的复数) n.葡萄酒的一种, 麝香葡萄
millimeters|毫米( millimeter的复数形式 )
manipulator|操作者, 机械手
mannerless|无礼貌的
marxism|马克思主义
molothrus|贪食鸟属
mastheads|桅顶, 报头( masthead的复数形式 )
minted|崭新的；新制作的；刚完成的
monorhina|单鼻亚纲
mammoni|秋季无花果
melam|蜜白胺
membrana|[医] │膜
macanese|澳门人
melanic|[医]黑变(病)者
mioplasmia|[医] 血浆减少
mistigri|猫
moratoriums|正式的延缓, 暂停( moratorium的复数形式 )
mercenarily|雇用地, 唯利是图地
murrine|(像)默勒石的, 默勒石制的
misguiding|对…指导错误, 把…引入歧途( misguide的现在分词 )
mays|[医] 玉蜀黍, 玉米
morcellate|[医]切碎, 分碎
macadams|(macadam 的复数) n. 碎石, 碎石路
medievalists|(medievalist 的复数) n. 中世纪史专家, 中世纪史研究者
muciform|[医] 粘液样的
milchig|乳制的, 乳制品的
mentions|提及( mention的名词复数 ); 通报表扬
mezuzot|mezuza的复数形
migrators|(migrator 的复数) n. 候鸟, 移居者
mordellidae|花蚤科
myositic|[医] 肌炎的
meacon|假像雷达干扰
moustached|长胡子的；有胡子的
mylodon|磨齿兽(一种南美洲南部近代灭绝的动物)
manstopper|用以杀伤冲锋士兵的枪弹, 大威力枪弹
muckers|(mucker 的复数) n. 重重跌倒, 灾难, 装岩工
misrepresent|不如实地叙述(或说明), 不称职地代表
mimeo|& vt.<口>=mimeograph
midsummer|仲夏, 夏至期
magnetopause|磁顶,磁(大气层)顶层
mistakable|易弄错的
mbaya|[地名] [刚果民主共和国] 姆巴亚
mastoplastia|[医] 乳房组织增生
mestiza|mestizo的女性形式,女混血(尤指西班牙或葡萄牙和印第安人)儿
museful|沉思的
moussaka|茄合(希腊的一道菜名, 盖以白酱汁和干酪然后烤熟)
margarita|玛格丽塔(Margaret的异体)(f.)
meningeal|脑膜的
muslins|(muslin 的复数) n. 平纹细布, 麦斯林纱
myoma|肌瘤
mystacoceti|须鲸亚目
manipulative|处理的, 巧妙处理的, 操纵的
macrodontia|[医]巨牙
mesocolon|[解]结肠系膜
misdating|填错日期
molidae|[网络] 翻车鲀科；翻车魨科；鲀形目翻车鲀科
minuend|被减数
mopboard|踢脚板
myelination|[解]髓鞘形成(亦作 myelinization)
maracas|(maraca 的复数) n. 沙球
miscarriages|流产( miscarriage的复数形式 )
massing|块化；总体
myrmecochory|蚁布
monogamian|一夫一妻的, [动]单配的, 一雌一雄的
multihop|多次反射
manipuri|(印度)曼尼普尔人, 曼尼普尔(舞)风格的
macropterous|[动]有长翅的,有大翅的, 有长鳍的, 有大鳍的
monocystic|[医] 单囊肿的
midways|(midway 的复数) n. 中途, 中间, 娱乐场
marginated|有边缘的
mountings|配件, 装置件
macan|[人名] 麦坎
moisturizer|润肤霜; 保湿霜
mesophryon|[医] 眉间
mafia|黑手党, 秘密政党
mollah|毛拉(伊斯兰教国家对老师,先生、学者的敬称)
masting|(帆船)船桅定位技术
microglossia|[医] 小舌, 舌过小
medicable|可治疗的
murra|默勒石(指萤石、瓷或玛瑙等,=murrha)
motherfucker|（通常指男性）不要脸的家伙, 混账东西
moralizing|说教；使有德行（moralize的ing形式）
mccoy|本人；真品
misericord|一种短剑, 凳下方的横木, 免戒室
mixen|<英方><古>粪堆, 混合肥料堆
mitogenicity|丝裂原活性
metate|凹面(或平面)磨盘(墨西哥和美国西南部用以碾磨谷粒、玉米等)
maytide|(=Maytime)五月时节
magnetized|磁化的
munsif|土著执法官
magnoferrite|镁铁矿
maturer|成熟的人
misjudgement|[法] 审判错误, 判断错误
madge|马奇（女子名）
morphography|形态描述学
mountainer|山, 山岳；[复数]山脉；山区
metaphrastic|metaphrast的变形
milepost|里程标志, 里程碑
meadowsweet|绣线菊属植物
manginess|生满疥癣, 污秽
myenteron|[解]肠肌层
musal|(Musal)人名；(意、土、捷)穆萨尔
mnemotechnic|记忆的, 记忆术的
mandatories|受托管理国( mandatory的名词复数 )
maraboutism|隐士；伊斯兰教隐士的坟 (marabout的变形)
minish|缩小, 减小
melinite|麦宁炸药
microthorax|小胸
mesne|中的, 中间的
maha|紫面叶猴
musciform|藓状
marmoration|大理石表面装饰
macrochaeta|长毫(双翅目)
meterman|仪表调整者
mooncalf|白痴
matzoth|matzo(h)的复数
mbori|[医] 姆波利(一种骆驼病,可能为兽类锥虫病)
myiasis|[医]蝇蛆病
monilia|[医] 念珠菌属
muscologist|苔藓植物学家
murre|海鸠
moiling|辛苦工作, 做苦工( moil的现在分词 )
mucedinous|[微](似)霉的
macrodactyly|[医]巨指, 巨趾
marsoon|白鲸
moton|[人名] 莫顿
masers|(maser 的复数) n. 微波激射器
mycotoxic|adj. 霉菌毒素的
metricize|改为公制
maleficent|有害的, 做坏事的, 犯罪的
molts|换羽, 脱毛( molt的第三人称单数 )
misconceived|对…有错误看法, 误解( misconceive的过去式和过去分词 )
materializes|具体化, 成为现实( materialize的第三人称单数 )
monisher|[古语] =admonish
monochasial|[植]单歧聚伞花序的
mentioner|mention的变形
misadvise|给错误的劝告
marjoram|墨角兰
madreporite|[动](棘皮动物的)筛板,穿孔板
micromodule|[计] 微模块; 微模组件; 微程序模块
myoplastic|[医] 肌成形术的
metabasis|[医]转移, 病状转变
momma|妈咪
minbar|敏拜尔,敏拜楼(指清真寺殿内的宣教台,形如楼梯)
myelomalacia|[医]脊髓软化
merohedrism|[晶](晶体的)缺面对称
mortimer|莫蒂默（男子名）
mouldiest|发霉的；霉状的, 霉臭的
mattoid|半疯子
metachrome|[生]异染粒,变色粒
martins|马丁斯（男子名）
minuscular|微小的
mazing|使困惑（maze的现在分词形式）
melolontha|[网络] 鳃角金龟属
moocher|乞丐, 敲诈者
marish|沼泽
macks|(mack 的复数) n. 防水胶布, (英)雨衣
mahjong|麻将
monarchistic|君主主义的, 君主政治的
middled|中央, 中间, 腰部
midrashic|midrash的变形
miniating|以铅丹涂…；用朱红着色或画
michiganite|密歇根人
merodach|[网络] 米罗达；原罪；梅若达柯
mandarinic|mandarin的变形
marketstead|<古> = marketplace
minstrelsy|吟游技艺
metoposcopy|[医] 相面术
muddying|使沾上泥( muddy的现在分词 )
majesties|雄伟( majesty的名词复数 ); 庄严; 陛下; 王权
miaul|猫的叫声
menders|(mender 的复数) n. 修缮者, 修理者, 修改者
multipliable|可增加的, 可乘的, 可增殖的
mescalism|[医] 仙人球瘾
monochromous|monochrome的变形
mentalis|[医] 颏肌
mesomyodi|中接肌类
mobula|[网络] 蝠鲼属；蝠鱝属；蝠魟
